einzelplan,einzelplan-text,einnahmen-ausgaben,einnahmen-ausgaben-art,kapitel,kapitel-text,titel,funktion,titel-text,flex,seite,soll,titelgruppe,tgr-text,Funktion 1,Funktion 2,Funktion 3,Gruppe 1,Gruppe 2,Gruppe 3,date
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,10,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,Sonstige Zuschüsse aus sonstigen Bereichen,Sonstige Zuschüsse aus dem Inland,2017
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381.1 und 381.7, ,10,0,,,Finanzwirtschaft,Haushaltstechnische Verrechnungen,Haushaltstechnische Verrechnungen,"Einnahmen aus Schuldenaufnahmen, aus Zuweisungen und Zuschüssen für Investitionen, besondere Finanzierungseinnahmen",Haushaltstechnische Verrechnungen,Verrechnungen zwischen Kapiteln,2017
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11957,18,Vermischte Einnahmen, ,10,0,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138","Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",Verwaltungseinnahmen,Sonstige,2017
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,10,190,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,Sonstige (zweckgebundene) Zuweisungen aus dem öffentlichen Bereich,Sonstige Zuweisungen von Ländern,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Sächliche Verwaltungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,54201,13,Öffentlichkeitsarbeit,nein,10,250,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Informationswesen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 54),Sonstiges,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Sächliche Verwaltungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,54709,11,"Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden",nein,11,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 54),Nicht aufteilbare sächliche Verwaltungsausgaben,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,98103,890,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981.1 und 981.7,nein,11,0,,,Finanzwirtschaft,Haushaltstechnische Verrechnungen,Haushaltstechnische Verrechnungen,Besondere Finanzierungsausgaben,Haushaltstechnische Verrechnungen,Verrechnungen zwischen Kapiteln,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,43157,18,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,nein,11,1260,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",Personalausgaben,Versorgungsbezüge und dgl.,"Versorgungsbezüge des Bundespräsidenten, Bundeskanzlers, der Ministerpräsidenten, Minister, Parlamentarischen Staatssekretäre und sonstiger Amtsträger",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,43257,18,Versorgungsbezüge,nein,11,3626,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",Personalausgaben,Versorgungsbezüge und dgl.,Versorgungsbezüge der Beamten und Richter,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,43457,18,Zuführung an die Versorgungsrücklage,nein,11,189,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",Personalausgaben,Versorgungsbezüge und dgl.,Zuführung an die Versorgungsrücklage,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,44357,18,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,nein,11,0,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",Personalausgaben,"Beihilfen, Unterstützungen und dgl.",Fürsorgeleistungen und Unterstützungen,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,44657,18,Beihilfen aufgrund der Beihilfevorschriften,nein,11,870,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",Personalausgaben,"Beihilfen, Unterstützungen und dgl.",Beihilfen für Versorgungsempfänger und dgl.,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,45357,18,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",nein,12,0,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",Personalausgaben,Sonstige personalbezogene Ausgaben,"Trennungsgeld, Umzugskostenvergütungen",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,63257,18,Erstattungen des Bundes für Versorgungslasten,nein,12,0,57,Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich,Sonstige Zuweisungen an Länder,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,42401,11,Zuführung an die Versorgungsrücklage,ja,12,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Bezüge und Nebenleistungen,Zuführung an die Versorgungsrücklage,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,44101,840,Beihilfen aufgrund der Beihilfevorschriften,ja,12,200,,,Finanzwirtschaft,"Beihilfen, Unterstützungen u.ä.","Beihilfen, Unterstützungen u.ä.",Personalausgaben,"Beihilfen, Unterstützungen und dgl.","Beihilfen, soweit nicht für Versorgungsempfänger und dgl.",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,44301,840,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,ja,12,40,,,Finanzwirtschaft,"Beihilfen, Unterstützungen u.ä.","Beihilfen, Unterstützungen u.ä.",Personalausgaben,"Beihilfen, Unterstützungen und dgl.",Fürsorgeleistungen und Unterstützungen,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,45202,223,Unfallversicherung Bund und Bahn,ja,12,6,,,"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik",Sozialversicherung einschl. Arbeitslosenversicherung,Unfallversicherung,Personalausgaben,Sonstige personalbezogene Ausgaben,Personalbezogene Zahlungen an die Sozialversicherungsträger (soweit nicht unter Obergruppen 41 bis 44 erfasst),2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,52601,11,Gerichts- und ähnliche Kosten,ja,12,7,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 52),"Sachverständige, Gerichts- und ähnliche Kosten",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,52602,11,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",ja,12,100,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 52),"Sachverständige, Gerichts- und ähnliche Kosten",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,54501,11,"Konferenzen, Tagungen, Messen und Ausstellungen",ja,12,1100,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 54),Sonstiges,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,63403,11,Zuweisungen an den Versorgungsfonds,ja,12,357,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich,Sonstige Zuweisungen an Sondervermögen,2017
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Verwaltungseinnahmen,112,Bundespräsidialamt,11999,11,Vermischte Einnahmen, ,14,2,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",Verwaltungseinnahmen,Sonstige,2017
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Verwaltungseinnahmen,112,Bundespräsidialamt,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,14,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen (ohne Zinsen),Mieten und Pachten,2017
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Verwaltungseinnahmen,112,Bundespräsidialamt,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,14,1,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.","Erlöse aus der Veräußerung von Gegenständen, Kapitalrückzahlungen",Erlöse aus der Veräußerung von beweglichen Sachen,2017
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Übrige Einnahmen,112,Bundespräsidialamt,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381.1 und 381.7, ,14,0,,,Finanzwirtschaft,Haushaltstechnische Verrechnungen,Haushaltstechnische Verrechnungen,"Einnahmen aus Schuldenaufnahmen, aus Zuweisungen und Zuschüssen für Investitionen, besondere Finanzierungseinnahmen",Haushaltstechnische Verrechnungen,Verrechnungen zwischen Kapiteln,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,112,Bundespräsidialamt,98103,890,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981.1 und 981.7,nein,14,0,,,Finanzwirtschaft,Haushaltstechnische Verrechnungen,Haushaltstechnische Verrechnungen,Besondere Finanzierungsausgaben,Haushaltstechnische Verrechnungen,Verrechnungen zwischen Kapiteln,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,42201,11,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,ja,15,5795,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Bezüge und Nebenleistungen,Bezüge und Nebenleistungen der Beamten und Richter,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,42202,11,Bezüge und Nebenleistungen der beamteten Hilfskräfte,ja,15,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Bezüge und Nebenleistungen,Bezüge und Nebenleistungen der Beamten und Richter,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,42709,11,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",ja,15,402,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Bezüge und Nebenleistungen,"Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,42801,11,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,ja,15,6977,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Bezüge und Nebenleistungen,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,45301,11,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",ja,15,50,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Sonstige personalbezogene Ausgaben,"Trennungsgeld, Umzugskostenvergütungen",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,51101,11,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",ja,15,1100,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,51401,11,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",ja,15,160,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,51701,11,"Bewirtschaftung der Grundstücke, Gebäude und Räume",ja,15,2203,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),"Bewirtschaftung der Grundstücke, Gebäude und Räume",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,51801,11,Mieten und Pachten,ja,15,333,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),Mieten und Pachten,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,51901,11,Unterhaltung der Grundstücke und baulichen Anlagen,ja,15,1100,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),Unterhaltung der Grundstücke und baulichen Anlagen,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,52501,11,Aus- und Fortbildung,ja,15,50,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 52),Aus- und Fortbildung,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,52604,11,Kosten der Kommission unabhängiger Sachverständiger gemäß § 18 Abs. 6 Parteiengesetz,ja,16,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 52),"Sachverständige, Gerichts- und ähnliche Kosten",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,52701,11,Dienstreisen,ja,16,210,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 52),Dienstreisen,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,53201,11,Aufträge und Dienstleistungen im Bereich Informationstechnik,ja,16,109,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 53),Sonstiges,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,53204,11,Kosten aus Anlass von Staatsbesuchen und Reisen des Bundespräsidenten im Ausland,ja,16,1300,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 53),Sonstiges,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,53205,11,Kosten für Orden und Ehrenzeichen,ja,16,85,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 53),Sonstiges,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,53999,11,Vermischte Verwaltungsausgaben,ja,16,668,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 53),Sonstiges,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,71101,11,"Kleine Neu-﻿, Um- und Erweiterungsbauten",ja,16,250,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Baumaßnahmen,Baumaßnahmen,Baumaßnahmen,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,71201,11,Baumaßnahmen von mehr als 2 000 000 € im Einzelfall,ja,16,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Baumaßnahmen,Baumaßnahmen,Baumaßnahmen,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,81101,11,Erwerb von Fahrzeugen,ja,16,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,Erwerb von beweglichen Sachen,Erwerb von Fahrzeugen,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,112,Bundespräsidialamt,81201,11,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",ja,16,345,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,Erwerb von beweglichen Sachen,Erwerb von Geräten und sonstigen beweglichen Sachen,2017
