ID,Haushalt Art,Titelnr.,Titel,Gruppennr.,Gruppe,Budget Richtung,Bezeichnung,Jahr,Ansatz/Rechnung,Betrag
26,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Ausgaben,Digitales Klassenzimmer,2015,Rechnung,0
27,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Ausgaben,Arbeitsgeräte und Maschinen,2015,Rechnung,0
28,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Ausgaben,Schulausstattungen,2015,Rechnung,42840
29,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Ausgaben,Beschaffung von Fahrzeugen,2015,Rechnung,0
30,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Ausgaben,"Erweiterungs-, Um- und Ausbauten",2015,Rechnung,0
31,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Ausgaben,"Erweiterungs-, Um- und Ausbaumaßnahmen  -EDV Verkabelung-",2015,Rechnung,0
32,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Ausgaben,"Erweiterungs-, Um- und Ausbaumaßnahme Generalinstandsetzung",2015,Rechnung,0
33,Vermögenshaushalt,2,Schulen,2111,James Krüss Grundschule,Einnahmen,Investitionszuweisungen vom Land,2015,Rechnung,0
34,Vermögenshaushalt,2,Schulen,2111,James Krüss Grundschule,Ausgaben,Zuwegung Frühlingstraße - Grunderwerb,2015,Rechnung,-25000
35,Vermögenshaushalt,2,Schulen,2111,James Krüss Grundschule,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
36,Vermögenshaushalt,2,Schulen,2111,James Krüss Grundschule,Ausgaben,Digitales Klassenzimmer,2015,Rechnung,0
37,Vermögenshaushalt,2,Schulen,2111,James Krüss Grundschule,Ausgaben,Arbeitsgeräte und Maschinen (Ausstattung),2015,Rechnung,0
38,Vermögenshaushalt,2,Schulen,2111,James Krüss Grundschule,Ausgaben,Schulausstattungen,2015,Rechnung,50000
39,Vermögenshaushalt,2,Schulen,2111,James Krüss Grundschule,Ausgaben,Gebäudeneubau Fassadensanierung,2015,Rechnung,30000
40,Vermögenshaushalt,2,Schulen,2111,James Krüss Grundschule,Ausgaben,"Erweiterungs-, Um- und Ausbauten",2015,Rechnung,1600000
41,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Einnahmen,Investitionszuweisungen von Gemeinden und Gemeindeverbänden,2015,Rechnung,0
42,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Einnahmen,Investitionszuschüsse v. übrigen Bereich,2015,Rechnung,0
43,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,Zimmerausstattungen,2015,Rechnung,0
44,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,Arbeitsgeräte und Maschinen (Ausstattung),2015,Rechnung,0
45,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,Digitales Klassenzimmer,2015,Rechnung,0
46,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,Schulausstattungen,2015,Rechnung,11254
47,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,"Erweiterungs-, Um- und Ausbauten Sanierung Tragwerk Turnhalle",2015,Rechnung,-5900
48,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,"Erweiterungs-, Um- und Ausbaumaßnahmen Sanierung Hartplatz",2015,Rechnung,-10000
49,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,"Erweiterungs-, Um- und Ausbaumaßnahme Umbau Kiosk für Mittagsbetreuung/Hort",2015,Rechnung,-14760
50,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,"Erweiterungs-, Um- und Ausbaumaßnahme Sanierung Brandschutz",2015,Rechnung,300000
51,Vermögenshaushalt,2,Schulen,2130,Mittelschulen,Ausgaben,"Hort, Spielhaus mit Freisitz",2015,Rechnung,-30000
52,Vermögenshaushalt,2,Schulen,2200,Realschulen,Ausgaben,Investitionzuweisung -Schulzweckverband-,2015,Rechnung,7910
53,Vermögenshaushalt,2,Schulen,2300,Gymnasium,Ausgaben,Investitionszuweisung-Schulzweckverband-,2015,Rechnung,0
54,Vermögenshaushalt,2,Schulen,2950,Sonstige schulische Aufgaben,Ausgaben,Beschaffung von Fahrzeugen,2015,Rechnung,0
55,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3000,Kulturförderung,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
56,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3210,Archiv -01-,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,-2000
57,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3211,Kunstsammlungen u.ä.,Einnahmen,Verkauf von beweglichen Sachen,2015,Rechnung,0
58,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3211,Kunstsammlungen u.ä.,Ausgaben,Erwerb von Kunstgegenständen,2015,Rechnung,500
59,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3521,Öffentliche Bücherei -01-,Einnahmen,Investitionszuweisungen vom Land,2015,Rechnung,0
60,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3521,Öffentliche Bücherei -01-,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
61,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3600,"Naturschutz, Landschaftspflege",Ausgaben,Biotope,2015,Rechnung,0
62,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3700,Kirchen,Ausgaben,Zuschüsse für Investitionen Kath. Pfarramt St. Sebastian,2015,Rechnung,0
63,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3700,Kirchen,Ausgaben,Investitionszuschüsse an den übrigen Bereich - Evangelische Kirche,2015,Rechnung,0
64,Vermögenshaushalt,3,"Wissenschaft, Forschung , Kulturpflege",3700,Kirchen,Ausgaben,Investitionszuschüsse an den übrigen Bereich-RenovierungSt.Vitus/St.Sebastian,2015,Rechnung,0
65,Vermögenshaushalt,4,Soziale Sicherung,4000,Verwaltung der sozialen Angelegenheiten,Ausgaben,Investitionszuschüsse an den übrigen Bereich,2015,Rechnung,4000
66,Vermögenshaushalt,4,Soziale Sicherung,4320,Soziale Einrichtungen f.pflegebedürftige ältere Menschen,Einnahmen,Rückflüsse von Darlehen vom Landkreis vom Landkreis,2015,Rechnung,8282
67,Vermögenshaushalt,4,Soziale Sicherung,4601,Einrichtung der Jugendarbeit-Spielplätze,Ausgaben,Spielplätze,2015,Rechnung,0
68,Vermögenshaushalt,4,Soziale Sicherung,4601,Einrichtung der Jugendarbeit-Spielplätze,Ausgaben,Spielplatz Gernholzweg  - Karusell -,2015,Rechnung,-463
69,Vermögenshaushalt,4,Soziale Sicherung,4602,Einrichtungen der Jugendarbeit-Jugendhaus,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
70,Vermögenshaushalt,4,Soziale Sicherung,4605,Einrichtung der Jugdendarbeit - Abenteuerspielplatz,Einnahmen,Investitionszuweisungen Kommunaler Jugendplan Nr.1 des Lkr. STA,2015,Rechnung,30000
71,Vermögenshaushalt,4,Soziale Sicherung,4605,Einrichtung der Jugdendarbeit - Abenteuerspielplatz,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,1000
72,Vermögenshaushalt,4,Soziale Sicherung,4605,Einrichtung der Jugdendarbeit - Abenteuerspielplatz,Ausgaben,Neubau Abenteuerspielplatz,2015,Rechnung,20000
73,Vermögenshaushalt,4,Soziale Sicherung,4641,Tageseinrichtung für Kinder -Kath. Kindergarten und Hort-,Einnahmen,Darlehensrückflüsse vom übrigen Bereich,2015,Rechnung,4601
74,Vermögenshaushalt,4,Soziale Sicherung,4642,Tageseinrichtung für Kinder -02- (Kindergarten Geisenbrunn),Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,1000
75,Vermögenshaushalt,4,Soziale Sicherung,4643,Tageseinrichtung für Kinder -03- (Kindergarten Wichtlhaus),Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,526
76,Vermögenshaushalt,4,Soziale Sicherung,4644,Tageseinrichtung für Kinder -04- (KiGa Gilchinger Strolche),Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,1000
77,Vermögenshaushalt,4,Soziale Sicherung,4645,Tageseinrichtung für Kinder -05- (Kindergarten Montessori),Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,3093
78,Vermögenshaushalt,4,Soziale Sicherung,4646,Tageseinrichtung für Kinder - Mittagsbetreuung,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,1000
79,Vermögenshaushalt,4,Soziale Sicherung,4647,Tageseinrichtung für Kinder (Kindergarten Kinderfarm),Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,1759
80,Vermögenshaushalt,4,Soziale Sicherung,4648,Kinderkrippe Abenteuerspielplatz,Einnahmen,Investitionszuweisungen v. Land Art. 10  FAG - KiGa und Hort,2015,Rechnung,0
81,Vermögenshaushalt,4,Soziale Sicherung,4648,Kinderkrippe Abenteuerspielplatz,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
82,Vermögenshaushalt,4,Soziale Sicherung,4648,Kinderkrippe Abenteuerspielplatz,Ausgaben,Gebäudeneubau,2015,Rechnung,0
83,Vermögenshaushalt,4,Soziale Sicherung,4649,ehemals Kinderkrippe Die kleinen Löwen (Träger Gemeinde),Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
84,Vermögenshaushalt,4,Soziale Sicherung,4653,Kinderhort der Diakonie,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
85,Vermögenshaushalt,4,Soziale Sicherung,4681,Tageseinrichtungen für Kinder -BIV Kindergarten-,Einnahmen,Investitionszuweisungen v. Land Art. 10 FAG - Umbau u. Erweiterung des BIV-KiGa,2015,Rechnung,0
86,Vermögenshaushalt,4,Soziale Sicherung,4681,Tageseinrichtungen für Kinder -BIV Kindergarten-,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,-1000
87,Vermögenshaushalt,4,Soziale Sicherung,4681,Tageseinrichtungen für Kinder -BIV Kindergarten-,Ausgaben,"Erweiterungs-, Um- und Ausbauten",2015,Rechnung,-40525
88,Vermögenshaushalt,4,Soziale Sicherung,4682,Tageseinrichtungen für Kinder -Evang. Kindergarten-+Hort,Einnahmen,Investitionszuweisungen v. Land Art. 10 FAG - Hort im KiGa St. Johannes,2015,Rechnung,0
89,Vermögenshaushalt,4,Soziale Sicherung,4682,Tageseinrichtungen für Kinder -Evang. Kindergarten-+Hort,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
90,Vermögenshaushalt,4,Soziale Sicherung,4685, Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg,Einnahmen,Investitionszuweisungen v.Land Invest.Pr Kinderkrippe,2015,Rechnung,952000
91,Vermögenshaushalt,4,Soziale Sicherung,4685, Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg,Einnahmen,Investitionszuweisungen v.Land Art. 10 FAG - KiGa und Hort,2015,Rechnung,100000
92,Vermögenshaushalt,4,Soziale Sicherung,4685, Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,18075
93,Vermögenshaushalt,4,Soziale Sicherung,4685, Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg,Ausgaben,Gebäudeneubau Kinderhaus,2015,Rechnung,753724
94,Vermögenshaushalt,4,Soziale Sicherung,4685, Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg,Ausgaben,Gebäudeneubau Kindergarten,2015,Rechnung,400000
95,Vermögenshaushalt,4,Soziale Sicherung,4686,Tageseinrichtung für Kinder - Kinderhort an der Arnoldus-GS,Einnahmen,Investitionszuweisungen v.Land Art. 10 FAG - KiGa und Hort,2015,Rechnung,300000
96,Vermögenshaushalt,4,Soziale Sicherung,4686,Tageseinrichtung für Kinder - Kinderhort an der Arnoldus-GS,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,40000
97,Vermögenshaushalt,4,Soziale Sicherung,4686,Tageseinrichtung für Kinder - Kinderhort an der Arnoldus-GS,Ausgaben,Gebäudeneubau,2015,Rechnung,3000000
98,Vermögenshaushalt,4,Soziale Sicherung,4687,Tageseinrichtung für Kinder - Mittagsbetreuung - Lilienthalstraße -,Einnahmen,Investitionszuweisungen v.Land Art. 10 FAG - KiGa und Hort,2015,Rechnung,0
99,Vermögenshaushalt,4,Soziale Sicherung,4687,Tageseinrichtung für Kinder - Mittagsbetreuung - Lilienthalstraße -,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,5000
100,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5100,Krankenhäuser,Ausgaben,Investitionszuweisungen Krankenhauszweckverband Seefeld,2015,Rechnung,0
101,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5500,Förderung des Sports,Ausgaben,Pump-Track-Gelände Moutainbike,2015,Rechnung,0
102,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5500,Förderung des Sports,Ausgaben,Neue Lautsprecheranlage im Stadion Talhofstraße,2015,Rechnung,0
103,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5500,Förderung des Sports,Ausgaben,Investitionszuschüsse an den übrigen Bereich - Schützengesellschaft Edelweiß,2015,Rechnung,0
104,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
105,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,"Erweiterungs-, Um- und Ausbaumaßnahme  -Beachvolleyball-Anlage",2015,Rechnung,85201
106,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,"Erweiterungs-, Um- und Außbaumaßnahmen Sportgelände - Zaunbau Tennisanlage",2015,Rechnung,0
107,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,"Erweiterungs-, Um- und Ausbaumaßnahme Sportgelände - Zaunbau Fußballplatz-",2015,Rechnung,0
108,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,"Erweiterungs-, Um- und Außbaumaßnahmen Sportgelände - Beregnungsanlagen -",2015,Rechnung,0
109,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,"Erweiterungs-, Um- und Außbaumaßnahmen Sanierung Stadionbelag",2015,Rechnung,0
110,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,"Skateranlage, Neubau oder Sanierung",2015,Rechnung,0
111,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,Pflasterplatz für Stockschützen Frauenwiesenweg,2015,Rechnung,0
112,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5600,Sportanlagen,Ausgaben,Betriebstechnische Anlagen Flutlichtanlagen Sportgelände,2015,Rechnung,0
113,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5819,Parkanlagen und öffentliche Grünflächen Einnahmen,Ausgaben,Sport- und Grünflächen u.ä.,2015,Rechnung,2635
114,Vermögenshaushalt,5,"Gesundheit, Sport, Erholung",5901,Generationenspielplatz,Ausgaben,Generationenspielplatz,2015,Rechnung,0
115,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6000,Bauverwaltung,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,3972
116,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6000,Bauverwaltung,Ausgaben,Arbeitsgeräte und Maschinen (Ausstattung),2015,Rechnung,14372
117,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6100,"Städtebaul. Planung, Städtebauförderung, Vermessung, Bauordnung",Einnahmen,Sonstige Beiträge u.ä.,2015,Rechnung,0
118,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6100,"Städtebaul. Planung, Städtebauförderung, Vermessung, Bauordnung",Einnahmen,Investitionszuweisungen vom Land,2015,Rechnung,0
119,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6100,"Städtebaul. Planung, Städtebauförderung, Vermessung, Bauordnung",Ausgaben,Tiefbaumaßnahme  -Umgestaltung Bahnhofsvorplatz-,2015,Rechnung,50000
120,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6100,"Städtebaul. Planung, Städtebauförderung, Vermessung, Bauordnung",Ausgaben,Städtebauliche Planungen und Energiekonzept Gilchinger Glatze,2015,Rechnung,10000
121,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6200,Wohnungsbauförderung und Wohnungsfürsorge,Einnahmen,Darlehensrückflüsse von Zweckverbänden und dgl.,2015,Rechnung,19998
122,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6200,Wohnungsbauförderung und Wohnungsfürsorge,Einnahmen,Darlehenrückflüsse v.privat.Unternehmen Baugenossenschaft-Sonnenstraßel 0-16,2015,Rechnung,11745
123,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6200,Wohnungsbauförderung und Wohnungsfürsorge,Einnahmen,Darlehensrückflüsse vom übrigen Bereich,2015,Rechnung,147847
124,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6200,Wohnungsbauförderung und Wohnungsfürsorge,Ausgaben,Investitionszuweisung Verband Wohnen im Kreis Starnberg,2015,Rechnung,132929
125,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6200,Wohnungsbauförderung und Wohnungsfürsorge,Ausgaben,Investitionszusch.an den übr. Bereich  -Energiesparmassnahmen GR v.27.11.01,2015,Rechnung,0
126,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Venusstraße,2015,Rechnung,0
127,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeitrag Schellenbergstraße,2015,Rechnung,35000
128,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Steinlacher Weg,2015,Rechnung,109672
129,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Pähler Weg,2015,Rechnung,0
130,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Neubruchweg,2015,Rechnung,0
131,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Argelsrieder Weg,2015,Rechnung,0
132,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Waldstraße,2015,Rechnung,0
133,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Römerstraße zw. Görbelmoos- und Starnberger Weg,2015,Rechnung,0
134,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Angerfeldstraße,2015,Rechnung,0
135,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge St-Gilgener Straße,2015,Rechnung,0
136,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Fichtenstraße,2015,Rechnung,0
137,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Tonwerkstraße ab Kurve S-Bahnunterführung,2015,Rechnung,0
138,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Erschließungsbeiträge Eichenstraße,2015,Rechnung,0
139,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Investitionszuweisungen vom Land Breitbandausbau,2015,Rechnung,24842
140,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Einnahmen,Zuwendung nach Art. 13c FAG Kreisverkehr Karolingerstraße,2015,Rechnung,204000
141,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,Erwerb von Verkehrsflächen und grundstücksgleiche Rechte,2015,Rechnung,100000
142,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,Erwerb von beweglichen Sachen des Anlage -vermögens Sicherung Straßenverkehr,2015,Rechnung,12219
143,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,Breitbandausbau,2015,Rechnung,87000
144,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,"Straßen, Plätze, Brücken u.ä. Planungskosten, Staubfreimachung",2015,Rechnung,79927
145,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,"Straßen, Plätze, Brücken u.ä. (Gestaltung Ortszentrum)",2015,Rechnung,0
146,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,"Straßen, Plätze, Brücken u.ä. Kreisverkehr Karolingerstr.",2015,Rechnung,156183
147,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,"Straßen, Plätze, Brücken u.ä. Kreisverkehr Sonnenstraße",2015,Rechnung,0
148,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,Tiefbaumaßnahme Gewerbegebiet A96 Nord,2015,Rechnung,75000
149,Vermögenshaushalt,6,"Bau- und Wohnungswesen, Verkehr",6300,Gemeindestraßen,Ausgaben,Generalsanierung S-Bahn-Brücken,2015,Rechnung,60000
