Nr;Gruppe;Bezeichnung;Jahr;Richtung;Status;Betrag
3400;Wissenschaft, Forschung und Kulturpflege;Heimat- u. sonstige Kulturpflege;2011;Einnahmen;Rechnungsergebnis;26925
3500;Wissenschaft, Forschung und Kulturpflege;Volkshochschulen;2011;Einnahmen;Rechnungsergebnis;0
3600;Wissenschaft, Forschung und Kulturpflege;Natur- und Landschaftspflege;2011;Einnahmen;Rechnungsergebnis;0
3661;Wissenschaft, Forschung und Kulturpflege;Ehemalige Synagoge;2011;Einnahmen;Rechnungsergebnis;942
3700;Wissenschaft, Forschung und Kulturpflege;Kirchliche Angelegenheiten;2011;Einnahmen;Rechnungsergebnis;0
4000;Soziale Sicherung;Verwaltung der sozialen Angelegenheiten;2011;Einnahmen;Rechnungsergebnis;10300
4310;Soziale Sicherung;Seniorenbetreuung;2011;Einnahmen;Rechnungsergebnis;1430
4350;Soziale Sicherung;Soziale Einrichtungen für Wohnungslose;2011;Einnahmen;Rechnungsergebnis;28750
4360;Soziale Sicherung;Allgemeine Sozialhilfe/Asyl;2011;Einnahmen;Rechnungsergebnis;31988
4510;Soziale Sicherung;Jugendarbeit;2011;Einnahmen;Rechnungsergebnis;13880
4600;Soziale Sicherung;Jugendzentrum;2011;Einnahmen;Rechnungsergebnis;9100
4640;Soziale Sicherung;Regenbogenland;2011;Einnahmen;Rechnungsergebnis;184432
4642;Soziale Sicherung;Förderung von Kindergärten;2011;Einnahmen;Rechnungsergebnis;576537
4643;Soziale Sicherung;Kinderkrippe Hildastraße;2011;Einnahmen;Rechnungsergebnis;0
4700;Soziale Sicherung;Förderung anderer Träger der Wohlfahrtspflege;2011;Einnahmen;Rechnungsergebnis;0
4980;Soziale Sicherung;Kriegsopferfürsorge und ähnliche Maßnahmen;2011;Einnahmen;Rechnungsergebnis;0
5480;Gesundheit, Sport, Erholung;Sonstige Einrichtungen der Gesundheitspflege (DRK);2011;Einnahmen;Rechnungsergebnis;7826
5510;Gesundheit, Sport, Erholung;Förderung des Sports;2011;Einnahmen;Rechnungsergebnis;10765
5610;Gesundheit, Sport, Erholung;Sporthallen (Hans-Michel-Halle);2011;Einnahmen;Rechnungsergebnis;51095
5611;Gesundheit, Sport, Erholung;Sporthallen (Sporth. an der Schillerschule);2011;Einnahmen;Rechnungsergebnis;39584
5620;Gesundheit, Sport, Erholung;Stadien und Sportplätze;2011;Einnahmen;Rechnungsergebnis;18105
5630;Gesundheit, Sport, Erholung;Reithalle;2011;Einnahmen;Rechnungsergebnis;15153
5640;Gesundheit, Sport, Erholung;Kegelbahnen;2011;Einnahmen;Rechnungsergebnis;43593
5650;Gesundheit, Sport, Erholung;Tennisplätze - TC 65;2011;Einnahmen;Rechnungsergebnis;1437
5710;Gesundheit, Sport, Erholung;Freibad Wiesensee;2011;Einnahmen;Rechnungsergebnis;128984
5820;Gesundheit, Sport, Erholung;Parkanlagen und öffentliche Grünflächen;2011;Einnahmen;Rechnungsergebnis;0
5830;Gesundheit, Sport, Erholung;Öffentliche Kinderspielplätze;2011;Einnahmen;Rechnungsergebnis;0
5910;Gesundheit, Sport, Erholung;Campingplatz;2011;Einnahmen;Rechnungsergebnis;15350
5940;Gesundheit, Sport, Erholung;Erholungsgebiet Wiesensee;2011;Einnahmen;Rechnungsergebnis;74159
5950;Gesundheit, Sport, Erholung;Kleingärtnerwesen;2011;Einnahmen;Rechnungsergebnis;0
5960;Gesundheit, Sport, Erholung;Förster-Braun-Hütte;2011;Einnahmen;Rechnungsergebnis;8159
6000;Bau- und Wohnungswesen, Verkehr;Bauverwaltung;2011;Einnahmen;Rechnungsergebnis;236880
6101;Bau- und Wohnungswesen, Verkehr;Stadtplanung;2011;Einnahmen;Rechnungsergebnis;0
6120;Bau- und Wohnungswesen, Verkehr;Vermessung;2011;Einnahmen;Rechnungsergebnis;0
6130;Bau- und Wohnungswesen, Verkehr;Untere Baurechtsbehörde;2011;Einnahmen;Rechnungsergebnis;84381
6160;Bau- und Wohnungswesen, Verkehr;Straßenraumgestaltung, Lärmschutzwälle;2011;Einnahmen;Rechnungsergebnis;0
6300;Bau- und Wohnungswesen, Verkehr;Gemeindestraßen;2011;Einnahmen;Rechnungsergebnis;13036
6330;Bau- und Wohnungswesen, Verkehr;Verkehrssicherungsanlagen;2011;Einnahmen;Rechnungsergebnis;0
6700;Bau- und Wohnungswesen, Verkehr;Straßenbeleuchtung;2011;Einnahmen;Rechnungsergebnis;0
6750;Bau- und Wohnungswesen, Verkehr;Straßenreinigung;2011;Einnahmen;Rechnungsergebnis;0
6800;Bau- und Wohnungswesen, Verkehr;Tiefgarage Grabenstraße;2011;Einnahmen;Rechnungsergebnis;985
6900;Bau- und Wohnungswesen, Verkehr;Wasserläufe, Wasserbau;2011;Einnahmen;Rechnungsergebnis;0
7000;Öffentliche Einrichtungen, Wirtschaftsförderung;Abwasserbeseitigung;2011;Einnahmen;Rechnungsergebnis;1367524
7200;Öffentliche Einrichtungen, Wirtschaftsförderung;Abfallbeseitigung;2011;Einnahmen;Rechnungsergebnis;0
7240;Öffentliche Einrichtungen, Wirtschaftsförderung;Altlastenbeseiligung;2011;Einnahmen;Rechnungsergebnis;66984
7500;Öffentliche Einrichtungen, Wirtschaftsförderung;Bestattungswesen;2011;Einnahmen;Rechnungsergebnis;167246
7510;Öffentliche Einrichtungen, Wirtschaftsförderung;Jüdischer Friedhof;2011;Einnahmen;Rechnungsergebnis;32879
7630;Öffentliche Einrichtungen, Wirtschaftsförderung;Anschlagsäulen, Plakattafeln, Werbeeinrichtungen;2011;Einnahmen;Rechnungsergebnis;1049
7710;Öffentliche Einrichtungen, Wirtschaftsförderung;Bauhof;2011;Einnahmen;Rechnungsergebnis;1178742
7810;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Landwirtschaft und des Weinbaus;2011;Einnahmen;Rechnungsergebnis;4854
7820;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Kleintierzucht;2011;Einnahmen;Rechnungsergebnis;0
7830;Öffentliche Einrichtungen, Wirtschaftsförderung;Wirtschaftswege;2011;Einnahmen;Rechnungsergebnis;0
7900;Öffentliche Einrichtungen, Wirtschaftsförderung;Fremdenverkehr. sonst. Förd. v. Wirtschaft/Verkehr;2011;Einnahmen;Rechnungsergebnis;0
7920;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung des öffentlichen Personennahverkehrs;2011;Einnahmen;Rechnungsergebnis;0
8100;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Elektrizitätsversorgung;2011;Einnahmen;Rechnungsergebnis;322032
8130;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Gasversorgung;2011;Einnahmen;Rechnungsergebnis;29753
8550;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Forstwirtschaftliche Unternehmen;2011;Einnahmen;Rechnungsergebnis;83008
8810;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Wohn- und Geschäftsgebäude;2011;Einnahmen;Rechnungsergebnis;62681
8811;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sport-Center, Hüttenfelder Straße;2011;Einnahmen;Rechnungsergebnis;68425
8830;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sonstiges Grundvermögen;2011;Einnahmen;Rechnungsergebnis;63863
9000;Allgemeine Finanzwirtschaft;Steuern, allg. Zuweisungen und allg. Umlagen;2011;Einnahmen;Rechnungsergebnis;12995671
9100;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2011;Einnahmen;Rechnungsergebnis;913988
10;Allgemeine Verwaltung;Gemeindeorgane;2011;Ausgaben;Rechnungsergebnis;400553
200;Allgemeine Verwaltung;Hauptverwaltung;2011;Ausgaben;Rechnungsergebnis;176135
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2011;Ausgaben;Rechnungsergebnis;46622
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2011;Ausgaben;Rechnungsergebnis;285592
310;Allgemeine Verwaltung;Stadtkasse;2011;Ausgaben;Rechnungsergebnis;97670
500;Allgemeine Verwaltung;Standesamt;2011;Ausgaben;Rechnungsergebnis;78910
520;Allgemeine Verwaltung;Wahlen;2011;Ausgaben;Rechnungsergebnis;40565
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2011;Ausgaben;Rechnungsergebnis;518440
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2011;Ausgaben;Rechnungsergebnis;101851
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2011;Ausgaben;Rechnungsergebnis;29824
1100;Öffentliche Sicherheit und Ordnung;Öffentliche Ordnung;2011;Ausgaben;Rechnungsergebnis;397927
1110;Öffentliche Sicherheit und Ordnung;Meldewesen/Einwohnerwesen;2011;Ausgaben;Rechnungsergebnis;84955
1140;Öffentliche Sicherheit und Ordnung;Grundbuchamt;2011;Ausgaben;Rechnungsergebnis;148600
1220;Öffentliche Sicherheit und Ordnung;Umweltamt;2011;Ausgaben;Rechnungsergebnis;17156
1310;Öffentliche Sicherheit und Ordnung;Feuerwehr und andere Aufgaben des Brandschutzes;2011;Ausgaben;Rechnungsergebnis;111357
2111;Schulen;Goetheschute;2011;Ausgaben;Rechnungsergebnis;102556
2112;Schulen;Hebelschule;2011;Ausgaben;Rechnungsergebnis;137596
2113;Schulen;Uhlandschule;2011;Ausgaben;Rechnungsergebnis;85062
2910;Schulen;Betreuungsangebote an Schulen;2011;Ausgaben;Rechnungsergebnis;123496
2920;Schulen;Hort an der Schule;2011;Ausgaben;Rechnungsergebnis;93017
2950;Schulen;Sonstige schulische Aufgaben;2011;Ausgaben;Rechnungsergebnis;242097
2951;Schulen;Schulsozialarbeit;2011;Ausgaben;Rechnungsergebnis;0
3000;Wissenschaft, Forschung und Kulturpflege;Verwaltung kultureller Angelegenheiten;2011;Ausgaben;Rechnungsergebnis;129613
3320;Wissenschaft, Forschung und Kulturpflege;Musikpflege;2011;Ausgaben;Rechnungsergebnis;4060
3330;Wissenschaft, Forschung und Kulturpflege;Musikschulen;2011;Ausgaben;Rechnungsergebnis;42319
3400;Wissenschaft, Forschung und Kulturpflege;Heimat- u. sonstige Kulturpflege;2011;Ausgaben;Rechnungsergebnis;76866
3500;Wissenschaft, Forschung und Kulturpflege;Volkshochschulen;2011;Ausgaben;Rechnungsergebnis;20287
3600;Wissenschaft, Forschung und Kulturpflege;Natur- und Landschaftspflege;2011;Ausgaben;Rechnungsergebnis;9298
3661;Wissenschaft, Forschung und Kulturpflege;Ehemalige Synagoge;2011;Ausgaben;Rechnungsergebnis;14442
3700;Wissenschaft, Forschung und Kulturpflege;Kirchliche Angelegenheiten;2011;Ausgaben;Rechnungsergebnis;27672
4000;Soziale Sicherung;Verwaltung der sozialen Angelegenheiten;2011;Ausgaben;Rechnungsergebnis;80616
4310;Soziale Sicherung;Seniorenbetreuung;2011;Ausgaben;Rechnungsergebnis;12664
4350;Soziale Sicherung;Soziale Einrichtungen für Wohnungslose;2011;Ausgaben;Rechnungsergebnis;47171
4360;Soziale Sicherung;Allgemeine Sozialhilfe/Asyl;2011;Ausgaben;Rechnungsergebnis;71111
4510;Soziale Sicherung;Jugendarbeit;2011;Ausgaben;Rechnungsergebnis;73765
4600;Soziale Sicherung;Jugendzentrum;2011;Ausgaben;Rechnungsergebnis;133982
4640;Soziale Sicherung;Regenbogenland;2011;Ausgaben;Rechnungsergebnis;985928
4642;Soziale Sicherung;Förderung von Kindergärten;2011;Ausgaben;Rechnungsergebnis;946541
4643;Soziale Sicherung;Kinderkrippe Hildastraße;2011;Ausgaben;Rechnungsergebnis;0
4700;Soziale Sicherung;Förderung anderer Träger der Wohlfahrtspflege;2011;Ausgaben;Rechnungsergebnis;3676
4980;Soziale Sicherung;Kriegsopferfürsorge und ähnliche Maßnahmen;2011;Ausgaben;Rechnungsergebnis;5214
5480;Gesundheit, Sport, Erholung;Sonstige Einrichtungen der Gesundheitspflege (DRK);2011;Ausgaben;Rechnungsergebnis;10871
5510;Gesundheit, Sport, Erholung;Förderung des Sports;2011;Ausgaben;Rechnungsergebnis;246099
5610;Gesundheit, Sport, Erholung;Sporthallen (Hans-Michel-Halle);2011;Ausgaben;Rechnungsergebnis;141977
5611;Gesundheit, Sport, Erholung;Sporthallen (Sporth. an der Schillerschule);2011;Ausgaben;Rechnungsergebnis;35347
5620;Gesundheit, Sport, Erholung;Stadien und Sportplätze;2011;Ausgaben;Rechnungsergebnis;142353
5630;Gesundheit, Sport, Erholung;Reithalle;2011;Ausgaben;Rechnungsergebnis;14342
5640;Gesundheit, Sport, Erholung;Kegelbahnen;2011;Ausgaben;Rechnungsergebnis;44296
5650;Gesundheit, Sport, Erholung;Tennisplätze - TC 65;2011;Ausgaben;Rechnungsergebnis;839
5710;Gesundheit, Sport, Erholung;Freibad Wiesensee;2011;Ausgaben;Rechnungsergebnis;271231
5820;Gesundheit, Sport, Erholung;Parkanlagen und öffentliche Grünflächen;2011;Ausgaben;Rechnungsergebnis;191323
5830;Gesundheit, Sport, Erholung;Öffentliche Kinderspielplätze;2011;Ausgaben;Rechnungsergebnis;73992
5910;Gesundheit, Sport, Erholung;Campingplatz;2011;Ausgaben;Rechnungsergebnis;28564
5940;Gesundheit, Sport, Erholung;Erholungsgebiet Wiesensee;2011;Ausgaben;Rechnungsergebnis;31237
5950;Gesundheit, Sport, Erholung;Kleingärtnerwesen;2011;Ausgaben;Rechnungsergebnis;500
5960;Gesundheit, Sport, Erholung;Förster-Braun-Hütte;2011;Ausgaben;Rechnungsergebnis;9152
6000;Bau- und Wohnungswesen, Verkehr;Bauverwaltung;2011;Ausgaben;Rechnungsergebnis;372988
6101;Bau- und Wohnungswesen, Verkehr;Stadtplanung;2011;Ausgaben;Rechnungsergebnis;13685
6120;Bau- und Wohnungswesen, Verkehr;Vermessung;2011;Ausgaben;Rechnungsergebnis;0
6130;Bau- und Wohnungswesen, Verkehr;Untere Baurechtsbehörde;2011;Ausgaben;Rechnungsergebnis;126293
6160;Bau- und Wohnungswesen, Verkehr;Straßenraumgestaltung, Lärmschutzwälle;2011;Ausgaben;Rechnungsergebnis;18300
6300;Bau- und Wohnungswesen, Verkehr;Gemeindestraßen;2011;Ausgaben;Rechnungsergebnis;479807
6330;Bau- und Wohnungswesen, Verkehr;Verkehrssicherungsanlagen;2011;Ausgaben;Rechnungsergebnis;8490
6700;Bau- und Wohnungswesen, Verkehr;Straßenbeleuchtung;2011;Ausgaben;Rechnungsergebnis;73587
6750;Bau- und Wohnungswesen, Verkehr;Straßenreinigung;2011;Ausgaben;Rechnungsergebnis;129960
6800;Bau- und Wohnungswesen, Verkehr;Tiefgarage Grabenstraße;2011;Ausgaben;Rechnungsergebnis;1029
6900;Bau- und Wohnungswesen, Verkehr;Wasserläufe, Wasserbau;2011;Ausgaben;Rechnungsergebnis;14111
7000;Öffentliche Einrichtungen, Wirtschaftsförderung;Abwasserbeseitigung;2011;Ausgaben;Rechnungsergebnis;1318885
7200;Öffentliche Einrichtungen, Wirtschaftsförderung;Abfallbeseitigung;2011;Ausgaben;Rechnungsergebnis;5439
7240;Öffentliche Einrichtungen, Wirtschaftsförderung;Altlastenbeseiligung;2011;Ausgaben;Rechnungsergebnis;67016
7500;Öffentliche Einrichtungen, Wirtschaftsförderung;Bestattungswesen;2011;Ausgaben;Rechnungsergebnis;265162
7510;Öffentliche Einrichtungen, Wirtschaftsförderung;Jüdischer Friedhof;2011;Ausgaben;Rechnungsergebnis;44204
7630;Öffentliche Einrichtungen, Wirtschaftsförderung;Anschlagsäulen, Plakattafeln, Werbeeinrichtungen;2011;Ausgaben;Rechnungsergebnis;0
7710;Öffentliche Einrichtungen, Wirtschaftsförderung;Bauhof;2011;Ausgaben;Rechnungsergebnis;1179746
7810;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Landwirtschaft und des Weinbaus;2011;Ausgaben;Rechnungsergebnis;0
7820;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Kleintierzucht;2011;Ausgaben;Rechnungsergebnis;8904
7830;Öffentliche Einrichtungen, Wirtschaftsförderung;Wirtschaftswege;2011;Ausgaben;Rechnungsergebnis;43815
7900;Öffentliche Einrichtungen, Wirtschaftsförderung;Fremdenverkehr. sonst. Förd. v. Wirtschaft/Verkehr;2011;Ausgaben;Rechnungsergebnis;32611
7920;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung des öffentlichen Personennahverkehrs;2011;Ausgaben;Rechnungsergebnis;4705
8100;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Elektrizitätsversorgung;2011;Ausgaben;Rechnungsergebnis;0
8130;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Gasversorgung;2011;Ausgaben;Rechnungsergebnis;0
8550;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Forstwirtschaftliche Unternehmen;2011;Ausgaben;Rechnungsergebnis;99999
8810;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Wohn- und Geschäftsgebäude;2011;Ausgaben;Rechnungsergebnis;98536
8811;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sport-Center, Hüttenfelder Straße;2011;Ausgaben;Rechnungsergebnis;138516
8830;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sonstiges Grundvermögen;2011;Ausgaben;Rechnungsergebnis;31809
9000;Allgemeine Finanzwirtschaft;Steuern, allg. Zuweisungen und allg. Umlagen;2011;Ausgaben;Rechnungsergebnis;6791047
9100;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2011;Ausgaben;Rechnungsergebnis;1153366
10;Allgemeine Verwaltung;Gemeindeorgane;2012;Einnahmen;Rechnungsergebnis;64479
200;Allgemeine Verwaltung;Hauptverwaltung;2012;Einnahmen;Rechnungsergebnis;29087
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2012;Einnahmen;Rechnungsergebnis;250
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2012;Einnahmen;Rechnungsergebnis;156256
310;Allgemeine Verwaltung;Stadtkasse;2012;Einnahmen;Rechnungsergebnis;13900
500;Allgemeine Verwaltung;Standesamt;2012;Einnahmen;Rechnungsergebnis;10183
520;Allgemeine Verwaltung;Wahlen;2012;Einnahmen;Rechnungsergebnis;8382
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2012;Einnahmen;Rechnungsergebnis;8885
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2012;Einnahmen;Rechnungsergebnis;2240
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2012;Einnahmen;Rechnungsergebnis;0
1100;Öffentliche Sicherheit und Ordnung;Öffentliche Ordnung;2012;Einnahmen;Rechnungsergebnis;128255
1110;Öffentliche Sicherheit und Ordnung;Meldewesen/Einwohnerwesen;2012;Einnahmen;Rechnungsergebnis;22855
1140;Öffentliche Sicherheit und Ordnung;Grundbuchamt;2012;Einnahmen;Rechnungsergebnis;65950
1220;Öffentliche Sicherheit und Ordnung;Umweltamt;2012;Einnahmen;Rechnungsergebnis;6000
1310;Öffentliche Sicherheit und Ordnung;Feuerwehr und andere Aufgaben des Brandschutzes;2012;Einnahmen;Rechnungsergebnis;30744
2111;Schulen;Goetheschute;2012;Einnahmen;Rechnungsergebnis;381
2112;Schulen;Hebelschule;2012;Einnahmen;Rechnungsergebnis;28231
2113;Schulen;Uhlandschule;2012;Einnahmen;Rechnungsergebnis;5105
2910;Schulen;Betreuungsangebote an Schulen;2012;Einnahmen;Rechnungsergebnis;130625
2920;Schulen;Hort an der Schule;2012;Einnahmen;Rechnungsergebnis;63770
2950;Schulen;Sonstige schulische Aufgaben;2012;Einnahmen;Rechnungsergebnis;3634
2951;Schulen;Schulsozialarbeit;2012;Einnahmen;Rechnungsergebnis;0
3000;Wissenschaft, Forschung und Kulturpflege;Verwaltung kultureller Angelegenheiten;2012;Einnahmen;Rechnungsergebnis;76599
3320;Wissenschaft, Forschung und Kulturpflege;Musikpflege;2012;Einnahmen;Rechnungsergebnis;0
3330;Wissenschaft, Forschung und Kulturpflege;Musikschulen;2012;Einnahmen;Rechnungsergebnis;0
3400;Wissenschaft, Forschung und Kulturpflege;Heimat- u . sonstige Kulturpflege;2012;Einnahmen;Rechnungsergebnis;17122
3500;Wissenschaft, Forschung und Kulturpflege;Volkshochschulen;2012;Einnahmen;Rechnungsergebnis;0
3520;Wissenschaft, Forschung und Kulturpflege;Mediathek;2012;Einnahmen;Rechnungsergebnis;0
3600;Wissenschaft, Forschung und Kulturpflege;Natur- und Landschaftspflege;2012;Einnahmen;Rechnungsergebnis;0
3661;Wissenschaft, Forschung und Kulturpflege;Ehemahge Synagoge;2012;Einnahmen;Rechnungsergebnis;2242
3700;Wissenschaft, Forschung und Kulturpflege;Kirchliche Angelegenheiten;2012;Einnahmen;Rechnungsergebnis;0
4000;Soziale Sicherung;Verwaltung der sozialen Angelegenheiten;2012;Einnahmen;Rechnungsergebnis;10500
4310;Soziale Sicherung;Seniorenbetreuung;2012;Einnahmen;Rechnungsergebnis;850
4350;Soziale Sicherung;Soziale Einrichtungen für Wohnungslose;2012;Einnahmen;Rechnungsergebnis;26684
4360;Soziale Sicherung;Allgemeine Sozialhilfe/Asyl;2012;Einnahmen;Rechnungsergebnis;35455
4510;Soziale Sicherung;Jugendarbeit;2012;Einnahmen;Rechnungsergebnis;12020
4600;Soziale Sicherung;Jugendzentrum;2012;Einnahmen;Rechnungsergebnis;10725
4640;Soziale Sicherung;Regenbogenland;2012;Einnahmen;Rechnungsergebnis;213266
4641;Soziale Sicherung;Kastanienkindergarten;2012;Einnahmen;Rechnungsergebnis;0
4642;Soziale Sicherung;Förderung von Kindergärten;2012;Einnahmen;Rechnungsergebnis;909483
4643;Soziale Sicherung;Kinderkrippe Hildastraße;2012;Einnahmen;Rechnungsergebnis;0
4700;Soziale Sicherung;Förderung anderer Träger der Wohlfahrtspflege;2012;Einnahmen;Rechnungsergebnis;0
4980;Soziale Sicherung;Kriegsopferfürsorge und ähnliche Maßnahmen;2012;Einnahmen;Rechnungsergebnis;0
5480;Gesundheit, Sport, Erholung;Sonstige Einrichtungen der Gesundheitspflege (DRK);2012;Einnahmen;Rechnungsergebnis;9994
5510;Gesundheit, Sport, Erholung;Förderung des Sports;2012;Einnahmen;Rechnungsergebnis;4508
5610;Gesundheit, Sport, Erholung;Sporthallen (Hans-Michel-Halle);2012;Einnahmen;Rechnungsergebnis;47742
5611;Gesundheit, Sport, Erholung;Sporthallen (Sporth. an der Schillerschule);2012;Einnahmen;Rechnungsergebnis;36342
5620;Gesundheit, Sport, Erholung;Stadien und Sportplätze;2012;Einnahmen;Rechnungsergebnis;17287
5630;Gesundheit, Sport, Erholung;Reithalle;2012;Einnahmen;Rechnungsergebnis;15153
5640;Gesundheit, Sport, Erholung;Kegelbahnen;2012;Einnahmen;Rechnungsergebnis;43593
5650;Gesundheit, Sport, Erholung;Tennisplätze - TC 65;2012;Einnahmen;Rechnungsergebnis;1437
5710;Gesundheit, Sport, Erholung;Freibad Wiesensee;2012;Einnahmen;Rechnungsergebnis;171378
5820;Gesundheit, Sport, Erholung;Parkanlagen und öffentliche Grünflächen;2012;Einnahmen;Rechnungsergebnis;0
5830;Gesundheit, Sport, Erholung;Öffentliche Kinderspielplätze;2012;Einnahmen;Rechnungsergebnis;0
5910;Gesundheit, Sport, Erholung;Campingplatz;2012;Einnahmen;Rechnungsergebnis;15350
5940;Gesundheit, Sport, Erholung;Erholungsgebiet Wiesensee;2012;Einnahmen;Rechnungsergebnis;78559
5950;Gesundheit, Sport, Erholung;Kleingärtnerwesen;2012;Einnahmen;Rechnungsergebnis;930
5960;Gesundheit, Sport, Erholung;Förster-Braun-Hütte;2012;Einnahmen;Rechnungsergebnis;9907
6000;Bau- und Wohnungswesen, Verkehr;Bauverwaltung;2012;Einnahmen;Rechnungsergebnis;276632
6101;Bau- und Wohnungswesen, Verkehr;Stadtplanung;2012;Einnahmen;Rechnungsergebnis;0
6120;Bau- und Wohnungswesen, Verkehr;Vermessung;2012;Einnahmen;Rechnungsergebnis;0
6130;Bau- und Wohnungswesen, Verkehr;Untere Baurechtsbehörde;2012;Einnahmen;Rechnungsergebnis;79027
6160;Bau- und Wohnungswesen, Verkehr;Straßenraumgestaltung, Lärmschutzwälle;2012;Einnahmen;Rechnungsergebnis;0
6300;Bau- und Wohnungswesen, Verkehr;Gemeindestraßen;2012;Einnahmen;Rechnungsergebnis;13357
6330;Bau- und Wohnungswesen, Verkehr;Verkehrssicherungsanlagen;2012;Einnahmen;Rechnungsergebnis;0
6700;Bau- und Wohnungswesen, Verkehr;Straßenbeleuchtung;2012;Einnahmen;Rechnungsergebnis;0
6750;Bau- und Wohnungswesen, Verkehr;Straßenreinigung;2012;Einnahmen;Rechnungsergebnis;0
