"ID";"Jahr";"Bereich";"Bereichbezeichnung";"Gruppe";"Gruppen-Bezeichnung";"Produkt";"Produkt-Bezeichnung";"FIBU-Konto";"Konto-Bezeichnung";"Art";"Ansatz"
18;2015;"11";"Ver- und Entsorgung";"11538";"Abwasserbeseitigung";"1153801";"Abwasserbeseitigung";5313000;"Umlage an den Erftverband";"Ausgaben";121982
19;2015;"13";"Natur und Landschaftspflege";"13552";"Öffentliche Gewässer, wasserbauliche Anlagen";"1355201";"Gewässerunterhaltung";5313000;"Umlage an den Erftverband";"Ausgaben";99000
20;2015;"04";"Kultur und Wissenschaft";"04263";"Musikschulen";"0426301";"Musikschule ";5241000;"Bewirtschaftungsaufwand";"Ausgaben";3642
21;2015;"12";"Verkehrsflächen und -anlagen, ÖPNV";"12541";"Gemeindestraßen";"1254101";"Bereitstellung und Betrieb von Verkehrsflächen";5241005;"Betriebskosten Ampelanlagen   ";"Ausgaben";6868
22;2015;"12";"Verkehrsflächen und -anlagen, ÖPNV";"12545";"Straßenreinigung";"1254501";"Straßenreinigung und Winterdienst";4321021;"Straßenreinigungsgebühren     ";"Einnahmen";50000
23;2015;"11";"Ver- und Entsorgung";"11538";"Abwasserbeseitigung";"1153801";"Abwasserbeseitigung";4321000;"Abwassergeb. (Schmutzwasser)";"Einnahmen";932679
24;2015;"11";"Ver- und Entsorgung";"11537";"Abfallwirtschaft";"1153701";"Abfallwirtschaft";4321019;"Müllabfuhrgebühren            ";"Einnahmen";456079
25;2015;"11";"Ver- und Entsorgung";"11537";"Abfallwirtschaft";"1153701";"Abfallwirtschaft";4321016;"Gebühren Biotonne             ";"Einnahmen";154417
26;2015;"11";"Ver- und Entsorgung";"11538";"Abwasserbeseitigung";"1153801";"Abwasserbeseitigung";4321001;"Abwassergeb. (Niederschlagswasser)";"Einnahmen";350680
27;2015;"16";"Allgemeine Finanzwirtschaft";"16611";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";"1661101";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";4032000;"Hundesteuer";"Einnahmen";50000
28;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5421000;"Aufw. für ehremamtl. Tätigkeit";"Ausgaben";14000
29;2015;"02";"Sicherheit und Ordnung";"02122";"Ordnungsangelegenheiten";"0212201";"Gefahrenabwehr und Verkehr";5499002;"Tierkörperbeseitigung         ";"Ausgaben";156
30;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5422003;"Miete Fahrzeughalle Girbelsr. ";"Ausgaben";5327
31;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";5431003;"Post- u. Fernmeldegebühren    ";"Ausgaben";21825
32;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111102";"Verwaltungsführung";5011001;"Dienstaufw.entsch. BM+Stellver";"Ausgaben";3871
33;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5431003;"Post- u. Fernmeldegebühren    ";"Ausgaben";2576
34;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5281005;"Schulwandern, Veranstaltungen ";"Ausgaben";1585
35;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111105";"Bauhof";5431003;"Post- u. Fernmeldegebühren    ";"Ausgaben";227
36;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111101";"Politische Gremien";5431018;"Zuschüsse Geschäftsf. Fraktion";"Ausgaben";2531
37;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5012000;"Dienstbezüge tarifl. Beschäft.";"Ausgaben";60517
38;2015;"16";"Allgemeine Finanzwirtschaft";"16611";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";"1661101";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";4012000;"Grundsteuer B";"Einnahmen";1300587
39;2015;"16";"Allgemeine Finanzwirtschaft";"16611";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";"1661101";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";4011000;"Grundsteuer A";"Einnahmen";61921
40;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111102";"Verwaltungsführung";5431023;"Pausch.Entsch.BM f.Dienstfahrt";"Ausgaben";2918
41;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";5012000;"Dienstbezüge tarifl. Beschäft.";"Ausgaben";95679
42;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111101";"Politische Gremien";5421002;"Schulungsgelder               ";"Ausgaben";1809
43;2015;"02";"Sicherheit und Ordnung";"02122";"Ordnungsangelegenheiten";"0212201";"Gefahrenabwehr und Verkehr";5421004;"Auslagenersatz Schiedsmann    ";"Ausgaben";372
44;2015;"03";"Schulträgeraufgaben";"03243";"Offene Ganztagsschule";"0324301";"Offene Ganztagsschule";4321011;"Elternbeiträge OGS Golzheim";"Einnahmen";15000
45;2015;"16";"Allgemeine Finanzwirtschaft";"16611";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";"1661101";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";4031000;"Vergnügungssteuer";"Einnahmen";5000
46;2015;"16";"Allgemeine Finanzwirtschaft";"16612";"Sonstige allgemeine Finanzwirtschaft";"1661201";"Sonstige allgemeine Finanzwirtschaft";4618000;"Zinsen aus Gewerbesteuerveranlagung";"Einnahmen";50000
47;2015;"16";"Allgemeine Finanzwirtschaft";"16611";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";"1661101";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";4618000;"Zinsen aus Gewerbesteuerveranlagung";"Einnahmen";0
48;2015;"03";"Schulträgeraufgaben";"03243";"Offene Ganztagsschule";"0324301";"Offene Ganztagsschule";4321012;"Elternbeiträge OGS Merzenich";"Einnahmen";30000
49;2015;"05";"Soziale Leistungen";"05315";"Soziale Einrichtungen";"0531502";"Soziale Einrichtungen für Wohnungslose, Aussiedler und Asylbewerber";4321010;"Benutzungs-u.Bewirtschaft.geb.";"Einnahmen";7000
50;2015;"05";"Soziale Leistungen";"05315";"Soziale Einrichtungen";"0531502";"Soziale Einrichtungen für Wohnungslose, Aussiedler und Asylbewerber";4321008;"Benutzungs- u. Bewirtsch.geb. ";"Einnahmen";2500
51;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111109";"zentrale Gebäudewirtschaft";4411000;"Mieten und Pachten";"Einnahmen";78200
52;2015;"05";"Soziale Leistungen";"05315";"Soziale Einrichtungen";"0531502";"Soziale Einrichtungen für Wohnungslose, Aussiedler und Asylbewerber";4321009;"Benutzungs-u.Bewirtsch.geb.   ";"Einnahmen";9000
53;2015;"05";"Soziale Leistungen";"05312";"Grundsicherungsleistungen nach dem Zweiten Buch Sozialgesetzbuch";"0531201";"Grundsicherungsleistungen nach dem Zweiten Buch Sozialgesetzbuch";5041000;"Beihilfen für Beamte";"Ausgaben";0
54;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";5041000;"Beihilfen für Beamte";"Ausgaben";11966
55;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111102";"Verwaltungsführung";5141000;"Beihilfen,Unterstützungen dgl.";"Ausgaben";17690
56;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111102";"Verwaltungsführung";5041000;"Beihilfen für Beamte";"Ausgaben";16650
57;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111108";"Finanz- und Rechnungswesen";5041000;"Beihilfen für Beamte";"Ausgaben";12279
58;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111108";"Finanz- und Rechnungswesen";5141000;"Beihilfen,Unterstützungen dgl.";"Ausgaben";74923
59;2015;"09";"Räumliche Planungs- und Entwicklung, Geoinformationen";"09511";"Räumliche Planungs- und Entwicklungsmaßnahmen, Geoinformationen";"0951101";"Bauleitplanung, Flurbereinigung, Umsiedlung";5041000;"Beihilfen für Beamte";"Ausgaben";7805
60;2015;"09";"Räumliche Planungs- und Entwicklung, Geoinformationen";"09511";"Räumliche Planungs- und Entwicklungsmaßnahmen, Geoinformationen";"0951101";"Bauleitplanung, Flurbereinigung, Umsiedlung";5141000;"Beihilfen,Unterstützungen dgl.";"Ausgaben";7805
61;2015;"03";"Schulträgeraufgaben";"03243";"Offene Ganztagsschule";"0324301";"Offene Ganztagsschule";5291000;"Betriebskosten OGS an SKF";"Ausgaben";119500
62;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111102";"Verwaltungsführung";5499000;"Ehrungen, Repräsentation";"Ausgaben";13360
63;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111110";"Liegenschaftsverwaltung";5241000;"Bewirtschaftungsaufwand";"Ausgaben";7284
64;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";5313003;"Umlage/Wartung an KDVZ Frechen";"Ausgaben";198000
65;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111109";"zentrale Gebäudewirtschaft";5422005;"Nutzungsentsch. Haus Oberstr.1";"Ausgaben";4327
66;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";4411003;"Mieteinnahmen Räume Polizei   ";"Einnahmen";1500
67;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";4321018;"Gebühren Inanspruchn. freiw.FW";"Einnahmen";6000
68;2015;"06";"Kinder-, Jugend- und Familienhilfe";"06365";"Tageseinrichtungen für Kinder";"0636501";"Tageseinrichtungen für Kinder";5291016;"Fahrtkosten Kita Morschenich  ";"Ausgaben";21780
69;2015;"03";"Schulträgeraufgaben";"03241";"Schülerbeförderung";"0324101";"Schülerbeförderung";5291009;"Schülerbeförderungskosten     ";"Ausgaben";26015
70;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5431003;"Post- u. Fernmeldegebühren    ";"Ausgaben";1339
71;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5431003;"Post- u. Fernmeldegebühren    ";"Ausgaben";1598
72;2015;"05";"Soziale Leistungen";"05315";"Soziale Einrichtungen";"0531502";"Soziale Einrichtungen für Wohnungslose, Aussiedler und Asylbewerber";5211000;"Unterhaltungsaufwand";"Ausgaben";7820
73;2015;"05";"Soziale Leistungen";"05315";"Soziale Einrichtungen";"0531501";"Soziale Einrichtungen für Ältere";5291030;"Seniorenarbeit Ö55+Ö";"Ausgaben";2040
74;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111105";"Bauhof";5251000;"Unterhaltung von Fahrzeugen";"Ausgaben";33900
75;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111105";"Bauhof";5237000;"Deponiekosten";"Ausgaben";17690
76;2015;"13";"Natur und Landschaftspflege";"13555";"Land- und Forstwirtschaft";"1355501";"Förderung der Land- und Forstwirtschaft, Wirtschaftswege";5211011;"Instandhalt. d.Wirtschaftswege";"Ausgaben";20812
77;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";5211000;"Unterhaltungsaufwand";"Ausgaben";63659
78;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5211000;"Unterhaltungsaufwand";"Ausgaben";8322
79;2015;"04";"Kultur und Wissenschaft";"04281";"Heimat- und sonstige Kunstpflege";"0428101";"Kulturveranstaltungen und Kulturförderung";5211009;"Unterhalt.K. Heimatmuseum     ";"Ausgaben";1090
80;2015;"05";"Soziale Leistungen";"05313";"Leistungen für Asylbewerber";"0531301";"Leistungen für Asylbewerber";5331008;"Geldleistung gem. õ 6";"Ausgaben";500
81;2015;"05";"Soziale Leistungen";"05313";"Leistungen für Asylbewerber";"0531301";"Leistungen für Asylbewerber";5331015;"Regelbedarf nach  õ 3";"Ausgaben";98000
82;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111108";"Finanz- und Rechnungswesen";4562001;"Geb.Verw.zwangsverfahren      ";"Einnahmen";35000
83;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5255000;"Unterh./Instandsetzung bewegl. Vermögen";"Ausgaben";15401
84;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5251000;"Unterhaltung von Fahrzeugen";"Ausgaben";23736
85;2015;"12";"Verkehrsflächen und -anlagen, ÖPNV";"12541";"Gemeindestraßen";"1254101";"Bereitstellung und Betrieb von Verkehrsflächen";5211020;"Straßenmark. u.Verkehrszeichen";"Ausgaben";4162
86;2015;"05";"Soziale Leistungen";"05313";"Leistungen für Asylbewerber";"0531301";"Leistungen für Asylbewerber";5331019;"Ambulante Krankenhilfe nach  õ 4";"Ausgaben";10000
87;2015;"06";"Kinder-, Jugend- und Familienhilfe";"06362";"Jugendarbeit";"0636201";"Kinder- und Jugendarbeit";5012000;"Dienstbezüge tarifl. Beschäft.";"Ausgaben";114759
88;2015;"12";"Verkehrsflächen und -anlagen, ÖPNV";"12541";"Gemeindestraßen";"1254101";"Bereitstellung und Betrieb von Verkehrsflächen";5211015;"Unterhaltungsk. Straßen u.Wege";"Ausgaben";141266
89;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";5211002;"Unterh. Friedh. u. FH.Kapellen";"Ausgaben";11520
90;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111102";"Verwaltungsführung";5121000;"Beitr. zu Versorg.kasse Beamte";"Ausgaben";89492
91;2015;"02";"Sicherheit und Ordnung";"02122";"Ordnungsangelegenheiten";"0212201";"Gefahrenabwehr und Verkehr";4561000;"Bußgelder";"Einnahmen";14000
92;2015;"06";"Kinder-, Jugend- und Familienhilfe";"06362";"Jugendarbeit";"0636201";"Kinder- und Jugendarbeit";5281015;"Kochkurse, Ausflüge, Feste K+T";"Ausgaben";2300
93;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";5241000;"Bewirtschaftungsaufwand";"Ausgaben";20912
94;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5441002;"div. Versich. + Sterbekasse   ";"Ausgaben";9582
95;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557303";"Solaranlage Maarhalle";5241001;"Versicherungsbeiträge         ";"Ausgaben";200
96;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557305";"Solaranlage Rathaus";5241001;"Versicherungsbeiträge         ";"Ausgaben";200
97;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557304";"Solaranlage Grundschule Merzenich";5241001;"Versicherungsbeiträge         ";"Ausgaben";200
98;2015;"13";"Natur und Landschaftspflege";"13551";"Öffentliches Grün, Landschaftsbau";"1355101";"Parkanlagen und öffentliche Grünflächen, Dorfverschönerung";5211024;"Unterh.k. Naherh.Geb. Steinweg";"Ausgaben";3120
99;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5241001;"Versicherungsbeiträge         ";"Ausgaben";1492
100;2015;"08";"Sportförderung";"08424";"Sportstätten und Bäder";"0842401";"Bereitstellung und Betrieb von Sportanlagen";5241014;"Vers.l. Sport-u.Tennish.Merz. ";"Ausgaben";1527
101;2015;"03";"Schulträgeraufgaben";"03218";"Gesamtschulen";"0321801";"Zweckverband Gesamtschule";5241001;"Versicherungsbeiträge         ";"Ausgaben";17145
102;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5241001;"Versicherungsbeiträge         ";"Ausgaben";10336
103;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5241012;"Steuern u.Vers.beitr.Bürhs.Mer";"Ausgaben";2181
104;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5241001;"Versicherungsbeiträge         ";"Ausgaben";1325
105;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5241011;"Steuern u.Vers.beitr.Bürhs.Mer";"Ausgaben";1299
106;2015;"04";"Kultur und Wissenschaft";"04281";"Heimat- und sonstige Kunstpflege";"0428101";"Kulturveranstaltungen und Kulturförderung";5411004;"Ausgleichsabgabe nach SGB IX  ";"Ausgaben";721
107;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";5441001;"Beiträge div. Versicherungen  ";"Ausgaben";68000
108;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5499021;"Kosten med. Vorsorgeuntersuch.";"Ausgaben";1545
109;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5412003;"Ausbild.FW-Leute +Lohnausfälle";"Ausgaben";10818
110;2015;"05";"Soziale Leistungen";"05351";"Sonstige soziale Leistungen";"0535101";"Sonstige soziale Leistungen";4591013;"Kostenerstattung Mobilticket  ";"Einnahmen";18500
111;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";4321023;"Geb.f.Aufbahrungen in Leichenh";"Einnahmen";7110
112;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";4321014;"Entsch.f.Aushub v. Grabstätten";"Einnahmen";21810
113;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";4321003;"Gebühren für Wahlgrabstätten  ";"Einnahmen";0
114;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";4591002;"Erstattung Energiekosten      ";"Einnahmen";205
115;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";4591002;"Erstattung Energiekosten      ";"Einnahmen";100
116;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";4321015;"Geb. f. Benutzung Grillplatz  ";"Einnahmen";2500
117;2015;"09";"Räumliche Planungs- und Entwicklung, Geoinformationen";"09511";"Räumliche Planungs- und Entwicklungsmaßnahmen, Geoinformationen";"0951101";"Bauleitplanung, Flurbereinigung, Umsiedlung";4311007;"Verwaltungsgebühren Bauwesen  ";"Einnahmen";4000
118;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";4321004;"Gebühren f. Urnengrabstätten  ";"Einnahmen";0
119;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";4321005;"Geb. f. Urnenwahlgrabstätten  ";"Einnahmen";0
120;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5241006;"Energ.K,Wasserv.,Abg.Kirmpl.Me";"Ausgaben";520
121;2015;"08";"Sportförderung";"08424";"Sportstätten und Bäder";"0842401";"Bereitstellung und Betrieb von Sportanlagen";5241000;"Bewirtschaftungsaufwand";"Ausgaben";4160
122;2015;"16";"Allgemeine Finanzwirtschaft";"16612";"Sonstige allgemeine Finanzwirtschaft";"1661201";"Sonstige allgemeine Finanzwirtschaft";5473000;"Aufwendungen St.Ni.Erl.";"Ausgaben";0
123;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111102";"Verwaltungsführung";5491000;"Verfügungsmittel";"Ausgaben";2060
124;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5281016;"Lehrer- u. Schülerbücherei    ";"Ausgaben";2823
125;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5281011;"Lehr- u. Lernmittel           ";"Ausgaben";3057
126;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";5431000;"Bürobedarf";"Ausgaben";"13672.30"
127;2015;"02";"Sicherheit und Ordnung";"02122";"Ordnungsangelegenheiten";"0212203";"Einwohnermeldewesen";5291018;"Kosten für Ausweise           ";"Ausgaben";37131
128;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5255000;"Unterh./Instandsetzung bewegl. Vermögen";"Ausgaben";"3740.31"
129;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5431017;"Schulbedürfnisse              ";"Ausgaben";2432
130;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111104";"Zentrale Dienste, Recht, Informationsverarbeitung";5499014;"Verbandsbeiträge              ";"Ausgaben";3915
131;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5211000;"Unterhaltungsaufwand";"Ausgaben";8324
132;2015;"03";"Schulträgeraufgaben";"03218";"Gesamtschulen";"0321801";"Zweckverband Gesamtschule";5313002;"Umlage an Schulverband N/M    ";"Ausgaben";851000
133;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";5238000;"Eigengrabgeb. kath. Kirche Morschenich";"Ausgaben";3500
134;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5211000;"Unterhaltungsaufwand";"Ausgaben";52000
135;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111109";"zentrale Gebäudewirtschaft";5211000;"Unterhaltungsaufwand";"Ausgaben";22340
136;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5211026;"Unterhaltungskosten Grillplatz";"Ausgaben";1560
137;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111105";"Bauhof";5211000;"Unterhaltungsaufwand";"Ausgaben";"23975.56"
138;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";4591002;"Erstattung Energiekosten      ";"Einnahmen";1700
139;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";4591002;"Erstattung Energiekosten      ";"Einnahmen";15
140;2015;"04";"Kultur und Wissenschaft";"04263";"Musikschulen";"0426301";"Musikschule ";4591002;"Erstattung Energiekosten      ";"Einnahmen";50
