Amt / Dienststelle,Betrag,Dezernatsbezeichnung,Teilhaushalte,Produktgruppe,Dezernat,Produktgruppenbezeichnung,Teilhaushalte Bezeichnung,Produktbezeichnung,Produkt,Amt / Dienststelle Bezeichnung,Jahr,Produktbereich,Art,Produktbereich Bezeichnung
AMT-500,1.0,Dezernat III BM von Kirchbach,THH_13,1222,DEZ-III,Einwohnerwesen,"THH 13 Amt f. Soziales, Senioren",Restaufgaben Lastenausgleich,122206,"500 Amt f. Soziales, Senioren",2015,12,Erträge,Sicherheit und Ordnung
AMT-500,40271.0,Dezernat III BM von Kirchbach,THH_13,1222,DEZ-III,Einwohnerwesen,"THH 13 Amt f. Soziales, Senioren",Restaufgaben Lastenausgleich,122206,"500 Amt f. Soziales, Senioren",2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-500,0.0,Dezernat III BM von Kirchbach,THH_13,1222,DEZ-III,Einwohnerwesen,"THH 13 Amt f. Soziales, Senioren",Restaufgaben Lastenausgleich,122206,"500 Amt f. Soziales, Senioren",2016,12,Erträge,Sicherheit und Ordnung
AMT-500,32577.0,Dezernat III BM von Kirchbach,THH_13,1222,DEZ-III,Einwohnerwesen,"THH 13 Amt f. Soziales, Senioren",Restaufgaben Lastenausgleich,122206,"500 Amt f. Soziales, Senioren",2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-500,0.0,Dezernat III BM von Kirchbach,THH_13,1222,DEZ-III,Einwohnerwesen,"THH 13 Amt f. Soziales, Senioren",Restaufgaben Lastenausgleich,122206,"500 Amt f. Soziales, Senioren",2017,12,Erträge,Sicherheit und Ordnung
AMT-500,13149.0,Dezernat III BM von Kirchbach,THH_13,1222,DEZ-III,Einwohnerwesen,"THH 13 Amt f. Soziales, Senioren",Restaufgaben Lastenausgleich,122206,"500 Amt f. Soziales, Senioren",2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-500,0.0,Dezernat III BM von Kirchbach,THH_13,1222,DEZ-III,Einwohnerwesen,"THH 13 Amt f. Soziales, Senioren",Restaufgaben Lastenausgleich,122206,"500 Amt f. Soziales, Senioren",2018,12,Erträge,Sicherheit und Ordnung
AMT-500,13631.0,Dezernat III BM von Kirchbach,THH_13,1222,DEZ-III,Einwohnerwesen,"THH 13 Amt f. Soziales, Senioren",Restaufgaben Lastenausgleich,122206,"500 Amt f. Soziales, Senioren",2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-540,454021.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Aufenthaltsreg./Aufenthaltsbee. Maßnah.,122207,540 Amt f. Migration und Integration,2015,12,Erträge,Sicherheit und Ordnung
AMT-540,1473807.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Aufenthaltsreg./Aufenthaltsbee. Maßnah.,122207,540 Amt f. Migration und Integration,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-540,460000.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Aufenthaltsreg./Aufenthaltsbee. Maßnah.,122207,540 Amt f. Migration und Integration,2016,12,Erträge,Sicherheit und Ordnung
AMT-540,1377947.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Aufenthaltsreg./Aufenthaltsbee. Maßnah.,122207,540 Amt f. Migration und Integration,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-540,590000.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Aufenthaltsreg./Aufenthaltsbee. Maßnah.,122207,540 Amt f. Migration und Integration,2017,12,Erträge,Sicherheit und Ordnung
AMT-540,2276645.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Aufenthaltsreg./Aufenthaltsbee. Maßnah.,122207,540 Amt f. Migration und Integration,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-540,590000.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Aufenthaltsreg./Aufenthaltsbee. Maßnah.,122207,540 Amt f. Migration und Integration,2018,12,Erträge,Sicherheit und Ordnung
AMT-540,2355734.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Aufenthaltsreg./Aufenthaltsbee. Maßnah.,122207,540 Amt f. Migration und Integration,2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-340,661104.0,Dezernat IV EBM Neideck,THH_19,1223,DEZ-IV,Personenstandswesen,THH 19 Standesamt,Personenstandswesen,122300,340 Standesamt,2015,12,Erträge,Sicherheit und Ordnung
AMT-340,1510316.0,Dezernat IV EBM Neideck,THH_19,1223,DEZ-IV,Personenstandswesen,THH 19 Standesamt,Personenstandswesen,122300,340 Standesamt,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-340,599000.0,Dezernat IV EBM Neideck,THH_19,1223,DEZ-IV,Personenstandswesen,THH 19 Standesamt,Personenstandswesen,122300,340 Standesamt,2016,12,Erträge,Sicherheit und Ordnung
AMT-340,1291729.0,Dezernat IV EBM Neideck,THH_19,1223,DEZ-IV,Personenstandswesen,THH 19 Standesamt,Personenstandswesen,122300,340 Standesamt,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-340,665070.0,Dezernat IV EBM Neideck,THH_19,1223,DEZ-IV,Personenstandswesen,THH 19 Standesamt,Personenstandswesen,122300,340 Standesamt,2017,12,Erträge,Sicherheit und Ordnung
AMT-340,1306713.0,Dezernat IV EBM Neideck,THH_19,1223,DEZ-IV,Personenstandswesen,THH 19 Standesamt,Personenstandswesen,122300,340 Standesamt,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-340,665070.0,Dezernat IV EBM Neideck,THH_19,1223,DEZ-IV,Personenstandswesen,THH 19 Standesamt,Personenstandswesen,122300,340 Standesamt,2018,12,Erträge,Sicherheit und Ordnung
AMT-340,1341955.0,Dezernat IV EBM Neideck,THH_19,1223,DEZ-IV,Personenstandswesen,THH 19 Standesamt,Personenstandswesen,122300,340 Standesamt,2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-120,1.0,Dezernat IV EBM Neideck,THH_16,1225,DEZ-IV,Sozialversicherung,"THH 16 Amt f. Bürgerservice, Infover.",Sozialversicherungsangelegenheiten,122501,"120 Amt f. Bürgerservice, Infover.",2015,12,Erträge,Sicherheit und Ordnung
AMT-120,99591.0,Dezernat IV EBM Neideck,THH_16,1225,DEZ-IV,Sozialversicherung,"THH 16 Amt f. Bürgerservice, Infover.",Sozialversicherungsangelegenheiten,122501,"120 Amt f. Bürgerservice, Infover.",2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-120,0.0,Dezernat IV EBM Neideck,THH_16,1225,DEZ-IV,Sozialversicherung,"THH 16 Amt f. Bürgerservice, Infover.",Sozialversicherungsangelegenheiten,122501,"120 Amt f. Bürgerservice, Infover.",2016,12,Erträge,Sicherheit und Ordnung
AMT-120,84999.0,Dezernat IV EBM Neideck,THH_16,1225,DEZ-IV,Sozialversicherung,"THH 16 Amt f. Bürgerservice, Infover.",Sozialversicherungsangelegenheiten,122501,"120 Amt f. Bürgerservice, Infover.",2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-120,0.0,Dezernat IV EBM Neideck,THH_16,1225,DEZ-IV,Sozialversicherung,"THH 16 Amt f. Bürgerservice, Infover.",Sozialversicherungsangelegenheiten,122501,"120 Amt f. Bürgerservice, Infover.",2017,12,Erträge,Sicherheit und Ordnung
AMT-120,16500.0,Dezernat IV EBM Neideck,THH_16,1225,DEZ-IV,Sozialversicherung,"THH 16 Amt f. Bürgerservice, Infover.",Sozialversicherungsangelegenheiten,122501,"120 Amt f. Bürgerservice, Infover.",2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-120,0.0,Dezernat IV EBM Neideck,THH_16,1225,DEZ-IV,Sozialversicherung,"THH 16 Amt f. Bürgerservice, Infover.",Sozialversicherungsangelegenheiten,122501,"120 Amt f. Bürgerservice, Infover.",2018,12,Erträge,Sicherheit und Ordnung
AMT-120,16500.0,Dezernat IV EBM Neideck,THH_16,1225,DEZ-IV,Sozialversicherung,"THH 16 Amt f. Bürgerservice, Infover.",Sozialversicherungsangelegenheiten,122501,"120 Amt f. Bürgerservice, Infover.",2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,43765.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Lebensmittelüberw.u. Verbraucherschutz,122601,320 Amt f. öffentliche Ordnung,2015,12,Erträge,Sicherheit und Ordnung
AMT-320,786452.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Lebensmittelüberw.u. Verbraucherschutz,122601,320 Amt f. öffentliche Ordnung,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,18000.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Lebensmittelüberw.u. Verbraucherschutz,122601,320 Amt f. öffentliche Ordnung,2016,12,Erträge,Sicherheit und Ordnung
AMT-320,832825.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Lebensmittelüberw.u. Verbraucherschutz,122601,320 Amt f. öffentliche Ordnung,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,41000.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Lebensmittelüberw.u. Verbraucherschutz,122601,320 Amt f. öffentliche Ordnung,2017,12,Erträge,Sicherheit und Ordnung
AMT-320,828314.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Lebensmittelüberw.u. Verbraucherschutz,122601,320 Amt f. öffentliche Ordnung,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,41000.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Lebensmittelüberw.u. Verbraucherschutz,122601,320 Amt f. öffentliche Ordnung,2018,12,Erträge,Sicherheit und Ordnung
AMT-320,926223.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Lebensmittelüberw.u. Verbraucherschutz,122601,320 Amt f. öffentliche Ordnung,2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,338237.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Überwachung der Fleischhygiene,122603,320 Amt f. öffentliche Ordnung,2015,12,Erträge,Sicherheit und Ordnung
AMT-320,463202.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Überwachung der Fleischhygiene,122603,320 Amt f. öffentliche Ordnung,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,322000.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Überwachung der Fleischhygiene,122603,320 Amt f. öffentliche Ordnung,2016,12,Erträge,Sicherheit und Ordnung
AMT-320,481149.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Überwachung der Fleischhygiene,122603,320 Amt f. öffentliche Ordnung,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,247000.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Überwachung der Fleischhygiene,122603,320 Amt f. öffentliche Ordnung,2017,12,Erträge,Sicherheit und Ordnung
AMT-320,485830.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Überwachung der Fleischhygiene,122603,320 Amt f. öffentliche Ordnung,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,247000.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Überwachung der Fleischhygiene,122603,320 Amt f. öffentliche Ordnung,2018,12,Erträge,Sicherheit und Ordnung
AMT-320,494208.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Überwachung der Fleischhygiene,122603,320 Amt f. öffentliche Ordnung,2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,7496.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Tiergesundheit u.Tierschutz(Veterinärw.),122604,320 Amt f. öffentliche Ordnung,2015,12,Erträge,Sicherheit und Ordnung
AMT-320,96118.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Tiergesundheit u.Tierschutz(Veterinärw.),122604,320 Amt f. öffentliche Ordnung,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,4000.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Tiergesundheit u.Tierschutz(Veterinärw.),122604,320 Amt f. öffentliche Ordnung,2016,12,Erträge,Sicherheit und Ordnung
AMT-320,137957.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Tiergesundheit u.Tierschutz(Veterinärw.),122604,320 Amt f. öffentliche Ordnung,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,8100.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Tiergesundheit u.Tierschutz(Veterinärw.),122604,320 Amt f. öffentliche Ordnung,2017,12,Erträge,Sicherheit und Ordnung
AMT-320,76361.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Tiergesundheit u.Tierschutz(Veterinärw.),122604,320 Amt f. öffentliche Ordnung,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-320,8100.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Tiergesundheit u.Tierschutz(Veterinärw.),122604,320 Amt f. öffentliche Ordnung,2018,12,Erträge,Sicherheit und Ordnung
AMT-320,77160.0,Dezernat IV EBM Neideck,THH_18,1226,DEZ-IV,"Verbr.schutz, Lebensmittelü., Veterinärw",THH 18 Amt f. öffentliche Ordnung,Tiergesundheit u.Tierschutz(Veterinärw.),122604,320 Amt f. öffentliche Ordnung,2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-370,943445.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Brandbekämpfung/Technische Hilfeleistung,126001,"370 Amt f. Brand-, Katastrophenschutz",2015,12,Erträge,Sicherheit und Ordnung
AMT-370,11434059.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Brandbekämpfung/Technische Hilfeleistung,126001,"370 Amt f. Brand-, Katastrophenschutz",2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-370,512074.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Brandbekämpfung/Technische Hilfeleistung,126001,"370 Amt f. Brand-, Katastrophenschutz",2016,12,Erträge,Sicherheit und Ordnung
AMT-370,7777429.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Brandbekämpfung/Technische Hilfeleistung,126001,"370 Amt f. Brand-, Katastrophenschutz",2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-370,1061234.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Brandbekämpfung/Technische Hilfeleistung,126001,"370 Amt f. Brand-, Katastrophenschutz",2017,12,Erträge,Sicherheit und Ordnung
AMT-370,10038901.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Brandbekämpfung/Technische Hilfeleistung,126001,"370 Amt f. Brand-, Katastrophenschutz",2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-370,1045154.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Brandbekämpfung/Technische Hilfeleistung,126001,"370 Amt f. Brand-, Katastrophenschutz",2018,12,Erträge,Sicherheit und Ordnung
AMT-370,10250813.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Brandbekämpfung/Technische Hilfeleistung,126001,"370 Amt f. Brand-, Katastrophenschutz",2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-370,16991.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Feuersicherheitswachdienst,126002,"370 Amt f. Brand-, Katastrophenschutz",2015,12,Erträge,Sicherheit und Ordnung
AMT-370,12448.0,Dezernat IV EBM Neideck,THH_20,1260,DEZ-IV,Brandschutz,"THH 20 Amt f. Brand-, Katastrophenschutz",Feuersicherheitswachdienst,126002,"370 Amt f. Brand-, Katastrophenschutz",2015,12,Aufwendungen,Sicherheit und Ordnung
