Gruppierung Bezeichnung,Produktbereich,Produktbereich Bezeichnung,Produktgruppe,Produktgruppe Bezeichnung,Haushaltsjahr,Ertrag / Aufwand,Betrag,Haushalt
Abschreibungen,11,Ordnung und Sicherheit,11.01,Einwohnerangelegenheiten,2015,Aufwendungen,188054.5,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.01,Einwohnerangelegenheiten,2016,Aufwendungen,214000.0,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.01,Einwohnerangelegenheiten,2017,Aufwendungen,202000.0,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.01,Einwohnerangelegenheiten,2018,Aufwendungen,244000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.01,Einwohnerangelegenheiten,2019,Aufwendungen,243000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.01,Einwohnerangelegenheiten,2020,Aufwendungen,235000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.02,Staatsangehörigkeit und Personenstand,2015,Aufwendungen,64608.06,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.02,Staatsangehörigkeit und Personenstand,2016,Aufwendungen,83000.0,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.02,Staatsangehörigkeit und Personenstand,2017,Aufwendungen,123000.0,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.02,Staatsangehörigkeit und Personenstand,2018,Aufwendungen,191000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.02,Staatsangehörigkeit und Personenstand,2019,Aufwendungen,202000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.02,Staatsangehörigkeit und Personenstand,2020,Aufwendungen,188000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2015,Aufwendungen,1461614.65,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2016,Aufwendungen,599000.0,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2017,Aufwendungen,680000.0,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2018,Aufwendungen,866000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2019,Aufwendungen,799000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2020,Aufwendungen,850000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2015,Aufwendungen,841566.41,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2016,Aufwendungen,318000.0,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2017,Aufwendungen,620000.0,Soll
Abschreibungen,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2018,Aufwendungen,484000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2019,Aufwendungen,514000.0,Plan
Abschreibungen,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2020,Aufwendungen,561000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2015,Aufwendungen,3597354.88,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2016,Aufwendungen,4413000.0,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2017,Aufwendungen,4238000.0,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2018,Aufwendungen,5248000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2019,Aufwendungen,5226000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2020,Aufwendungen,5384000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.02,Leitstelle,2015,Aufwendungen,142626.12,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.02,Leitstelle,2016,Aufwendungen,182000.0,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.02,Leitstelle,2017,Aufwendungen,169000.0,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.02,Leitstelle,2018,Aufwendungen,169000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.02,Leitstelle,2019,Aufwendungen,169000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.02,Leitstelle,2020,Aufwendungen,169000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2015,Aufwendungen,325215.3,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2016,Aufwendungen,381000.0,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2017,Aufwendungen,386000.0,Soll
Abschreibungen,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2018,Aufwendungen,491000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2019,Aufwendungen,516000.0,Plan
Abschreibungen,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2020,Aufwendungen,544000.0,Plan
Abschreibungen,13,Stadtplanung,13.01,Stadtplanung,2015,Aufwendungen,671583.26,Soll
Abschreibungen,13,Stadtplanung,13.01,Stadtplanung,2016,Aufwendungen,5602000.0,Soll
Abschreibungen,13,Stadtplanung,13.01,Stadtplanung,2017,Aufwendungen,3133000.0,Soll
Abschreibungen,13,Stadtplanung,13.01,Stadtplanung,2018,Aufwendungen,8661000.0,Plan
Abschreibungen,13,Stadtplanung,13.01,Stadtplanung,2019,Aufwendungen,9675000.0,Plan
Abschreibungen,13,Stadtplanung,13.01,Stadtplanung,2020,Aufwendungen,12076000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.01,Vermessungen,2015,Aufwendungen,82300.35,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.01,Vermessungen,2016,Aufwendungen,71000.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.01,Vermessungen,2017,Aufwendungen,70000.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.01,Vermessungen,2018,Aufwendungen,64000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.01,Vermessungen,2019,Aufwendungen,55000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.01,Vermessungen,2020,Aufwendungen,46000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.02,Geoinformation,2015,Aufwendungen,270350.1,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.02,Geoinformation,2016,Aufwendungen,168000.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.02,Geoinformation,2017,Aufwendungen,178000.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.02,Geoinformation,2018,Aufwendungen,166000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.02,Geoinformation,2019,Aufwendungen,180000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.02,Geoinformation,2020,Aufwendungen,193000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.03,Bodenordnung,2015,Aufwendungen,2615.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.03,Bodenordnung,2016,Aufwendungen,36000.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.03,Bodenordnung,2017,Aufwendungen,27000.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.03,Bodenordnung,2018,Aufwendungen,45000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.03,Bodenordnung,2019,Aufwendungen,47000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.03,Bodenordnung,2020,Aufwendungen,49000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.04,Immobilienconsulting und -bewertung,2015,Aufwendungen,1605.88,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.04,Immobilienconsulting und -bewertung,2016,Aufwendungen,2000.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.04,Immobilienconsulting und -bewertung,2017,Aufwendungen,2000.0,Soll
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.04,Immobilienconsulting und -bewertung,2018,Aufwendungen,2000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.04,Immobilienconsulting und -bewertung,2019,Aufwendungen,3000.0,Plan
Abschreibungen,14,Geoinformation und Grundstücksordnung,14.04,Immobilienconsulting und -bewertung,2020,Aufwendungen,4000.0,Plan
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.01,Bauaufsicht,2015,Aufwendungen,90685.78,Soll
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.01,Bauaufsicht,2016,Aufwendungen,94000.0,Soll
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.01,Bauaufsicht,2017,Aufwendungen,84000.0,Soll
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.01,Bauaufsicht,2018,Aufwendungen,112000.0,Plan
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.01,Bauaufsicht,2019,Aufwendungen,117000.0,Plan
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.01,Bauaufsicht,2020,Aufwendungen,122000.0,Plan
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2015,Aufwendungen,14235.18,Soll
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2016,Aufwendungen,11000.0,Soll
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2017,Aufwendungen,12000.0,Soll
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2018,Aufwendungen,14000.0,Plan
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2019,Aufwendungen,12000.0,Plan
Abschreibungen,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2020,Aufwendungen,8000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.01,Erschließung,2015,Aufwendungen,212.67,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.01,Erschließung,2016,Aufwendungen,1093000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.01,Erschließung,2017,Aufwendungen,943000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.01,Erschließung,2018,Aufwendungen,1736000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.01,Erschließung,2019,Aufwendungen,1796000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.01,Erschließung,2020,Aufwendungen,1798000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.02,Verwendung Stellplatzablöse,2015,Aufwendungen,2975148.18,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.02,Verwendung Stellplatzablöse,2016,Aufwendungen,2535000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.02,Verwendung Stellplatzablöse,2017,Aufwendungen,3336000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.02,Verwendung Stellplatzablöse,2018,Aufwendungen,3776000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.02,Verwendung Stellplatzablöse,2019,Aufwendungen,4004000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.02,Verwendung Stellplatzablöse,2020,Aufwendungen,4104000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.03,Verkehrsanlagen,2015,Aufwendungen,58626882.29,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.03,Verkehrsanlagen,2016,Aufwendungen,58444000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.03,Verkehrsanlagen,2017,Aufwendungen,57157000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.03,Verkehrsanlagen,2018,Aufwendungen,57631000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.03,Verkehrsanlagen,2019,Aufwendungen,56530000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.03,Verkehrsanlagen,2020,Aufwendungen,55182000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.06,Verkehrseinrichtungen,2015,Aufwendungen,3668327.97,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.06,Verkehrseinrichtungen,2016,Aufwendungen,3244000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.06,Verkehrseinrichtungen,2017,Aufwendungen,3059000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.06,Verkehrseinrichtungen,2018,Aufwendungen,2827000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.06,Verkehrseinrichtungen,2019,Aufwendungen,2582000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.06,Verkehrseinrichtungen,2020,Aufwendungen,2744000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.08,Parkierungseinrichtungen,2015,Aufwendungen,6784.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.08,Parkierungseinrichtungen,2016,Aufwendungen,7000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.08,Parkierungseinrichtungen,2017,Aufwendungen,7000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.08,Parkierungseinrichtungen,2018,Aufwendungen,7000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.08,Parkierungseinrichtungen,2019,Aufwendungen,4000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.08,Parkierungseinrichtungen,2020,Aufwendungen,2000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.11,Förderung Öffentl. Personennahverkehr,2015,Aufwendungen,20654234.9,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.11,Förderung Öffentl. Personennahverkehr,2016,Aufwendungen,22015000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.11,Förderung Öffentl. Personennahverkehr,2017,Aufwendungen,23451000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.11,Förderung Öffentl. Personennahverkehr,2018,Aufwendungen,23917000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.11,Förderung Öffentl. Personennahverkehr,2019,Aufwendungen,24760000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.11,Förderung Öffentl. Personennahverkehr,2020,Aufwendungen,26893000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.12,Verkehrsplanung ,2015,Aufwendungen,35834.48,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.12,Verkehrsplanung ,2016,Aufwendungen,58000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.12,Verkehrsplanung ,2017,Aufwendungen,30000.0,Soll
Abschreibungen,16,Nahverkehr und ÖPNV,16.12,Verkehrsplanung ,2018,Aufwendungen,40000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.12,Verkehrsplanung ,2019,Aufwendungen,40000.0,Plan
Abschreibungen,16,Nahverkehr und ÖPNV,16.12,Verkehrsplanung ,2020,Aufwendungen,44000.0,Plan
Abschreibungen,17,Wohnen,17.01,Wohnen,2015,Aufwendungen,185112.74,Soll
Abschreibungen,17,Wohnen,17.01,Wohnen,2016,Aufwendungen,117000.0,Soll
Abschreibungen,17,Wohnen,17.01,Wohnen,2017,Aufwendungen,108000.0,Soll
Abschreibungen,17,Wohnen,17.01,Wohnen,2018,Aufwendungen,93000.0,Plan
Abschreibungen,17,Wohnen,17.01,Wohnen,2019,Aufwendungen,91000.0,Plan
Abschreibungen,17,Wohnen,17.01,Wohnen,2020,Aufwendungen,72000.0,Plan
Abschreibungen,18,Soziales,18.01,Leistungen des Jugend- und Sozialamtes,2015,Aufwendungen,3725688.43,Soll
Abschreibungen,18,Soziales,18.01,Leistungen des Jugend- und Sozialamtes,2016,Aufwendungen,3043000.0,Soll
Abschreibungen,18,Soziales,18.01,Leistungen des Jugend- und Sozialamtes,2017,Aufwendungen,3925000.0,Soll
Abschreibungen,18,Soziales,18.01,Leistungen des Jugend- und Sozialamtes,2018,Aufwendungen,5086000.0,Plan
Abschreibungen,18,Soziales,18.01,Leistungen des Jugend- und Sozialamtes,2019,Aufwendungen,5294000.0,Plan
Abschreibungen,18,Soziales,18.01,Leistungen des Jugend- und Sozialamtes,2020,Aufwendungen,5317000.0,Plan
Abschreibungen,19,Gesundheit,19.01,Infektiologie,2015,Aufwendungen,275879.91,Soll
Abschreibungen,19,Gesundheit,19.01,Infektiologie,2016,Aufwendungen,232000.0,Soll
Abschreibungen,19,Gesundheit,19.01,Infektiologie,2017,Aufwendungen,231000.0,Soll
Abschreibungen,19,Gesundheit,19.01,Infektiologie,2018,Aufwendungen,274000.0,Plan
Abschreibungen,19,Gesundheit,19.01,Infektiologie,2019,Aufwendungen,283000.0,Plan
Abschreibungen,19,Gesundheit,19.01,Infektiologie,2020,Aufwendungen,300000.0,Plan
Abschreibungen,19,Gesundheit,19.02,Medizinische Dienste und Hygiene,2015,Aufwendungen,15761.16,Soll
Abschreibungen,19,Gesundheit,19.02,Medizinische Dienste und Hygiene,2016,Aufwendungen,11000.0,Soll
Abschreibungen,19,Gesundheit,19.02,Medizinische Dienste und Hygiene,2017,Aufwendungen,10000.0,Soll
Abschreibungen,19,Gesundheit,19.02,Medizinische Dienste und Hygiene,2018,Aufwendungen,9000.0,Plan
Abschreibungen,19,Gesundheit,19.02,Medizinische Dienste und Hygiene,2019,Aufwendungen,8000.0,Plan
Abschreibungen,19,Gesundheit,19.02,Medizinische Dienste und Hygiene,2020,Aufwendungen,6000.0,Plan
Abschreibungen,19,Gesundheit,19.03,Kinder- und Jugendmedizin,2015,Aufwendungen,16552.3,Soll
Abschreibungen,19,Gesundheit,19.03,Kinder- und Jugendmedizin,2016,Aufwendungen,8000.0,Soll
Abschreibungen,19,Gesundheit,19.03,Kinder- und Jugendmedizin,2017,Aufwendungen,11000.0,Soll
Abschreibungen,19,Gesundheit,19.03,Kinder- und Jugendmedizin,2018,Aufwendungen,11000.0,Plan
Abschreibungen,19,Gesundheit,19.03,Kinder- und Jugendmedizin,2019,Aufwendungen,10000.0,Plan
Abschreibungen,19,Gesundheit,19.03,Kinder- und Jugendmedizin,2020,Aufwendungen,8000.0,Plan
Abschreibungen,19,Gesundheit,19.04,Psychiatrie,2015,Aufwendungen,1533.0,Soll
Abschreibungen,19,Gesundheit,19.04,Psychiatrie,2016,Aufwendungen,1000.0,Soll
Abschreibungen,19,Gesundheit,19.04,Psychiatrie,2017,Aufwendungen,1000.0,Soll
Abschreibungen,19,Gesundheit,19.04,Psychiatrie,2018,Aufwendungen,0.0,Plan
Abschreibungen,19,Gesundheit,19.04,Psychiatrie,2019,Aufwendungen,0.0,Plan
Abschreibungen,19,Gesundheit,19.04,Psychiatrie,2020,Aufwendungen,0.0,Plan
Abschreibungen,19,Gesundheit,19.05,"Drogen-, Sucht- und Präventionsthemen",2015,Aufwendungen,2991.89,Soll
Abschreibungen,19,Gesundheit,19.05,"Drogen-, Sucht- und Präventionsthemen",2016,Aufwendungen,3000.0,Soll
Abschreibungen,19,Gesundheit,19.05,"Drogen-, Sucht- und Präventionsthemen",2017,Aufwendungen,4000.0,Soll
Abschreibungen,19,Gesundheit,19.05,"Drogen-, Sucht- und Präventionsthemen",2018,Aufwendungen,7000.0,Plan
Abschreibungen,19,Gesundheit,19.05,"Drogen-, Sucht- und Präventionsthemen",2019,Aufwendungen,7000.0,Plan
Abschreibungen,19,Gesundheit,19.05,"Drogen-, Sucht- und Präventionsthemen",2020,Aufwendungen,7000.0,Plan
Abschreibungen,19,Gesundheit,19.06,Städt. Kliniken Frankfurt a.M.-Höchst,2015,Aufwendungen,2055444.0,Soll
Abschreibungen,19,Gesundheit,19.06,Städt. Kliniken Frankfurt a.M.-Höchst,2016,Aufwendungen,1617000.0,Soll
Abschreibungen,19,Gesundheit,19.06,Städt. Kliniken Frankfurt a.M.-Höchst,2017,Aufwendungen,1555000.0,Soll
Abschreibungen,19,Gesundheit,19.06,Städt. Kliniken Frankfurt a.M.-Höchst,2018,Aufwendungen,1486000.0,Plan
Abschreibungen,19,Gesundheit,19.06,Städt. Kliniken Frankfurt a.M.-Höchst,2019,Aufwendungen,4782000.0,Plan
Abschreibungen,19,Gesundheit,19.06,Städt. Kliniken Frankfurt a.M.-Höchst,2020,Aufwendungen,7217000.0,Plan
Abschreibungen,20,Bildung,20.01,Schulbetriebsmanagement/pädag. Aufgaben,2015,Aufwendungen,31789688.54,Soll
Abschreibungen,20,Bildung,20.01,Schulbetriebsmanagement/pädag. Aufgaben,2016,Aufwendungen,29411000.0,Soll
Abschreibungen,20,Bildung,20.01,Schulbetriebsmanagement/pädag. Aufgaben,2017,Aufwendungen,37006000.0,Soll
Abschreibungen,20,Bildung,20.01,Schulbetriebsmanagement/pädag. Aufgaben,2018,Aufwendungen,37777000.0,Plan
Abschreibungen,20,Bildung,20.01,Schulbetriebsmanagement/pädag. Aufgaben,2019,Aufwendungen,41424000.0,Plan
Abschreibungen,20,Bildung,20.01,Schulbetriebsmanagement/pädag. Aufgaben,2020,Aufwendungen,49057000.0,Plan
Abschreibungen,20,Bildung,20.02,Betrieb städtischer Kitas,2015,Aufwendungen,2269649.32,Soll
Abschreibungen,20,Bildung,20.02,Betrieb städtischer Kitas,2016,Aufwendungen,3400000.0,Soll
Abschreibungen,20,Bildung,20.02,Betrieb städtischer Kitas,2017,Aufwendungen,4766000.0,Soll
Abschreibungen,20,Bildung,20.02,Betrieb städtischer Kitas,2018,Aufwendungen,5453000.0,Plan
Abschreibungen,20,Bildung,20.02,Betrieb städtischer Kitas,2019,Aufwendungen,5870000.0,Plan
Abschreibungen,20,Bildung,20.02,Betrieb städtischer Kitas,2020,Aufwendungen,6097000.0,Plan
Abschreibungen,20,Bildung,20.03,"Trägerübergreifende Kita-Aufgaben, Tagespflege",2015,Aufwendungen,11829511.86,Soll
Abschreibungen,20,Bildung,20.03,"Trägerübergreifende Kita-Aufgaben, Tagespflege",2016,Aufwendungen,15170000.0,Soll
Abschreibungen,20,Bildung,20.03,"Trägerübergreifende Kita-Aufgaben, Tagespflege",2017,Aufwendungen,15701000.0,Soll
Abschreibungen,20,Bildung,20.03,"Trägerübergreifende Kita-Aufgaben, Tagespflege",2018,Aufwendungen,17552000.0,Plan
Abschreibungen,20,Bildung,20.03,"Trägerübergreifende Kita-Aufgaben, Tagespflege",2019,Aufwendungen,17614000.0,Plan
Abschreibungen,20,Bildung,20.03,"Trägerübergreifende Kita-Aufgaben, Tagespflege",2020,Aufwendungen,17596000.0,Plan
Abschreibungen,20,Bildung,20.04,"Jugend- und Erwachsenenbildung, Kinderbüro",2015,Aufwendungen,19267.0,Soll
Abschreibungen,20,Bildung,20.04,"Jugend- und Erwachsenenbildung, Kinderbüro",2016,Aufwendungen,19000.0,Soll
Abschreibungen,20,Bildung,20.04,"Jugend- und Erwachsenenbildung, Kinderbüro",2017,Aufwendungen,19000.0,Soll
Abschreibungen,20,Bildung,20.04,"Jugend- und Erwachsenenbildung, Kinderbüro",2018,Aufwendungen,19000.0,Plan
Abschreibungen,20,Bildung,20.04,"Jugend- und Erwachsenenbildung, Kinderbüro",2019,Aufwendungen,19000.0,Plan
Abschreibungen,20,Bildung,20.04,"Jugend- und Erwachsenenbildung, Kinderbüro",2020,Aufwendungen,19000.0,Plan
Abschreibungen,20,Bildung,20.07,Angebote der Stadtbücherei,2015,Aufwendungen,588324.18,Soll
Abschreibungen,20,Bildung,20.07,Angebote der Stadtbücherei,2016,Aufwendungen,534000.0,Soll
Abschreibungen,20,Bildung,20.07,Angebote der Stadtbücherei,2017,Aufwendungen,743000.0,Soll
Abschreibungen,20,Bildung,20.07,Angebote der Stadtbücherei,2018,Aufwendungen,987000.0,Plan
Abschreibungen,20,Bildung,20.07,Angebote der Stadtbücherei,2019,Aufwendungen,1018000.0,Plan
Abschreibungen,20,Bildung,20.07,Angebote der Stadtbücherei,2020,Aufwendungen,1061000.0,Plan
