ID;Jahr;Haushalt Art;Einzelplan (W);Bezeichnung EP (W);Einzelplan|Bezeichnung (F);Gliederung;Bezeichnung Gliederung;Gliederung|Bezeichnung (F);Gruppierung;Bezeichnung;Gruppierung|Bezeichnung (F);Einnahme|Ausgabe;Betrag;Ansatz|Rechnung
11;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4110;Zuführungen zur Versorgungsrücklage Beamte;4110 - Zuführungen zur Versorgungsrücklage Beamte;Ausgabe;1100,00;Ansatz
12;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4140;Entgelte für tariflich Beschäftigte;4140 - Entgelte für tariflich Beschäftigte;Ausgabe;170300,00;Ansatz
13;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4160;Beschäftigungsentgelte und dgl.;4160 - Beschäftigungsentgelte und dgl.;Ausgabe;0,00;Ansatz
14;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4200;Versorgungsbezüge Beamte;4200 - Versorgungsbezüge Beamte;Ausgabe;105000,00;Ansatz
15;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4210;Zuführungen zur Versorgungs- rücklage Ruhegehaltsempf.;4210 - Zuführungen zur Versorgungs- rücklage Ruhegehaltsempf.;Ausgabe;3000,00;Ansatz
16;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4340;Beiträge zu Versorgungskassen Tariflich Beschäftigte;4340 - Beiträge zu Versorgungskassen Tariflich Beschäftigte;Ausgabe;13200,00;Ansatz
17;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4380;Beiträge zu Versorgungskassen Sonstige;4380 - Beiträge zu Versorgungskassen Sonstige;Ausgabe;0,00;Ansatz
18;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4440;Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte;4440 - Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte;Ausgabe;33100,00;Ansatz
19;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4480;Beiträge zur gesetzlichen Sozialversicherung Sonstige;4480 - Beiträge zur gesetzlichen Sozialversicherung Sonstige;Ausgabe;0,00;Ansatz
20;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4590;Beihilfen, Unterstützungen und Ähnl.;4590 - Beihilfen, Unterstützungen und Ähnl.;Ausgabe;0,00;Ansatz
21;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4590;Beihilfen, Unterstützungen und Ähnl. (Versorgungsempfänger);4590 - Beihilfen, Unterstützungen und Ähnl. (Versorgungsempfänger);Ausgabe;0,00;Ansatz
22;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4690;Personalnebenausgaben Sachzuwendungen| Leistungsanreize;4690 - Personalnebenausgaben Sachzuwendungen| Leistungsanreize;Ausgabe;50,00;Ansatz
23;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4690;Personalnebenausgaben ZVK-Pauschalsteuer;4690 - Personalnebenausgaben ZVK-Pauschalsteuer;Ausgabe;600,00;Ansatz
24;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5200;Verwaltungs- und Zweckaus- stattung;5200 - Verwaltungs- und Zweckaus- stattung;Ausgabe;300,00;Ansatz
25;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5280;Sonstige Gebrauchsgegenstände;5280 - Sonstige Gebrauchsgegenstände;Ausgabe;700,00;Ansatz
26;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5340;Leasing von Maschinen, Geräte, Fahrzeuge;5340 - Leasing von Maschinen, Geräte, Fahrzeuge;Ausgabe;10000,00;Ansatz
27;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5500;Haltung von Fahrzeugen;5500 - Haltung von Fahrzeugen;Ausgabe;2400,00;Ansatz
28;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5540;Betriebs- und Schmierstoffe (Kfz);5540 - Betriebs- und Schmierstoffe (Kfz);Ausgabe;6600,00;Ansatz
29;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5550;Kfz-Steuer;5550 - Kfz-Steuer;Ausgabe;1000,00;Ansatz
30;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5560;Kfz-Versicherungen;5560 - Kfz-Versicherungen;Ausgabe;5600,00;Ansatz
31;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5600;Dienst- und Schutzkleidung, pers. Ausrüstungsgegenstände;5600 - Dienst- und Schutzkleidung, pers. Ausrüstungsgegenstände;Ausgabe;900,00;Ansatz
32;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;5622;Fortbildung und Umschulung;5622 - Fortbildung und Umschulung;Ausgabe;300,00;Ansatz
33;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6311;Gemeinschaftsveranstaltungen;6311 - Gemeinschaftsveranstaltungen;Ausgabe;2300,00;Ansatz
34;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6312;Feiern, Ehrungen;6312 - Feiern, Ehrungen;Ausgabe;19100,00;Ansatz
35;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6313;Belohnungen, Preise;6313 - Belohnungen, Preise;Ausgabe;3000,00;Ansatz
36;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6321;Öffentlichkeitsarbeit;6321 - Öffentlichkeitsarbeit;Ausgabe;1500,00;Ansatz
37;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6369;Sonstige Dienstleistungen durch Dritte;6369 - Sonstige Dienstleistungen durch Dritte;Ausgabe;0,00;Ansatz
38;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6370;Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte);6370 - Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte);Ausgabe;900,00;Ansatz
39;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6500;Allgemeiner Bürobedarf;6500 - Allgemeiner Bürobedarf;Ausgabe;3000,00;Ansatz
40;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6510;Bücher und Zeitschriften;6510 - Bücher und Zeitschriften;Ausgabe;600,00;Ansatz
41;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6525;Postgebühren;6525 - Postgebühren;Ausgabe;3000,00;Ansatz
42;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6540;Dienstfahrten;6540 - Dienstfahrten;Ausgabe;0,00;Ansatz
43;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6540;Dienstfahrten;6540 - Dienstfahrten;Ausgabe;2200,00;Ansatz
44;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6541;Reise- und Fahrtkosten;6541 - Reise- und Fahrtkosten;Ausgabe;1800,00;Ansatz
45;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6549;Reisekosten, Sonstige;6549 - Reisekosten, Sonstige;Ausgabe;0,00;Ansatz
46;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6556;Honorare und Ähnl.;6556 - Honorare und Ähnl.;Ausgabe;1300,00;Ansatz
47;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6569;Verdienstausfallentschädigung;6569 - Verdienstausfallentschädigung;Ausgabe;10000,00;Ansatz
48;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6588;Geschäftsausgaben (Verpflegung);6588 - Geschäftsausgaben (Verpflegung);Ausgabe;1000,00;Ansatz
49;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6589;Sonstige Geschäftsausgaben;6589 - Sonstige Geschäftsausgaben;Ausgabe;100,00;Ansatz
50;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6589;Sonstige Geschäftsausgaben;6589 - Sonstige Geschäftsausgaben;Ausgabe;300,00;Ansatz
51;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6600;Verfügungsmittel (OBM);6600 - Verfügungsmittel (OBM);Ausgabe;6400,00;Ansatz
52;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6798;Innere Verrechnung innerstädt. Leistungen;6798 - Innere Verrechnung innerstädt. Leistungen;Ausgabe;0,00;Ansatz
53;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6798;Innere Verrechnung Bücher und Zeitschriften;6798 - Innere Verrechnung Bücher und Zeitschriften;Ausgabe;400,00;Ansatz
54;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6798;Innere Verrechnung innerstädt. Leistungen;6798 - Innere Verrechnung innerstädt. Leistungen;Ausgabe;2300,00;Ansatz
55;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6798;Innere Verrechnung innerstädt. Leistungen;6798 - Innere Verrechnung innerstädt. Leistungen;Ausgabe;3100,00;Ansatz
56;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6799;Innere Verrechnung ITK-Leistungen (Miete Kopierer|Multifunktionsgeräte);6799 - Innere Verrechnung ITK-Leistungen (Miete Kopierer|Multifunktionsgeräte);Ausgabe;1800,00;Ansatz
57;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb);Ausgabe;2800,00;Ansatz
58;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management);Ausgabe;4800,00;Ansatz
59;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme);Ausgabe;8100,00;Ansatz
60;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;7180;Zuschüsse für lfd. Zwecke an die übrigen Bereiche;7180 - Zuschüsse für lfd. Zwecke an die übrigen Bereiche;Ausgabe;300,00;Ansatz
61;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;7180;Zuschüsse für lfd. Zwecke an die übrigen Bereiche;7180 - Zuschüsse für lfd. Zwecke an die übrigen Bereiche;Ausgabe;108000,00;Ansatz
62;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;7183;Zuschüsse für lfd. Zwecke an die übrigen Bereiche (aus Spenden);7183 - Zuschüsse für lfd. Zwecke an die übrigen Bereiche (aus Spenden);Ausgabe;0,00;Ansatz
63;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;1542;Ablieferungen aus Nebentätig- keiten;1542 - Ablieferungen aus Nebentätig- keiten;Einnahme;0,00;Ansatz
64;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;1692;Innere Verrechnung Verwaltungskostenbeiträge;1692 - Innere Verrechnung Verwaltungskostenbeiträge;Einnahme;11800,00;Ansatz
65;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4100;Beamtenbezüge;4100 - Beamtenbezüge;Ausgabe;171500,00;Ansatz
66;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4110;Zuführungen zur Versorgungsrücklage Beamte;4110 - Zuführungen zur Versorgungsrücklage Beamte;Ausgabe;1000,00;Ansatz
67;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4140;Entgelte für tariflich Beschäftigte;4140 - Entgelte für tariflich Beschäftigte;Ausgabe;143300,00;Ansatz
68;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4200;Versorgungsbezüge Beamte;4200 - Versorgungsbezüge Beamte;Ausgabe;90900,00;Ansatz
69;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4210;Zuführungen zur Versorgungs- rücklage Ruhegehaltsempf.;4210 - Zuführungen zur Versorgungs- rücklage Ruhegehaltsempf.;Ausgabe;2600,00;Ansatz
70;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4340;Beiträge zu Versorgungskassen Tariflich Beschäftigte;4340 - Beiträge zu Versorgungskassen Tariflich Beschäftigte;Ausgabe;11100,00;Ansatz
71;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4440;Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte;4440 - Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte;Ausgabe;28700,00;Ansatz
72;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4590;Beihilfen, Unterstützungen und Ähnl.;4590 - Beihilfen, Unterstützungen und Ähnl.;Ausgabe;0,00;Ansatz
73;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4590;Beihilfen, Unterstützungen und Ähnl. (Versorgungsempfänger);4590 - Beihilfen, Unterstützungen und Ähnl. (Versorgungsempfänger);Ausgabe;0,00;Ansatz
74;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4690;Personalnebenausgaben Sachzuwendungen| Leistungsanreize;4690 - Personalnebenausgaben Sachzuwendungen| Leistungsanreize;Ausgabe;105,00;Ansatz
75;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;4690;Personalnebenausgaben ZVK-Pauschalsteuer;4690 - Personalnebenausgaben ZVK-Pauschalsteuer;Ausgabe;700,00;Ansatz
76;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;5200;Verwaltungs- und Zweckaus- stattung;5200 - Verwaltungs- und Zweckaus- stattung;Ausgabe;200,00;Ansatz
77;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;5280;Sonstige Gebrauchsgegenstände;5280 - Sonstige Gebrauchsgegenstände;Ausgabe;200,00;Ansatz
78;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;5622;Fortbildung und Umschulung;5622 - Fortbildung und Umschulung;Ausgabe;200,00;Ansatz
79;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6316;Veranstaltungen;6316 - Veranstaltungen;Ausgabe;4000,00;Ansatz
80;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6322;EDV-Kosten;6322 - EDV-Kosten;Ausgabe;0,00;Ansatz
81;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6370;Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte);6370 - Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte);Ausgabe;1000,00;Ansatz
82;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6500;Allgemeiner Bürobedarf;6500 - Allgemeiner Bürobedarf;Ausgabe;950,00;Ansatz
83;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6510;Bücher und Zeitschriften;6510 - Bücher und Zeitschriften;Ausgabe;300,00;Ansatz
84;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6525;Postgebühren;6525 - Postgebühren;Ausgabe;0,00;Ansatz
85;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6540;Dienstfahrten;6540 - Dienstfahrten;Ausgabe;700,00;Ansatz
86;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6541;Reise- und Fahrtkosten;6541 - Reise- und Fahrtkosten;Ausgabe;150,00;Ansatz
87;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6589;Sonstige Geschäftsausgaben;6589 - Sonstige Geschäftsausgaben;Ausgabe;200,00;Ansatz
88;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6600;Verfügungsmittel (BM);6600 - Verfügungsmittel (BM);Ausgabe;4500,00;Ansatz
89;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6798;Innere Verrechnung innerstädt. Leistungen;6798 - Innere Verrechnung innerstädt. Leistungen;Ausgabe;0,00;Ansatz
90;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6798;Innere Verrechnung Bücher und Zeitschriften;6798 - Innere Verrechnung Bücher und Zeitschriften;Ausgabe;100,00;Ansatz
91;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6799;Innere Verrechnung ITK-Leistungen (Miete Kopierer|Multifunktionsgeräte);6799 - Innere Verrechnung ITK-Leistungen (Miete Kopierer|Multifunktionsgeräte);Ausgabe;1100,00;Ansatz
92;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb);Ausgabe;2100,00;Ansatz
93;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management);Ausgabe;3900,00;Ansatz
94;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;1;Referat I;0001 - Referat I;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme);Ausgabe;5900,00;Ansatz
95;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4100;Beamtenbezüge;4100 - Beamtenbezüge;Ausgabe;143800,00;Ansatz
96;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4110;Zuführungen zur Versorgungsrücklage Beamte;4110 - Zuführungen zur Versorgungsrücklage Beamte;Ausgabe;800,00;Ansatz
97;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4140;Entgelte für tariflich Beschäftigte;4140 - Entgelte für tariflich Beschäftigte;Ausgabe;76800,00;Ansatz
98;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4200;Versorgungsbezüge Beamte;4200 - Versorgungsbezüge Beamte;Ausgabe;76200,00;Ansatz
99;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4210;Zuführungen zur Versorgungs- rücklage Ruhegehaltsempf.;4210 - Zuführungen zur Versorgungs- rücklage Ruhegehaltsempf.;Ausgabe;2200,00;Ansatz
100;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4340;Beiträge zu Versorgungskassen Tariflich Beschäftigte;4340 - Beiträge zu Versorgungskassen Tariflich Beschäftigte;Ausgabe;6000,00;Ansatz
101;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4440;Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte;4440 - Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte;Ausgabe;13700,00;Ansatz
102;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4590;Beihilfen, Unterstützungen und Ähnl.;4590 - Beihilfen, Unterstützungen und Ähnl.;Ausgabe;0,00;Ansatz
103;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4590;Beihilfen, Unterstützungen und Ähnl. (Versorgungsempfänger);4590 - Beihilfen, Unterstützungen und Ähnl. (Versorgungsempfänger);Ausgabe;0,00;Ansatz
104;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4690;Personalnebenausgaben Sachzuwendungen| Leistungsanreize;4690 - Personalnebenausgaben Sachzuwendungen| Leistungsanreize;Ausgabe;45,00;Ansatz
105;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;4690;Personalnebenausgaben ZVK-Pauschalsteuer;4690 - Personalnebenausgaben ZVK-Pauschalsteuer;Ausgabe;300,00;Ansatz
106;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;2;Referat II;0002 - Referat II;5200;Verwaltungs- und Zweckaus- stattung;5200 - Verwaltungs- und Zweckaus- stattung;Ausgabe;100,00;Ansatz
