jahr,bereich,bereichbezeichnung,produkt,produkt_bezeichnung,fibu_konto,konto_bezeichnung,art,ansatz,haushalt
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",549200,Fraktionszuwendungen,Ausgaben,1200,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,533803,Sachleistungen (§ 3 AsylblG),Ausgaben,450000,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254101,"Gemeindestraßen, -wege, -plätze, -brücken",441100,Mieten und Pachten,Einnahmen,600,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",441100,Mieten und Pachten,Einnahmen,108320,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254701,Einrichtungen des ÖPNV,542200,Mieten und Pachten,Ausgaben,145,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",542200,Mieten und Pachten,Ausgaben,175,Plan
2017,5,Soziale Leistungen,531501,Soziale Einrichtungen für Asylbewerber/Wohnungslose,432100,Benutzungsgebühren,Einnahmen,46300,Plan
2017,3,Schulträgeraufgaben,321101,Grundschulen,524120,Unterhaltung der Grundstücke u. bauliche Anlagen,Ausgaben,43000,Plan
2017,3,Schulträgeraufgaben,321101,Grundschulen,542200,Mieten und Pachten,Ausgaben,5200,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,542200,Mieten und Pachten,Ausgaben,8600,Plan
2017,15,Wirtschaft und Tourismus,1557302,Marktwesen,432100,Benutzungsgebühren,Einnahmen,6300,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",504100,Beihilfen u. Unterstützungsleistungen f. Beschäft.,Ausgaben,6205,Plan
2017,1,Innere Verwaltung,111103,Personalmanagement,448800,Erstattungen von übrigen Bereichen,Einnahmen,4900,Plan
2017,1,Innere Verwaltung,111103,Personalmanagement,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,4200,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,39000,Plan
2017,2,Sicherheit und Ordnung,212201,Öffentliche Sicherheit und Ordnung,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,2850,Plan
2017,2,Sicherheit und Ordnung,212202,Einwohnerangelegenheiten,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,15300,Plan
2017,5,Soziale Leistungen,535101,"Wohngeld und Sozialversicherung, Sozialbericht, Seniorenarbeit",543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,3100,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,5610,Plan
2017,9,"Räumliche Planung und Entwicklung, Geoinformation",951101,"Landes-, Regional-, Raumord.- und Stadtumlandplanung, Gebietsentwicklung",543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,3500,Plan
2017,1,Innere Verwaltung,111105,Technikunterstützte Informationsverarbeitung (TUIV),543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,22000,Plan
2017,2,Sicherheit und Ordnung,212102,Wahlen,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,8000,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,544110,Versicherungsbeiträge u.ä.,Ausgaben,45000,Plan
2017,3,Schulträgeraufgaben,321101,Grundschulen,543295,Sonstige Geschäftsausgaben,Ausgaben,100,Plan
2017,9,"Räumliche Planung und Entwicklung, Geoinformation",951101,"Landes-, Regional-, Raumord.- und Stadtumlandplanung, Gebietsentwicklung",529100,Aufwendungen für sonstige Dienstleistungen,Ausgaben,93000,Plan
2017,13,Natur- und Landschaftspflege,1355301,Friedhöfe und Friedhofskapellen,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,1400,Plan
2017,13,Natur- und Landschaftspflege,1355101,"Öffentliche Parkanlagen, Grünflächen",543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,700,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",414400,Zuweisungen von gesetzlichen Sozialversicherungen,Einnahmen,11460,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,525110,Kfz-Versicherungsbeiträge,Ausgaben,3950,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",525110,Kfz-Versicherungsbeiträge,Ausgaben,5500,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",525110,Kfz-Versicherungsbeiträge,Ausgaben,650,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,525110,Kfz-Versicherungsbeiträge,Ausgaben,1000,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,544110,Versicherungsbeiträge u.ä.,Ausgaben,4500,Plan
2017,3,Schulträgeraufgaben,324301,"Förderung von Schulen i. a. Trägerschaft,Jugendverkehrschule",544110,Versicherungsbeiträge u.ä.,Ausgaben,16000,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,544110,Versicherungsbeiträge u.ä.,Ausgaben,7700,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254501,Straßenreinigung und Winterdienst,544110,Versicherungsbeiträge u.ä.,Ausgaben,35,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",544110,Versicherungsbeiträge u.ä.,Ausgaben,1100,Plan
2017,13,Natur- und Landschaftspflege,1355301,Friedhöfe und Friedhofskapellen,524116,Versicherungen (Gebäude),Ausgaben,1280,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,524116,Versicherungen (Gebäude),Ausgaben,1750,Plan
2017,8,Sportförderung,842401,Bereitstellung und Betrieb von Sportanlagen,524116,Versicherungen (Gebäude),Ausgaben,3200,Plan
2017,4,Kultur und Wissenschaft,425202,"Heimatpflege, Gemeindearchiv, Ehren- und Denkmäler",524116,Versicherungen (Gebäude),Ausgaben,85,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",524116,Versicherungen (Gebäude),Ausgaben,3500,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254701,Einrichtungen des ÖPNV,524116,Versicherungen (Gebäude),Ausgaben,5300,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",524116,Versicherungen (Gebäude),Ausgaben,8010,Plan
2017,4,Kultur und Wissenschaft,427101,Volkshochschulen,524116,Versicherungen (Gebäude),Ausgaben,750,Plan
2017,3,Schulträgeraufgaben,321101,Grundschulen,524116,Versicherungen (Gebäude),Ausgaben,12500,Plan
2017,15,Wirtschaft und Tourismus,1557501,"Tourist. Öffentlichkeitsarb., Tourismusförderung, Tourist. Einrichtungen",524116,Versicherungen (Gebäude),Ausgaben,450,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,524116,Versicherungen (Gebäude),Ausgaben,750,Plan
2017,5,Soziale Leistungen,531501,Soziale Einrichtungen für Asylbewerber/Wohnungslose,524116,Versicherungen (Gebäude),Ausgaben,2450,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",525120,Kfz-Steuer,Ausgaben,1900,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",525120,Kfz-Steuer,Ausgaben,30,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,525120,Kfz-Steuer,Ausgaben,600,Plan
2017,10,Bauen und Wohnen,1052202,Erschließung von Wohngebieten,448500,"Erstattungen von verb. Untern., Beteilig. u. SV",Einnahmen,10000,Plan
2017,5,Soziale Leistungen,531501,Soziale Einrichtungen für Asylbewerber/Wohnungslose,441100,Mieten und Pachten,Einnahmen,64000,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",441100,Mieten und Pachten,Einnahmen,700,Plan
2017,15,Wirtschaft und Tourismus,1557501,"Tourist. Öffentlichkeitsarb., Tourismusförderung, Tourist. Einrichtungen",441100,Mieten und Pachten,Einnahmen,7800,Plan
2017,3,Schulträgeraufgaben,324201,Offene Ganztagsschule,531800,Aufwend. f. Zuschüsse an übrige Bereiche,Ausgaben,190000,Plan
2017,3,Schulträgeraufgaben,324301,"Förderung von Schulen i. a. Trägerschaft,Jugendverkehrschule",537900,Allgemeine Umlagen an Zweckverbände,Ausgaben,70000,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,543130,"Post- u. Telekommunikations-,Fernseh-,Rundfunkgeb.",Ausgaben,300,Plan
2017,5,Soziale Leistungen,531501,Soziale Einrichtungen für Asylbewerber/Wohnungslose,542200,Mieten und Pachten,Ausgaben,33400,Plan
2017,1,Innere Verwaltung,111104,Presse- und Öffentlichkeitsarbeit,543310,"Öffentlichkeitsarbeit, Printmedien, Internet",Ausgaben,1000,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,542300,Leasing,Ausgaben,4000,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",542300,Leasing,Ausgaben,3600,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",525130,Pflege und Unterhaltung der Fahrzeuge,Ausgaben,16000,Plan
2017,8,Sportförderung,842401,Bereitstellung und Betrieb von Sportanlagen,524200,Unterhaltung/Bewirtsch. des Infrastrukturvermögens,Ausgaben,25000,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,543130,"Post- u. Telekommunikations-,Fernseh-,Rundfunkgeb.",Ausgaben,2600,Plan
2017,13,Natur- und Landschaftspflege,1355301,Friedhöfe und Friedhofskapellen,524112,Stromkosten/Beleuchtung,Ausgaben,2775,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",524112,Stromkosten/Beleuchtung,Ausgaben,29050,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,524112,Stromkosten/Beleuchtung,Ausgaben,5150,Plan
2017,8,Sportförderung,842401,Bereitstellung und Betrieb von Sportanlagen,524112,Stromkosten/Beleuchtung,Ausgaben,11600,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",501100,Beamte,Ausgaben,90385,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,501100,Beamte,Ausgaben,42710,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,501100,Beamte,Ausgaben,48095,Plan
2017,1,Innere Verwaltung,111105,Technikunterstützte Informationsverarbeitung (TUIV),501100,Beamte,Ausgaben,2250,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,501100,Beamte,Ausgaben,28590,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",501100,Beamte,Ausgaben,12255,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,501100,Beamte,Ausgaben,63075,Plan
2017,2,Sicherheit und Ordnung,212203,Personenstandswesen,431100,Verwaltungsgebühren,Einnahmen,3500,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,456150,Mahn- und Vollstreckungsgebühren,Einnahmen,12000,Plan
2017,2,Sicherheit und Ordnung,212202,Einwohnerangelegenheiten,431100,Verwaltungsgebühren,Einnahmen,55000,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,533805,Geldleistungen f.den Lebensunterhalt  (§ 3),Ausgaben,270000,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,533804,Geldleistungen f. persönl. Bedürfnisse (§ 3),Ausgaben,200000,Plan
2017,2,Sicherheit und Ordnung,212201,Öffentliche Sicherheit und Ordnung,431100,Verwaltungsgebühren,Einnahmen,7000,Plan
2017,3,Schulträgeraufgaben,321101,Grundschulen,414100,Zuweisungen vom Land,Einnahmen,5000,Plan
2017,11,Ver- und Entsorgung,1153701,Beseitigung und Verwertung von Abfällen,432211,Verkauf Restmüllsäcke/Sperrmüllkarten,Einnahmen,3360,Plan
2017,2,Sicherheit und Ordnung,212201,Öffentliche Sicherheit und Ordnung,456100,"Buß-und Zwangsgelder, Verwarnungsgelder",Einnahmen,7500,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,469100,Sonstige Finanzerträge,Einnahmen,100,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,559900,Sonstige Finanzaufwendungen,Ausgaben,250,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",403400,Zweitwohnungssteuer,Einnahmen,7500,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",458320,Ertr. a.d. Aufl. o. Herabs. v. Wertber. a. Forder.,Einnahmen,,Plan
2017,2,Sicherheit und Ordnung,212202,Einwohnerangelegenheiten,529100,Aufwendungen für sonstige Dienstleistungen,Ausgaben,35000,Plan
2017,2,Sicherheit und Ordnung,212201,Öffentliche Sicherheit und Ordnung,544130,Beiträge zu Wirtschafts- und Berufsverbänden pp.,Ausgaben,540,Plan
2017,14,Umweltschutz,1456102,Besondere Dienstleistungen im Umweltmanagement,448700,Erstattungen von privaten Unternehmen,Einnahmen,2500,Plan
2017,2,Sicherheit und Ordnung,212201,Öffentliche Sicherheit und Ordnung,528190,"Geräte pp.(<60,-€), Vorräte,Verbrauchsmaterial",Ausgaben,600,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,544130,Beiträge zu Wirtschafts- und Berufsverbänden pp.,Ausgaben,7000,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,448800,Erstattungen von übrigen Bereichen,Einnahmen,1000,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,2000,Plan
2017,2,Sicherheit und Ordnung,212102,Wahlen,543120,"Bücher, Zeitschriften (incl. CD/DVD)",Ausgaben,300,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254501,Straßenreinigung und Winterdienst,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,3500,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",549100,Verfügungsmittel,Ausgaben,1600,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,448400,Erstattungen von gesetzl. Sozialversicherungen,Einnahmen,24000,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254501,Straßenreinigung und Winterdienst,542300,Leasing,Ausgaben,250,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,541230,Aufwendungen für übernommene Reisekosten,Ausgaben,1000,Plan
2017,10,Bauen und Wohnen,1052101,"Stellungnahmen, Freistellungsverfahren, Teilungsgenehmigungen, Negativatteste",431100,Verwaltungsgebühren,Einnahmen,2000,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,456200,Säumniszuschläge und dgl.,Einnahmen,4000,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,541250,"Aus- und Fortbildung, Umschulungen",Ausgaben,9000,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254102,Bau und Unterhaltung verkehrsleit. und -lenkender Anlagen,528190,"Geräte pp.(<60,-€), Vorräte,Verbrauchsmaterial",Ausgaben,2000,Plan
2017,2,Sicherheit und Ordnung,212201,Öffentliche Sicherheit und Ordnung,541230,Aufwendungen für übernommene Reisekosten,Ausgaben,1000,Plan
2017,1,Innere Verwaltung,111103,Personalmanagement,541250,"Aus- und Fortbildung, Umschulungen",Ausgaben,18000,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,446100,Sonstige privatrechtliche Leistungsentgelte,Einnahmen,350,Plan
2017,1,Innere Verwaltung,111106,Beschäftigtenvertretung,541240,Aufwendungen für Beschäftigtenbetreuung,Ausgaben,500,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,525130,Pflege und Unterhaltung der Fahrzeuge,Ausgaben,12000,Plan
2017,2,Sicherheit und Ordnung,212202,Einwohnerangelegenheiten,543110,Bürobedarf,Ausgaben,1000,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,431100,Verwaltungsgebühren,Einnahmen,300,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,533800,Laufende Leistungen (§ 2 AsylblG),Ausgaben,50000,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,543130,"Post- u. Telekommunikations-,Fernseh-,Rundfunkgeb.",Ausgaben,16000,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254101,"Gemeindestraßen, -wege, -plätze, -brücken",448800,Erstattungen von übrigen Bereichen,Einnahmen,650,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",524114,"Wärme, Heizung",Ausgaben,47000,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,543110,Bürobedarf,Ausgaben,400,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",543295,Sonstige Geschäftsausgaben,Ausgaben,750,Plan
2017,3,Schulträgeraufgaben,321101,Grundschulen,543130,"Post- u. Telekommunikations-,Fernseh-,Rundfunkgeb.",Ausgaben,1250,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254102,Bau und Unterhaltung verkehrsleit. und -lenkender Anlagen,448800,Erstattungen von übrigen Bereichen,Einnahmen,200,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,528190,"Geräte pp.(<60‚-€), Vorräte,Verbrauchsmaterial",Ausgaben,4000,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",446100,Sonstige privatrechtliche Leistungsentgelte,Einnahmen,3900,Plan
2017,4,Kultur und Wissenschaft,425202,"Heimatpflege, Gemeindearchiv, Ehren- und Denkmäler",524112,Stromkosten/Beleuchtung,Ausgaben,220,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,524200,Unterhaltung/Bewirtsch. des Infrastrukturvermögens,Ausgaben,11000,Plan
2017,5,Soziale Leistungen,531501,Soziale Einrichtungen für Asylbewerber/Wohnungslose,524112,Stromkosten/Beleuchtung,Ausgaben,9800,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",537400,Allgemeine Regionsumlage,Ausgaben,4341152,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",537500,Regionsumlage-Mehrbelastung f.Kosten d.Jugendhilfe,Ausgaben,2674300,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",537600,Regionsumlage-Mehrbelastung f. Kosten d. ÖPNV,Ausgaben,325453,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",512100,Beiträge zu Versorgungsk. f. Versorgungsem. Beamte,Ausgaben,117850,Plan
2017,15,Wirtschaft und Tourismus,1557501,"Tourist. Öffentlichkeitsarb., Tourismusförderung, Tourist. Einrichtungen",529100,Aufwendungen für sonstige Dienstleistungen,Ausgaben,14510,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",524111,Wasser,Ausgaben,3125,Plan
2017,5,Soziale Leistungen,531501,Soziale Einrichtungen für Asylbewerber/Wohnungslose,524111,Wasser,Ausgaben,2150,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,524111,Wasser,Ausgaben,700,Plan
2017,15,Wirtschaft und Tourismus,1557501,"Tourist. Öffentlichkeitsarb., Tourismusförderung, Tourist. Einrichtungen",524111,Wasser,Ausgaben,400,Plan
2017,1,Innere Verwaltung,111109,"Baubetriebshof, Fuhrpark",524111,Wasser,Ausgaben,375,Plan
2017,3,Schulträgeraufgaben,321101,Grundschulen,524111,Wasser,Ausgaben,3300,Plan
2017,13,Natur- und Landschaftspflege,1355301,Friedhöfe und Friedhofskapellen,524111,Wasser,Ausgaben,1260,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254101,"Gemeindestraßen, -wege, -plätze, -brücken",524111,Wasser,Ausgaben,875,Plan
2017,4,Kultur und Wissenschaft,427101,Volkshochschulen,524111,Wasser,Ausgaben,100,Plan
2017,8,Sportförderung,842401,Bereitstellung und Betrieb von Sportanlagen,524111,Wasser,Ausgaben,1900,Plan
2017,11,Ver- und Entsorgung,1153101,Elektrizitätsversorgung,451100,Konzessionsabgaben,Einnahmen,228000,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,543295,Sonstige Geschäftsausgaben,Ausgaben,400,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,524200,Unterhaltung/Bewirtsch. des Infrastrukturvermögens,Ausgaben,96070,Plan
2017,3,Schulträgeraufgaben,321101,Grundschulen,543120,"Bücher, Zeitschriften (incl. CD/DVD)",Ausgaben,1400,Plan
2017,5,Soziale Leistungen,531501,Soziale Einrichtungen für Asylbewerber/Wohnungslose,528190,"Geräte pp.(<60,- €), Vorräte,Verbrauchsmaterial",Ausgaben,16000,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,456250,Stundungs-/Aussetzungszinsen,Einnahmen,1000,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,459100,Andere sonstige ordentliche Erträge,Einnahmen,0,Plan
2017,13,Natur- und Landschaftspflege,1355502,Gemeindewald,529100,Aufwendungen für sonstige Dienstleistungen,Ausgaben,24500,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,543150,Sachverständigen- und Gerichtskosten,Ausgaben,22500,Plan
2017,1,Innere Verwaltung,111108,Finanzmanagement und Rechnungswesen,543295,Sonstige Geschäftsausgaben,Ausgaben,2000,Plan
2017,16,Allgemeine Finanzwirtschaft,1661201,Sonstige allgemeine Finanzwirtschaft,551700,Zinsaufwendungen an private Unternehmen,Ausgaben,150000,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,527900,Sonst. besonderer Verwaltungs- u. Betriebsaufwand,Ausgaben,12000,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,421130,Leist. v. Sozialleistungsträgern (o. Pflegevers.),Einnahmen,5000,Plan
2017,1,Innere Verwaltung,111111,Technisches Immobilienmanagement,541230,Aufwendungen für übernommene Reisekosten,Ausgaben,3000,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",543330,Gästebewirtung und Repräsentation,Ausgaben,1600,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,541200,Aufwendungen für ärztl. Untersuchungen,Ausgaben,2500,Plan
2017,2,Sicherheit und Ordnung,212203,Personenstandswesen,543140,Produkte und Leistungen (TUIV) einschl.Lizenzgeb.,Ausgaben,7200,Plan
2017,2,Sicherheit und Ordnung,212203,Personenstandswesen,543120,"Bücher, Zeitschriften (incl. CD/DVD)",Ausgaben,500,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,524110,Grundsteuer/Hausgebühren,Ausgaben,1050,Plan
2017,2,Sicherheit und Ordnung,212601,Brandschutz,524115,Schmutz- und Oberflächenwasserbeseitigung,Ausgaben,2500,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",524110,Grundsteuer/Hausgebühren,Ausgaben,6550,Plan
2017,8,Sportförderung,842401,Bereitstellung und Betrieb von Sportanlagen,524110,Grundsteuer/Hausgebühren,Ausgaben,850,Plan
2017,8,Sportförderung,842401,Bereitstellung und Betrieb von Sportanlagen,524115,Schmutz- und Oberflächenwasserbeseitigung,Ausgaben,10300,Plan
2017,15,Wirtschaft und Tourismus,1557501,"Tourist. Öffentlichkeitsarb., Tourismusförderung, Tourist. Einrichtungen",524110,Grundsteuer/Hausgebühren,Ausgaben,700,Plan
2017,15,Wirtschaft und Tourismus,1557501,"Tourist. Öffentlichkeitsarb., Tourismusförderung, Tourist. Einrichtungen",524115,Schmutz- und Oberflächenwasserbeseitigung,Ausgaben,600,Plan
2017,1,Innere Verwaltung,111110,"Gebäude- und Grundstücksmanagement,Bereitstellung und Verwaltung der Grundstücke",524115,Schmutz- und Oberflächenwasserbeseitigung,Ausgaben,7500,Plan
2017,4,Kultur und Wissenschaft,427101,Volkshochschulen,524115,Schmutz- und Oberflächenwasserbeseitigung,Ausgaben,100,Plan
2017,1,Innere Verwaltung,111102,Zentrale Dienste,448800,Erstattungen von übrigen Bereichen,Einnahmen,8600,Plan
