ID ,Haushaltsjahr ,Haushaltsart ,Einzelplan ,Bezeichnung EP ,Gliederung ,Bezeichnung Gliederung ,Bezeichnung HSt ,Einnahme/Ausgabe ,Betrag ,Plan/Ergebnis
39 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung Bücher und Zeitschriften ,Ausgabe ,500 ,Plan
40 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung innerstädt. Leistungen ,Ausgabe ,3100 ,Plan
41 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung innerstädt. Leistungen ,Ausgabe ,2300 ,Plan
42 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung innerstädt. Leistungen ,Ausgabe ,700 ,Plan
43 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme) ,Ausgabe ,6500 ,Plan
44 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management) ,Ausgabe ,3000 ,Plan
45 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb) ,Ausgabe ,2200 ,Plan
46 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung ITK-Leistungen (Miete Kopierer/Multifunktionsgeräte) ,Ausgabe ,1500 ,Plan
47 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Zuschüsse für lfd. Zwecke an die übrigen Bereiche ,Ausgabe ,108000 ,Plan
48 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Zuschüsse für lfd. Zwecke an die übrigen Bereiche ,Ausgabe ,300 ,Plan
49 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Innere Verrechnung Verwaltungskostenbeiträge ,Einnahme ,12800 ,Plan
50 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Beamtenbezüge ,Ausgabe ,177600 ,Plan
51 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,"Zuführungen zur Versorgungsrücklage ""Beamte""" ,Ausgabe ,1000 ,Plan
52 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Entgelte für tariflich Beschäftigte ,Ausgabe ,133700 ,Plan
53 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,"Versorgungsbezüge ""Beamte""" ,Ausgabe ,94100 ,Plan
54 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,"Zuführungen zur Versorgungs- rücklage ""Ruhegehaltsempf.""" ,Ausgabe ,2700 ,Plan
55 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,"Beiträge zu Versorgungskassen ""Tariflich Beschäftigte""" ,Ausgabe ,10400 ,Plan
56 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,"Beiträge zur gesetzlichen Sozialversicherung ""Tariflich Beschäftigte""" ,Ausgabe ,26600 ,Plan
57 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Personalnebenausgaben ZVK-Pauschalsteuer ,Ausgabe ,700 ,Plan
58 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Personalnebenausgaben Sachzuwendungen/ Leistungsanreize ,Ausgabe ,115 ,Plan
59 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Verwaltungs- und Zweckausstattung ,Ausgabe ,200 ,Plan
60 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Sonstige Gebrauchsgegenstände ,Ausgabe ,200 ,Plan
61 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Fortbildung und Umschulung ,Ausgabe ,200 ,Plan
62 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Veranstaltungen ,Ausgabe ,4000 ,Plan
63 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte) ,Ausgabe ,1000 ,Plan
64 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Allgemeiner Bürobedarf ,Ausgabe ,950 ,Plan
65 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Bücher und Zeitschriften ,Ausgabe ,300 ,Plan
66 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Dienstfahrten ,Ausgabe ,700 ,Plan
67 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Reise- und Fahrtkosten ,Ausgabe ,150 ,Plan
68 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Sonstige Geschäftsausgaben ,Ausgabe ,200 ,Plan
69 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Verfügungsmittel (BM) ,Ausgabe ,4500 ,Plan
70 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Innere Verrechnung Bücher und Zeitschriften ,Ausgabe ,100 ,Plan
71 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme) ,Ausgabe ,6100 ,Plan
72 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management) ,Ausgabe ,3900 ,Plan
73 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb) ,Ausgabe ,2200 ,Plan
74 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,1 ,Referat I ,Innere Verrechnung ITK-Leistungen (Miete Kopierer/Multifunktionsgeräte) ,Ausgabe ,1500 ,Plan
75 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Beamtenbezüge ,Ausgabe ,147500 ,Plan
76 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,"Zuführungen zur Versorgungsrücklage ""Beamte""" ,Ausgabe ,800 ,Plan
77 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Entgelte für tariflich Beschäftigte ,Ausgabe ,78700 ,Plan
78 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,"Versorgungsbezüge ""Beamte""" ,Ausgabe ,78200 ,Plan
79 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,"Zuführungen zur Versorgungs- rücklage ""Ruhegehaltsempf.""" ,Ausgabe ,2200 ,Plan
80 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,"Beiträge zu Versorgungskassen ""Tariflich Beschäftigte""" ,Ausgabe ,6100 ,Plan
81 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,"Beiträge zur gesetzlichen Sozialversicherung ""Tariflich Beschäftigte""" ,Ausgabe ,14500 ,Plan
82 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Personalnebenausgaben ZVK-Pauschalsteuer ,Ausgabe ,300 ,Plan
83 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Personalnebenausgaben Sachzuwendungen/ Leistungsanreize ,Ausgabe ,45 ,Plan
84 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Verwaltungs- und Zweckausstattung ,Ausgabe ,100 ,Plan
85 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Sonstige Gebrauchsgegenstände ,Ausgabe ,440 ,Plan
86 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte) ,Ausgabe ,1000 ,Plan
87 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Allgemeiner Bürobedarf ,Ausgabe ,500 ,Plan
88 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Bücher und Zeitschriften ,Ausgabe ,1400 ,Plan
89 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Dienstfahrten ,Ausgabe ,400 ,Plan
90 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Sonstige Geschäftsausgaben ,Ausgabe ,1300 ,Plan
91 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme) ,Ausgabe ,4000 ,Plan
92 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management) ,Ausgabe ,2100 ,Plan
93 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb) ,Ausgabe ,1600 ,Plan
94 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,2 ,Referat II ,Innere Verrechnung ITK-Leistungen (Miete Kopierer/Multifunktionsgeräte) ,Ausgabe ,800 ,Plan
95 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Innere Verrechnung Verwaltungskostenbeiträge ,Einnahme ,8900 ,Plan
96 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Beamtenbezüge ,Ausgabe ,75200 ,Plan
97 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,"Zuführungen zur Versorgungsrücklage ""Beamte""" ,Ausgabe ,400 ,Plan
98 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Entgelte für tariflich Beschäftigte ,Ausgabe ,36000 ,Plan
99 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,"Versorgungsbezüge ""Beamte""" ,Ausgabe ,39900 ,Plan
100 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,"Zuführungen zur Versorgungs- rücklage ""Ruhegehaltsempf.""" ,Ausgabe ,1100 ,Plan
101 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,"Beiträge zu Versorgungskassen ""Tariflich Beschäftigte""" ,Ausgabe ,2800 ,Plan
102 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,"Beiträge zur gesetzlichen Sozialversicherung ""Tariflich Beschäftigte""" ,Ausgabe ,7100 ,Plan
103 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Personalnebenausgaben ZVK-Pauschalsteuer ,Ausgabe ,200 ,Plan
104 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Personalnebenausgaben Sachzuwendungen/ Leistungsanreize ,Ausgabe ,45 ,Plan
105 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Verwaltungs- und Zweckausstattung ,Ausgabe ,100 ,Plan
106 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Sonstige Gebrauchsgegenstände ,Ausgabe ,500 ,Plan
107 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte) ,Ausgabe ,100 ,Plan
108 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Allgemeiner Bürobedarf ,Ausgabe ,200 ,Plan
109 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Bücher und Zeitschriften ,Ausgabe ,2100 ,Plan
110 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Sonstige Geschäftsausgaben ,Ausgabe ,100 ,Plan
111 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Innere Verrechnung Bücher und Zeitschriften ,Ausgabe ,400 ,Plan
112 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme) ,Ausgabe ,2100 ,Plan
113 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management) ,Ausgabe ,1400 ,Plan
114 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb) ,Ausgabe ,900 ,Plan
115 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,3 ,Referat III ,Innere Verrechnung ITK-Leistungen (Miete Kopierer/Multifunktionsgeräte) ,Ausgabe ,700 ,Plan
116 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Erstattungen durch kommunale Sonderrechnungen (SAh) ,Einnahme ,24500 ,Plan
117 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Innere Verrechnung Verwaltungskostenbeiträge ,Einnahme ,28700 ,Plan
118 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Beamtenbezüge ,Ausgabe ,110700 ,Plan
119 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,"Zuführungen zur Versorgungsrücklage ""Beamte""" ,Ausgabe ,600 ,Plan
120 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Entgelte für tariflich Beschäftigte ,Ausgabe ,87300 ,Plan
121 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,"Versorgungsbezüge ""Beamte""" ,Ausgabe ,58700 ,Plan
122 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,"Zuführungen zur Versorgungs- rücklage ""Ruhegehaltsempf.""" ,Ausgabe ,1700 ,Plan
123 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,"Beiträge zu Versorgungskassen ""Tariflich Beschäftigte""" ,Ausgabe ,6800 ,Plan
124 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,"Beiträge zur gesetzlichen Sozialversicherung ""Tariflich Beschäftigte""" ,Ausgabe ,17600 ,Plan
125 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Personalnebenausgaben ZVK-Pauschalsteuer ,Ausgabe ,500 ,Plan
126 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Personalnebenausgaben Sachzuwendungen/ Leistungsanreize ,Ausgabe ,95 ,Plan
127 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Verwaltungs- und Zweckausstattung ,Ausgabe ,300 ,Plan
128 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Sonstige Gebrauchsgegenstände ,Ausgabe ,100 ,Plan
129 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Fortbildung und Umschulung ,Ausgabe ,600 ,Plan
130 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte) ,Ausgabe ,800 ,Plan
131 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Allgemeiner Bürobedarf ,Ausgabe ,500 ,Plan
132 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Dienstfahrten ,Ausgabe ,100 ,Plan
133 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Reise- und Fahrtkosten ,Ausgabe ,700 ,Plan
134 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Sonstige Geschäftsausgaben ,Ausgabe ,600 ,Plan
135 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme) ,Ausgabe ,9900 ,Plan
136 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management) ,Ausgabe ,3800 ,Plan
137 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb) ,Ausgabe ,3400 ,Plan
138 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,4 ,Referat IV ,Innere Verrechnung ITK-Leistungen (Miete Kopierer/Multifunktionsgeräte) ,Ausgabe ,1100 ,Plan
139 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Erstattungen durch kommunale Sonderrechnungen (GWF) ,Einnahme ,78100 ,Plan
140 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Innere Verrechnung Verwaltungskostenbeiträge ,Einnahme ,92600 ,Plan
141 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Beamtenbezüge ,Ausgabe ,157700 ,Plan
142 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,"Zuführungen zur Versorgungsrücklage ""Beamte""" ,Ausgabe ,900 ,Plan
143 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,"Versorgungsbezüge ""Beamte""" ,Ausgabe ,83600 ,Plan
144 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,"Zuführungen zur Versorgungs- rücklage ""Ruhegehaltsempf.""" ,Ausgabe ,2400 ,Plan
145 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Personalnebenausgaben Sachzuwendungen/ Leistungsanreize ,Ausgabe ,85 ,Plan
146 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Verwaltungs- und Zweckausstattung ,Ausgabe ,200 ,Plan
147 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Sonstige Gebrauchsgegenstände ,Ausgabe ,200 ,Plan
148 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Haltung von Fahrzeugen ,Ausgabe ,2200 ,Plan
149 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Fortbildung und Umschulung ,Ausgabe ,800 ,Plan
150 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte) ,Ausgabe ,100 ,Plan
151 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Allgemeiner Bürobedarf ,Ausgabe ,200 ,Plan
152 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Bücher und Zeitschriften ,Ausgabe ,800 ,Plan
153 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Postgebühren ,Ausgabe ,100 ,Plan
154 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Dienstfahrten ,Ausgabe ,300 ,Plan
155 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Reise- und Fahrtkosten ,Ausgabe ,200 ,Plan
156 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Sonstige Geschäftsausgaben ,Ausgabe ,100 ,Plan
157 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Innere Verrechnung Bücher und Zeitschriften ,Ausgabe ,300 ,Plan
158 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,5 ,Referat V ,Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme) ,Ausgabe ,3700 ,Plan
