ID,Produktbereich 1,Produkt 1,Bezeichnung 1,Jahr,Betrag,Richtung,HH-Art
45,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Sonstige ordentliche Erträge,2018,610000,Ertrag,Plan
46,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Personalaufwendungen,2018,3275927,Aufwand,Plan
47,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Versorgungsaufwendungen,2018,701000,Aufwand,Plan
48,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Aufwendungen für Sach- und Dienstleistungen,2018,188,Aufwand,Plan
49,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Bilanzielle Abschreibungen,2018,12360,Aufwand,Plan
50,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Sonstige ordentliche Aufwendungen,2018,4621602,Aufwand,Plan
51,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Erträge aus internen Leistungsbeziehungen,2018,478015,Ertrag,Plan
52,Innere Verwaltung,Betriebliches Gesundheitsmanagement,Zuwendungen und allgemeine Umlagen,2018,63500,Ertrag,Plan
53,Innere Verwaltung,Betriebliches Gesundheitsmanagement,Privatrechtliche Leistungsentgelte,2018,119145,Ertrag,Plan
54,Innere Verwaltung,Betriebliches Gesundheitsmanagement,Personalaufwendungen,2018,1024900,Aufwand,Plan
55,Innere Verwaltung,Betriebliches Gesundheitsmanagement,Versorgungsaufwendungen,2018,92900,Aufwand,Plan
56,Innere Verwaltung,Betriebliches Gesundheitsmanagement,Aufwendungen für Sach- und Dienstleistungen,2018,16365,Aufwand,Plan
57,Innere Verwaltung,Betriebliches Gesundheitsmanagement,Bilanzielle Abschreibungen,2018,71360,Aufwand,Plan
58,Innere Verwaltung,Betriebliches Gesundheitsmanagement,Sonstige ordentliche Aufwendungen,2018,696600,Aufwand,Plan
59,Innere Verwaltung,Betriebliches Gesundheitsmanagement,Erträge aus internen Leistungsbeziehungen,2018,38828,Ertrag,Plan
60,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Öffentlich-rechtliche Leistungsentgelte,2018,402520,Ertrag,Plan
61,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Privatrechtliche Leistungsentgelte,2018,30000,Ertrag,Plan
62,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Sonstige ordentliche Erträge,2018,4650000,Ertrag,Plan
63,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Personalaufwendungen,2018,9980492,Aufwand,Plan
64,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Versorgungsaufwendungen,2018,1400000,Aufwand,Plan
65,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Aufwendungen für Sach- und Dienstleistungen,2018,19214,Aufwand,Plan
66,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Bilanzielle Abschreibungen,2018,34450,Aufwand,Plan
67,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Sonstige ordentliche Aufwendungen,2018,1576999,Aufwand,Plan
68,Innere Verwaltung,Zahlungsabwicklung und Vollstreckung,Erträge aus internen Leistungsbeziehungen,2018,610122,Ertrag,Plan
69,Innere Verwaltung,Kommunale Steuerverwaltung,Öffentlich-rechtliche Leistungsentgelte,2018,1000,Ertrag,Plan
70,Innere Verwaltung,Kommunale Steuerverwaltung,Sonstige ordentliche Erträge,2018,6000,Ertrag,Plan
71,Innere Verwaltung,Kommunale Steuerverwaltung,Personalaufwendungen,2018,3310428,Aufwand,Plan
72,Innere Verwaltung,Kommunale Steuerverwaltung,Versorgungsaufwendungen,2018,645800,Aufwand,Plan
73,Innere Verwaltung,Kommunale Steuerverwaltung,Aufwendungen für Sach- und Dienstleistungen,2018,5489,Aufwand,Plan
74,Innere Verwaltung,Kommunale Steuerverwaltung,Bilanzielle Abschreibungen,2018,6400,Aufwand,Plan
75,Innere Verwaltung,Kommunale Steuerverwaltung,Sonstige ordentliche Aufwendungen,2018,242736,Aufwand,Plan
76,Innere Verwaltung,Steuerberatung,Personalaufwendungen,2018,182500,Aufwand,Plan
77,Innere Verwaltung,Steuerberatung,Versorgungsaufwendungen,2018,36200,Aufwand,Plan
78,Innere Verwaltung,Steuerberatung,Sonstige ordentliche Aufwendungen,2018,14512,Aufwand,Plan
79,Innere Verwaltung,Sozialversicherungsservice,Privatrechtliche Leistungsentgelte,2018,100,Ertrag,Plan
80,Innere Verwaltung,Sozialversicherungsservice,Sonstige ordentliche Erträge,2018,45000,Ertrag,Plan
81,Innere Verwaltung,Sozialversicherungsservice,Personalaufwendungen,2018,550773,Aufwand,Plan
82,Innere Verwaltung,Sozialversicherungsservice,Versorgungsaufwendungen,2018,130000,Aufwand,Plan
83,Innere Verwaltung,Sozialversicherungsservice,Bilanzielle Abschreibungen,2018,114,Aufwand,Plan
84,Innere Verwaltung,Sozialversicherungsservice,Sonstige ordentliche Aufwendungen,2018,13364,Aufwand,Plan
85,Innere Verwaltung,Betreuung der Bezirksvertretungen,Privatrechtliche Leistungsentgelte,2018,3000,Ertrag,Plan
86,Innere Verwaltung,Betreuung der Bezirksvertretungen,Personalaufwendungen,2018,2186173,Aufwand,Plan
87,Innere Verwaltung,Betreuung der Bezirksvertretungen,Versorgungsaufwendungen,2018,521400,Aufwand,Plan
88,Innere Verwaltung,Betreuung der Bezirksvertretungen,Aufwendungen für Sach- und Dienstleistungen,2018,483,Aufwand,Plan
89,Innere Verwaltung,Betreuung der Bezirksvertretungen,Bilanzielle Abschreibungen,2018,22735,Aufwand,Plan
90,Innere Verwaltung,Betreuung der Bezirksvertretungen,Sonstige ordentliche Aufwendungen,2018,392103,Aufwand,Plan
91,Innere Verwaltung,Verwaltungs- und Konzernführung,Zuwendungen und allgemeine Umlagen,2018,1000,Ertrag,Plan
92,Innere Verwaltung,Verwaltungs- und Konzernführung,Privatrechtliche Leistungsentgelte,2018,34250,Ertrag,Plan
93,Innere Verwaltung,Verwaltungs- und Konzernführung,Personalaufwendungen,2018,11209835,Aufwand,Plan
94,Innere Verwaltung,Verwaltungs- und Konzernführung,Versorgungsaufwendungen,2018,1459100,Aufwand,Plan
95,Innere Verwaltung,Verwaltungs- und Konzernführung,Aufwendungen für Sach- und Dienstleistungen,2018,434365,Aufwand,Plan
96,Innere Verwaltung,Verwaltungs- und Konzernführung,Bilanzielle Abschreibungen,2018,63796,Aufwand,Plan
97,Innere Verwaltung,Verwaltungs- und Konzernführung,Transferaufwendungen,2018,60000,Aufwand,Plan
98,Innere Verwaltung,Verwaltungs- und Konzernführung,Sonstige ordentliche Aufwendungen,2018,5104803,Aufwand,Plan
99,Innere Verwaltung,Haushalts- und Betriebswirtschaft,Privatrechtliche Leistungsentgelte,2018,2400,Ertrag,Plan
100,Innere Verwaltung,Haushalts- und Betriebswirtschaft,Personalaufwendungen,2018,7393710,Aufwand,Plan
101,Innere Verwaltung,Haushalts- und Betriebswirtschaft,Versorgungsaufwendungen,2018,977200,Aufwand,Plan
102,Innere Verwaltung,Haushalts- und Betriebswirtschaft,Aufwendungen für Sach- und Dienstleistungen,2018,966,Aufwand,Plan
103,Innere Verwaltung,Haushalts- und Betriebswirtschaft,Bilanzielle Abschreibungen,2018,22000,Aufwand,Plan
104,Innere Verwaltung,Haushalts- und Betriebswirtschaft,Sonstige ordentliche Aufwendungen,2018,167686,Aufwand,Plan
105,Innere Verwaltung,Haushalts- und Betriebswirtschaft,Erträge aus internen Leistungsbeziehungen,2018,50100,Ertrag,Plan
106,Innere Verwaltung,Beteiligungs- und Vermögensmanagement,Privatrechtliche Leistungsentgelte,2018,162440,Ertrag,Plan
107,Innere Verwaltung,Beteiligungs- und Vermögensmanagement,Personalaufwendungen,2018,1456836,Aufwand,Plan
108,Innere Verwaltung,Beteiligungs- und Vermögensmanagement,Versorgungsaufwendungen,2018,293600,Aufwand,Plan
109,Innere Verwaltung,Beteiligungs- und Vermögensmanagement,Aufwendungen für Sach- und Dienstleistungen,2018,11306,Aufwand,Plan
110,Innere Verwaltung,Beteiligungs- und Vermögensmanagement,Bilanzielle Abschreibungen,2018,4000,Aufwand,Plan
111,Innere Verwaltung,Beteiligungs- und Vermögensmanagement,Sonstige ordentliche Aufwendungen,2018,49069,Aufwand,Plan
112,Innere Verwaltung,Beteiligungs- und Vermögensmanagement,Erträge aus internen Leistungsbeziehungen,2018,9900,Ertrag,Plan
113,Innere Verwaltung,"CC-Beihilfe, Info-Line",Privatrechtliche Leistungsentgelte,2018,488890,Ertrag,Plan
114,Innere Verwaltung,"CC-Beihilfe, Info-Line",Kostenerstattungen und Kostenumlagen,2018,190000,Ertrag,Plan
115,Innere Verwaltung,"CC-Beihilfe, Info-Line",Sonstige ordentliche Erträge,2018,130000,Ertrag,Plan
116,Innere Verwaltung,"CC-Beihilfe, Info-Line",Personalaufwendungen,2018,3514137,Aufwand,Plan
117,Innere Verwaltung,"CC-Beihilfe, Info-Line",Versorgungsaufwendungen,2018,559100,Aufwand,Plan
118,Innere Verwaltung,"CC-Beihilfe, Info-Line",Aufwendungen für Sach- und Dienstleistungen,2018,117060,Aufwand,Plan
119,Innere Verwaltung,"CC-Beihilfe, Info-Line",Bilanzielle Abschreibungen,2018,9851,Aufwand,Plan
120,Innere Verwaltung,"CC-Beihilfe, Info-Line",Sonstige ordentliche Aufwendungen,2018,191136,Aufwand,Plan
121,Innere Verwaltung,"CC-Beihilfe, Info-Line",Erträge aus internen Leistungsbeziehungen,2018,20666,Ertrag,Plan
122,Innere Verwaltung,"Personalentwicklung, Personalakademie",Privatrechtliche Leistungsentgelte,2018,376000,Ertrag,Plan
123,Innere Verwaltung,"Personalentwicklung, Personalakademie",Personalaufwendungen,2018,2976500,Aufwand,Plan
124,Innere Verwaltung,"Personalentwicklung, Personalakademie",Versorgungsaufwendungen,2018,559600,Aufwand,Plan
125,Innere Verwaltung,"Personalentwicklung, Personalakademie",Aufwendungen für Sach- und Dienstleistungen,2018,28500,Aufwand,Plan
126,Innere Verwaltung,"Personalentwicklung, Personalakademie",Bilanzielle Abschreibungen,2018,20791,Aufwand,Plan
127,Innere Verwaltung,"Personalentwicklung, Personalakademie",Sonstige ordentliche Aufwendungen,2018,1078499,Aufwand,Plan
128,Innere Verwaltung,Informations-u.Kommunikationstechnologie,Zuwendungen und allgemeine Umlagen,2018,5500,Ertrag,Plan
129,Innere Verwaltung,Informations-u.Kommunikationstechnologie,Privatrechtliche Leistungsentgelte,2018,1654430,Ertrag,Plan
130,Innere Verwaltung,Informations-u.Kommunikationstechnologie,Personalaufwendungen,2018,6731300,Aufwand,Plan
131,Innere Verwaltung,Informations-u.Kommunikationstechnologie,Versorgungsaufwendungen,2018,1410100,Aufwand,Plan
132,Innere Verwaltung,Informations-u.Kommunikationstechnologie,Aufwendungen für Sach- und Dienstleistungen,2018,26165536,Aufwand,Plan
133,Innere Verwaltung,Informations-u.Kommunikationstechnologie,Bilanzielle Abschreibungen,2018,461103,Aufwand,Plan
134,Innere Verwaltung,Informations-u.Kommunikationstechnologie,Sonstige ordentliche Aufwendungen,2018,3582486,Aufwand,Plan
135,Innere Verwaltung,Informations-u.Kommunikationstechnologie,Erträge aus internen Leistungsbeziehungen,2018,403469,Ertrag,Plan
136,Innere Verwaltung,Personalservice,Zuwendungen und allgemeine Umlagen,2018,100,Ertrag,Plan
137,Innere Verwaltung,Personalservice,Privatrechtliche Leistungsentgelte,2018,5876822,Ertrag,Plan
138,Innere Verwaltung,Personalservice,Kostenerstattungen und Kostenumlagen,2018,747460,Ertrag,Plan
139,Innere Verwaltung,Personalservice,Sonstige ordentliche Erträge,2018,189500,Ertrag,Plan
140,Innere Verwaltung,Personalservice,Personalaufwendungen,2018,5146300,Aufwand,Plan
141,Innere Verwaltung,Personalservice,Versorgungsaufwendungen,2018,1591700,Aufwand,Plan
142,Innere Verwaltung,Personalservice,Aufwendungen für Sach- und Dienstleistungen,2018,360491,Aufwand,Plan
143,Innere Verwaltung,Personalservice,Bilanzielle Abschreibungen,2018,9075,Aufwand,Plan
144,Innere Verwaltung,Personalservice,Sonstige ordentliche Aufwendungen,2018,5108222,Aufwand,Plan
145,Innere Verwaltung,Personalservice,Erträge aus internen Leistungsbeziehungen,2018,196979,Ertrag,Plan
146,Innere Verwaltung,Personalwirtschaft und Ausbildung,Zuwendungen und allgemeine Umlagen,2018,36000,Ertrag,Plan
147,Innere Verwaltung,Personalwirtschaft und Ausbildung,Privatrechtliche Leistungsentgelte,2018,80000,Ertrag,Plan
148,Innere Verwaltung,Personalwirtschaft und Ausbildung,Kostenerstattungen und Kostenumlagen,2018,147000,Ertrag,Plan
149,Innere Verwaltung,Personalwirtschaft und Ausbildung,Personalaufwendungen,2018,17455800,Aufwand,Plan
150,Innere Verwaltung,Personalwirtschaft und Ausbildung,Versorgungsaufwendungen,2018,1318600,Aufwand,Plan
151,Innere Verwaltung,Personalwirtschaft und Ausbildung,Aufwendungen für Sach- und Dienstleistungen,2018,236020,Aufwand,Plan
152,Innere Verwaltung,Personalwirtschaft und Ausbildung,Bilanzielle Abschreibungen,2018,7990,Aufwand,Plan
153,Innere Verwaltung,Personalwirtschaft und Ausbildung,Sonstige ordentliche Aufwendungen,2018,790318,Aufwand,Plan
154,Innere Verwaltung,Personalwirtschaft und Ausbildung,Erträge aus internen Leistungsbeziehungen,2018,73452,Ertrag,Plan
155,Innere Verwaltung,Fraktionen,Personalaufwendungen,2018,484692,Aufwand,Plan
156,Innere Verwaltung,Fraktionen,Versorgungsaufwendungen,2018,98400,Aufwand,Plan
157,Innere Verwaltung,Fraktionen,Aufwendungen für Sach- und Dienstleistungen,2018,1933,Aufwand,Plan
158,Innere Verwaltung,Fraktionen,Bilanzielle Abschreibungen,2018,19600,Aufwand,Plan
159,Innere Verwaltung,Fraktionen,Sonstige ordentliche Aufwendungen,2018,1838674,Aufwand,Plan
160,Innere Verwaltung,"Organisat.,übergr.Personalang.,Steuerung",Privatrechtliche Leistungsentgelte,2018,237961,Ertrag,Plan
161,Innere Verwaltung,"Organisat.,übergr.Personalang.,Steuerung",Kostenerstattungen und Kostenumlagen,2018,652100,Ertrag,Plan
162,Innere Verwaltung,"Organisat.,übergr.Personalang.,Steuerung",Personalaufwendungen,2018,3475884,Aufwand,Plan
163,Innere Verwaltung,"Organisat.,übergr.Personalang.,Steuerung",Versorgungsaufwendungen,2018,117200,Aufwand,Plan
164,Innere Verwaltung,"Organisat.,übergr.Personalang.,Steuerung",Aufwendungen für Sach- und Dienstleistungen,2018,232408,Aufwand,Plan
165,Innere Verwaltung,"Organisat.,übergr.Personalang.,Steuerung",Bilanzielle Abschreibungen,2018,68534,Aufwand,Plan
166,Innere Verwaltung,"Organisat.,übergr.Personalang.,Steuerung",Sonstige ordentliche Aufwendungen,2018,1937955,Aufwand,Plan
167,Innere Verwaltung,Gebäudereinigung,Privatrechtliche Leistungsentgelte,2018,24650810,Ertrag,Plan
168,Innere Verwaltung,Gebäudereinigung,Personalaufwendungen,2018,6918750,Aufwand,Plan
169,Innere Verwaltung,Gebäudereinigung,Versorgungsaufwendungen,2018,156100,Aufwand,Plan
170,Innere Verwaltung,Gebäudereinigung,Aufwendungen für Sach- und Dienstleistungen,2018,17219820,Aufwand,Plan
171,Innere Verwaltung,Gebäudereinigung,Bilanzielle Abschreibungen,2018,45808,Aufwand,Plan
172,Innere Verwaltung,Gebäudereinigung,Sonstige ordentliche Aufwendungen,2018,351032,Aufwand,Plan
173,Innere Verwaltung,Stadtdruckerei,Privatrechtliche Leistungsentgelte,2018,2606323,Ertrag,Plan
174,Innere Verwaltung,Stadtdruckerei,Personalaufwendungen,2018,991774,Aufwand,Plan
175,Innere Verwaltung,Stadtdruckerei,Versorgungsaufwendungen,2018,15100,Aufwand,Plan
176,Innere Verwaltung,Stadtdruckerei,Aufwendungen für Sach- und Dienstleistungen,2018,946860,Aufwand,Plan
177,Innere Verwaltung,Stadtdruckerei,Bilanzielle Abschreibungen,2018,19217,Aufwand,Plan
178,Innere Verwaltung,Stadtdruckerei,Sonstige ordentliche Aufwendungen,2018,974379,Aufwand,Plan
179,Innere Verwaltung,Postlogistik,Privatrechtliche Leistungsentgelte,2018,6429995,Ertrag,Plan
180,Innere Verwaltung,Postlogistik,Personalaufwendungen,2018,2109761,Aufwand,Plan
181,Innere Verwaltung,Postlogistik,Versorgungsaufwendungen,2018,33700,Aufwand,Plan
182,Innere Verwaltung,Postlogistik,Aufwendungen für Sach- und Dienstleistungen,2018,40630,Aufwand,Plan
183,Innere Verwaltung,Postlogistik,Bilanzielle Abschreibungen,2018,15752,Aufwand,Plan
184,Innere Verwaltung,Postlogistik,Sonstige ordentliche Aufwendungen,2018,3244400,Aufwand,Plan
185,Innere Verwaltung,Mobilitätsmanagement,Zuwendungen und allgemeine Umlagen,2018,38675,Ertrag,Plan
186,Innere Verwaltung,Mobilitätsmanagement,Privatrechtliche Leistungsentgelte,2018,2260995,Ertrag,Plan
187,Innere Verwaltung,Mobilitätsmanagement,Sonstige ordentliche Erträge,2018,25500,Ertrag,Plan
188,Innere Verwaltung,Mobilitätsmanagement,Personalaufwendungen,2018,1912415,Aufwand,Plan
189,Innere Verwaltung,Mobilitätsmanagement,Versorgungsaufwendungen,2018,47600,Aufwand,Plan
190,Innere Verwaltung,Mobilitätsmanagement,Aufwendungen für Sach- und Dienstleistungen,2018,491330,Aufwand,Plan
191,Innere Verwaltung,Mobilitätsmanagement,Bilanzielle Abschreibungen,2018,55818,Aufwand,Plan
192,Innere Verwaltung,Mobilitätsmanagement,Sonstige ordentliche Aufwendungen,2018,278349,Aufwand,Plan
193,Innere Verwaltung,Zentraleinkauf,Privatrechtliche Leistungsentgelte,2018,1747316,Ertrag,Plan
194,Innere Verwaltung,Zentraleinkauf,Personalaufwendungen,2018,249207,Aufwand,Plan
195,Innere Verwaltung,Zentraleinkauf,Versorgungsaufwendungen,2018,39400,Aufwand,Plan
196,Innere Verwaltung,Zentraleinkauf,Aufwendungen für Sach- und Dienstleistungen,2018,57180,Aufwand,Plan
197,Innere Verwaltung,Zentraleinkauf,Bilanzielle Abschreibungen,2018,4431,Aufwand,Plan
198,Innere Verwaltung,Zentraleinkauf,Sonstige ordentliche Aufwendungen,2018,1392694,Aufwand,Plan
199,Sicherheit und Ordnung,Statistik,Privatrechtliche Leistungsentgelte,2018,2100,Ertrag,Plan
200,Sicherheit und Ordnung,Statistik,Personalaufwendungen,2018,1695191,Aufwand,Plan
201,Sicherheit und Ordnung,Statistik,Versorgungsaufwendungen,2018,287300,Aufwand,Plan
202,Sicherheit und Ordnung,Statistik,Aufwendungen für Sach- und Dienstleistungen,2018,1651,Aufwand,Plan
203,Sicherheit und Ordnung,Statistik,Bilanzielle Abschreibungen,2018,6410,Aufwand,Plan
204,Sicherheit und Ordnung,Statistik,Sonstige ordentliche Aufwendungen,2018,155220,Aufwand,Plan
205,Sicherheit und Ordnung,Wahlen,Privatrechtliche Leistungsentgelte,2018,2400,Ertrag,Plan
206,Sicherheit und Ordnung,Wahlen,Personalaufwendungen,2018,1176082,Aufwand,Plan
207,Sicherheit und Ordnung,Wahlen,Versorgungsaufwendungen,2018,124700,Aufwand,Plan
208,Sicherheit und Ordnung,Wahlen,Aufwendungen für Sach- und Dienstleistungen,2018,967,Aufwand,Plan
209,Sicherheit und Ordnung,Wahlen,Bilanzielle Abschreibungen,2018,31243,Aufwand,Plan
210,Sicherheit und Ordnung,Wahlen,Sonstige ordentliche Aufwendungen,2018,76303,Aufwand,Plan
211,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Zuwendungen und allgemeine Umlagen,2018,1600,Ertrag,Plan
212,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Öffentlich-rechtliche Leistungsentgelte,2018,6600000,Ertrag,Plan
213,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Privatrechtliche Leistungsentgelte,2018,1000,Ertrag,Plan
214,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Kostenerstattungen und Kostenumlagen,2018,3000,Ertrag,Plan
215,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Sonstige ordentliche Erträge,2018,530000,Ertrag,Plan
216,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Personalaufwendungen,2018,3982228,Aufwand,Plan
217,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Versorgungsaufwendungen,2018,569000,Aufwand,Plan
218,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Aufwendungen für Sach- und Dienstleistungen,2018,439207,Aufwand,Plan
219,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Bilanzielle Abschreibungen,2018,29500,Aufwand,Plan
220,Sicherheit und Ordnung,"Kfz-, Fahr-, Beförderungsangelegenheiten",Sonstige ordentliche Aufwendungen,2018,526204,Aufwand,Plan
221,Sicherheit und Ordnung,Einwohnerangelegenheiten,Zuwendungen und allgemeine Umlagen,2018,30000,Ertrag,Plan
222,Sicherheit und Ordnung,Einwohnerangelegenheiten,Öffentlich-rechtliche Leistungsentgelte,2018,6060000,Ertrag,Plan
223,Sicherheit und Ordnung,Einwohnerangelegenheiten,Privatrechtliche Leistungsentgelte,2018,64000,Ertrag,Plan
224,Sicherheit und Ordnung,Einwohnerangelegenheiten,Kostenerstattungen und Kostenumlagen,2018,40000,Ertrag,Plan
225,Sicherheit und Ordnung,Einwohnerangelegenheiten,Sonstige ordentliche Erträge,2018,71000,Ertrag,Plan
226,Sicherheit und Ordnung,Einwohnerangelegenheiten,Personalaufwendungen,2018,14959038,Aufwand,Plan
227,Sicherheit und Ordnung,Einwohnerangelegenheiten,Versorgungsaufwendungen,2018,1974300,Aufwand,Plan
228,Sicherheit und Ordnung,Einwohnerangelegenheiten,Aufwendungen für Sach- und Dienstleistungen,2018,3404978,Aufwand,Plan
229,Sicherheit und Ordnung,Einwohnerangelegenheiten,Bilanzielle Abschreibungen,2018,76000,Aufwand,Plan
230,Sicherheit und Ordnung,Einwohnerangelegenheiten,Sonstige ordentliche Aufwendungen,2018,534162,Aufwand,Plan
231,Sicherheit und Ordnung,Personenstandsangelegenheiten,Öffentlich-rechtliche Leistungsentgelte,2018,891621,Ertrag,Plan
232,Sicherheit und Ordnung,Personenstandsangelegenheiten,Privatrechtliche Leistungsentgelte,2018,130000,Ertrag,Plan
233,Sicherheit und Ordnung,Personenstandsangelegenheiten,Personalaufwendungen,2018,2840937,Aufwand,Plan
234,Sicherheit und Ordnung,Personenstandsangelegenheiten,Versorgungsaufwendungen,2018,636200,Aufwand,Plan
235,Sicherheit und Ordnung,Personenstandsangelegenheiten,Aufwendungen für Sach- und Dienstleistungen,2018,26877,Aufwand,Plan
