"ID";"EPL";"AB";"PG";"Betrag";"Berichtsjahr";"Werttyp";"Erlöse_Kosten"
20349;"Rechnungshof";"Rechnungshof";"Rechnungshof";275821,00;"2016";"Ist";"Erlöse"
20350;"Rechnungshof";"Rechnungshof";"Rechnungshof";12229353,00;"2016";"Ist";"Kosten"
20351;"Rechnungshof";"Rechnungshof";"Rechnungshof";226582,00;"2017";"Ist";"Erlöse"
20352;"Rechnungshof";"Rechnungshof";"Rechnungshof";13993590,00;"2017";"Ist";"Kosten"
20353;"Rechnungshof";"Rechnungshof";"Rechnungshof";14880000,00;"2018";"Fortgeschriebener Plan";"Kosten"
20354;"Rechnungshof";"Rechnungshof";"Rechnungshof";15933000,00;"2019";"Plan";"Kosten"
20355;"Rechnungshof";"Rechnungshof";"Rechnungshof";16162400,00;"2020";"Plan";"Kosten"
20356;"Rechnungshof";"Rechnungshof";"Rechnungshof";16388800,00;"2021";"Plan";"Kosten"
20357;"Rechnungshof";"Rechnungshof";"Rechnungshof";16541200,00;"2022";"Plan";"Kosten"
20358;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";0,00;"2016";"Ist";"Kosten"
20359;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";272155,00;"2017";"Ist";"Erlöse"
20360;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";2400463,00;"2017";"Ist";"Kosten"
20361;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";22000,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20362;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";2295000,00;"2018";"Fortgeschriebener Plan";"Kosten"
20363;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";50000,00;"2019";"Plan";"Erlöse"
20364;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";3174000,00;"2019";"Plan";"Kosten"
20365;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";50000,00;"2020";"Plan";"Erlöse"
20366;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";3219000,00;"2020";"Plan";"Kosten"
20367;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";50000,00;"2021";"Plan";"Erlöse"
20368;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";3263000,00;"2021";"Plan";"Kosten"
20369;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";55000,00;"2022";"Plan";"Erlöse"
20370;"Datenschutz und Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";"Hamburgischer Beauftragter für Datenschutz u. Informationsfreiheit";3301000,00;"2022";"Plan";"Kosten"
20371;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";3772709,00;"2016";"Ist";"Erlöse"
20372;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";35524721,00;"2016";"Ist";"Kosten"
20373;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";2940647,00;"2017";"Ist";"Erlöse"
20374;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";38349917,00;"2017";"Ist";"Kosten"
20375;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";519135,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20376;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";32712139,00;"2018";"Fortgeschriebener Plan";"Kosten"
20377;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";724068,00;"2019";"Plan";"Erlöse"
20378;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";34862001,00;"2019";"Plan";"Kosten"
20379;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";719000,00;"2020";"Plan";"Erlöse"
20380;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";33769091,00;"2020";"Plan";"Kosten"
20381;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";724000,00;"2021";"Plan";"Erlöse"
20382;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";33945729,00;"2021";"Plan";"Kosten"
20383;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";719000,00;"2022";"Plan";"Erlöse"
20384;"Senat und Personalamt";"Senatskanzlei";"Senatsangelegenheiten";34180659,00;"2022";"Plan";"Kosten"
20385;"Senat und Personalamt";"Senatskanzlei";"RathausService";279000,00;"2016";"Ist";"Erlöse"
20386;"Senat und Personalamt";"Senatskanzlei";"RathausService";75412,00;"2016";"Ist";"Kosten"
20387;"Senat und Personalamt";"Senatskanzlei";"RathausService";143000,00;"2017";"Ist";"Erlöse"
20388;"Senat und Personalamt";"Senatskanzlei";"RathausService";236619,00;"2017";"Ist";"Kosten"
20389;"Senat und Personalamt";"Senatskanzlei";"RathausService";143000,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20390;"Senat und Personalamt";"Senatskanzlei";"RathausService";188412,00;"2018";"Fortgeschriebener Plan";"Kosten"
20391;"Senat und Personalamt";"Senatskanzlei";"RathausService";143000,00;"2019";"Plan";"Erlöse"
20392;"Senat und Personalamt";"Senatskanzlei";"RathausService";229412,00;"2019";"Plan";"Kosten"
20393;"Senat und Personalamt";"Senatskanzlei";"RathausService";143000,00;"2020";"Plan";"Erlöse"
20394;"Senat und Personalamt";"Senatskanzlei";"RathausService";232412,00;"2020";"Plan";"Kosten"
20395;"Senat und Personalamt";"Senatskanzlei";"RathausService";143000,00;"2021";"Plan";"Erlöse"
20396;"Senat und Personalamt";"Senatskanzlei";"RathausService";236412,00;"2021";"Plan";"Kosten"
20397;"Senat und Personalamt";"Senatskanzlei";"RathausService";143000,00;"2022";"Plan";"Erlöse"
20398;"Senat und Personalamt";"Senatskanzlei";"RathausService";239412,00;"2022";"Plan";"Kosten"
20399;"Senat und Personalamt";"Senatskanzlei";"Spiele für Deutschland";2077180,00;"2016";"Ist";"Kosten"
20400;"Senat und Personalamt";"Senatskanzlei";"Spiele für Deutschland";0,00;"2017";"Ist";"Kosten"
20401;"Senat und Personalamt";"Senatskanzlei";"IT und Digitalisierung";185000,00;"2019";"Plan";"Erlöse"
20402;"Senat und Personalamt";"Senatskanzlei";"IT und Digitalisierung";12325874,00;"2019";"Plan";"Kosten"
20403;"Senat und Personalamt";"Senatskanzlei";"IT und Digitalisierung";185000,00;"2020";"Plan";"Erlöse"
20404;"Senat und Personalamt";"Senatskanzlei";"IT und Digitalisierung";12349873,00;"2020";"Plan";"Kosten"
20405;"Senat und Personalamt";"Senatskanzlei";"IT und Digitalisierung";185000,00;"2021";"Plan";"Erlöse"
20406;"Senat und Personalamt";"Senatskanzlei";"IT und Digitalisierung";12361476,00;"2021";"Plan";"Kosten"
20407;"Senat und Personalamt";"Senatskanzlei";"IT und Digitalisierung";185000,00;"2022";"Plan";"Erlöse"
20408;"Senat und Personalamt";"Senatskanzlei";"IT und Digitalisierung";12363192,00;"2022";"Plan";"Kosten"
20409;"Senat und Personalamt";"Senatskanzlei";"Zentrale Programme SK";3861000,00;"2019";"Plan";"Erlöse"
20410;"Senat und Personalamt";"Senatskanzlei";"Zentrale Programme SK";3861000,00;"2019";"Plan";"Kosten"
20411;"Senat und Personalamt";"Senatskanzlei";"Zentrale Programme SK";4143000,00;"2020";"Plan";"Erlöse"
20412;"Senat und Personalamt";"Senatskanzlei";"Zentrale Programme SK";4143000,00;"2020";"Plan";"Kosten"
20413;"Senat und Personalamt";"Senatskanzlei";"Zentrale Programme SK";4321000,00;"2021";"Plan";"Erlöse"
20414;"Senat und Personalamt";"Senatskanzlei";"Zentrale Programme SK";4321000,00;"2021";"Plan";"Kosten"
20415;"Senat und Personalamt";"Senatskanzlei";"Zentrale Programme SK";4275000,00;"2022";"Plan";"Erlöse"
20416;"Senat und Personalamt";"Senatskanzlei";"Zentrale Programme SK";4275000,00;"2022";"Plan";"Kosten"
20417;"Senat und Personalamt";"Personalamt";"Personalamt";2151339,00;"2016";"Ist";"Erlöse"
20418;"Senat und Personalamt";"Personalamt";"Personalamt";19925023,00;"2016";"Ist";"Kosten"
20419;"Senat und Personalamt";"Personalamt";"Personalamt";1743555,00;"2017";"Ist";"Erlöse"
20420;"Senat und Personalamt";"Personalamt";"Personalamt";23871201,00;"2017";"Ist";"Kosten"
20421;"Senat und Personalamt";"Personalamt";"Personalamt";965710,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20422;"Senat und Personalamt";"Personalamt";"Personalamt";18600051,00;"2018";"Fortgeschriebener Plan";"Kosten"
20423;"Senat und Personalamt";"Personalamt";"Personalamt";1229705,00;"2019";"Plan";"Erlöse"
20424;"Senat und Personalamt";"Personalamt";"Personalamt";20088760,00;"2019";"Plan";"Kosten"
20425;"Senat und Personalamt";"Personalamt";"Personalamt";1227371,00;"2020";"Plan";"Erlöse"
20426;"Senat und Personalamt";"Personalamt";"Personalamt";20296776,00;"2020";"Plan";"Kosten"
20427;"Senat und Personalamt";"Personalamt";"Personalamt";1226374,00;"2021";"Plan";"Erlöse"
20428;"Senat und Personalamt";"Personalamt";"Personalamt";20523350,00;"2021";"Plan";"Kosten"
20429;"Senat und Personalamt";"Personalamt";"Personalamt";1158268,00;"2022";"Plan";"Erlöse"
20430;"Senat und Personalamt";"Personalamt";"Personalamt";20742426,00;"2022";"Plan";"Kosten"
20431;"Senat und Personalamt";"Personalamt";"Zentrum für Personaldienste";1719472,00;"2016";"Ist";"Erlöse"
20432;"Senat und Personalamt";"Personalamt";"Zentrum für Personaldienste";25151664,00;"2016";"Ist";"Kosten"
20433;"Senat und Personalamt";"Personalamt";"Zentrum für Personaldienste";31279867,00;"2017";"Ist";"Kosten"
20434;"Senat und Personalamt";"Personalamt";"Zentrum für Personaldienste";23336337,00;"2018";"Fortgeschriebener Plan";"Kosten"
20435;"Senat und Personalamt";"Personalamt";"Zentrum für Personaldienste";20875001,00;"2019";"Plan";"Kosten"
20436;"Senat und Personalamt";"Personalamt";"Zentrum für Personaldienste";20898629,00;"2020";"Plan";"Kosten"
20437;"Senat und Personalamt";"Personalamt";"Zentrum für Personaldienste";21363629,00;"2021";"Plan";"Kosten"
20438;"Senat und Personalamt";"Personalamt";"Zentrum für Personaldienste";21285376,00;"2022";"Plan";"Kosten"
20439;"Senat und Personalamt";"Personalamt";"Zentrum für Aus- und Fortbildung / Arbeitsmedizinscher Dienst";13936843,00;"2016";"Ist";"Kosten"
20440;"Senat und Personalamt";"Personalamt";"Zentrum für Aus- und Fortbildung / Arbeitsmedizinscher Dienst";16450638,00;"2017";"Ist";"Kosten"
20441;"Senat und Personalamt";"Personalamt";"Zentrum für Aus- und Fortbildung / Arbeitsmedizinscher Dienst";17287305,00;"2018";"Fortgeschriebener Plan";"Kosten"
20442;"Senat und Personalamt";"Personalamt";"Zentrum für Aus- und Fortbildung / Arbeitsmedizinscher Dienst";20549132,00;"2019";"Plan";"Kosten"
20443;"Senat und Personalamt";"Personalamt";"Zentrum für Aus- und Fortbildung / Arbeitsmedizinscher Dienst";20764371,00;"2020";"Plan";"Kosten"
20444;"Senat und Personalamt";"Personalamt";"Zentrum für Aus- und Fortbildung / Arbeitsmedizinscher Dienst";21514611,00;"2021";"Plan";"Kosten"
20445;"Senat und Personalamt";"Personalamt";"Zentrum für Aus- und Fortbildung / Arbeitsmedizinscher Dienst";21711016,00;"2022";"Plan";"Kosten"
20446;"Senat und Personalamt";"Personalamt";"Zentrale Programme";10404000,00;"2018";"Fortgeschriebener Plan";"Kosten"
20447;"Senat und Personalamt";"Personalamt";"Zentrale Programme";9091000,00;"2019";"Plan";"Kosten"
20448;"Senat und Personalamt";"Personalamt";"Zentrale Programme";8864000,00;"2020";"Plan";"Kosten"
20449;"Senat und Personalamt";"Personalamt";"Zentrale Programme";8475000,00;"2021";"Plan";"Kosten"
20450;"Senat und Personalamt";"Personalamt";"Zentrale Programme";8299000,00;"2022";"Plan";"Kosten"
20451;"Senat und Personalamt";"Steuerung und Service (Senatsämter)";"Zentraler Ansatz Senatsämter";-1229000,00;"2018";"Fortgeschriebener Plan";"Kosten"
20452;"Senat und Personalamt";"Steuerung und Service (Senatsämter)";"Zentraler Ansatz Senatsämter";3153700,00;"2019";"Plan";"Kosten"
20453;"Senat und Personalamt";"Steuerung und Service (Senatsämter)";"Zentraler Ansatz Senatsämter";2510111,00;"2020";"Plan";"Kosten"
20454;"Senat und Personalamt";"Steuerung und Service (Senatsämter)";"Zentraler Ansatz Senatsämter";2270094,00;"2021";"Plan";"Kosten"
20455;"Senat und Personalamt";"Steuerung und Service (Senatsämter)";"Zentraler Ansatz Senatsämter";2441094,00;"2022";"Plan";"Kosten"
20456;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";1448517,00;"2016";"Ist";"Erlöse"
20457;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";25029545,00;"2016";"Ist";"Kosten"
20458;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";1210947,00;"2017";"Ist";"Erlöse"
20459;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";28072860,00;"2017";"Ist";"Kosten"
20460;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";145390,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20461;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";24553532,00;"2018";"Fortgeschriebener Plan";"Kosten"
20462;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";127390,00;"2019";"Plan";"Erlöse"
20463;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";29341759,00;"2019";"Plan";"Kosten"
20464;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";127390,00;"2020";"Plan";"Erlöse"
20465;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";28721498,00;"2020";"Plan";"Kosten"
20466;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";127390,00;"2021";"Plan";"Erlöse"
20467;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";28878051,00;"2021";"Plan";"Kosten"
20468;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";127390,00;"2022";"Plan";"Erlöse"
20469;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Steuerung und Service (D1)";29017684,00;"2022";"Plan";"Kosten"
20470;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksamt";-15266,00;"2018";"Fortgeschriebener Plan";"Kosten"
20471;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksamt";447236,00;"2019";"Plan";"Kosten"
20472;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksamt";-114085,00;"2020";"Plan";"Kosten"
20473;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksamt";-1854373,00;"2021";"Plan";"Kosten"
20474;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksamt";-2043868,00;"2022";"Plan";"Kosten"
20475;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksversammlung";0,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20476;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksversammlung";110400,00;"2018";"Fortgeschriebener Plan";"Kosten"
20477;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksversammlung";91850,00;"2019";"Plan";"Kosten"
20478;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksversammlung";101700,00;"2020";"Plan";"Kosten"
20479;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksversammlung";111550,00;"2021";"Plan";"Kosten"
20480;"Bezirksamt Hamburg-Mitte";"Steuerung und Service (BA Mitte)";"Zentraler Ansatz Bezirksversammlung";121400,00;"2022";"Plan";"Kosten"
20481;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";4283829,00;"2016";"Ist";"Erlöse"
20482;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";8114299,00;"2016";"Ist";"Kosten"
20483;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";5523209,00;"2017";"Ist";"Erlöse"
20484;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";10762071,00;"2017";"Ist";"Kosten"
20485;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";2821000,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20486;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";8130568,00;"2018";"Fortgeschriebener Plan";"Kosten"
20487;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";2839000,00;"2019";"Plan";"Erlöse"
20488;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";8017228,00;"2019";"Plan";"Kosten"
20489;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";2839000,00;"2020";"Plan";"Erlöse"
20490;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";8109074,00;"2020";"Plan";"Kosten"
20491;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";2839000,00;"2021";"Plan";"Erlöse"
20492;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";8043624,00;"2021";"Plan";"Kosten"
20493;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";2839000,00;"2022";"Plan";"Erlöse"
20494;"Bezirksamt Hamburg-Mitte";"Bürgerservice (BA Mitte)";"Einwohner-/Personenst.wesen (EA, ST)";8131532,00;"2022";"Plan";"Kosten"
20495;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";18928719,00;"2016";"Ist";"Erlöse"
20496;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";37578657,00;"2016";"Ist";"Kosten"
20497;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";18221508,00;"2017";"Ist";"Erlöse"
20498;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";39155239,00;"2017";"Ist";"Kosten"
20499;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";21093000,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20500;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";12127554,00;"2018";"Fortgeschriebener Plan";"Kosten"
20501;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";21068000,00;"2019";"Plan";"Erlöse"
20502;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";11098303,00;"2019";"Plan";"Kosten"
20503;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";21068000,00;"2020";"Plan";"Erlöse"
20504;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";11171430,00;"2020";"Plan";"Kosten"
20505;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";21068000,00;"2021";"Plan";"Erlöse"
20506;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";11401933,00;"2021";"Plan";"Kosten"
20507;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";21068000,00;"2022";"Plan";"Erlöse"
20508;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Soziale Hilfen (GS)";11577570,00;"2022";"Plan";"Kosten"
20509;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Sozialraummanangement (SR)";1595367,00;"2016";"Ist";"Erlöse"
20510;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Sozialraummanangement (SR)";10961040,00;"2016";"Ist";"Kosten"
20511;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Sozialraummanangement (SR)";1530615,00;"2017";"Ist";"Erlöse"
20512;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Sozialraummanangement (SR)";12817142,00;"2017";"Ist";"Kosten"
20513;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Sozialraummanangement (SR)";103564,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20514;"Bezirksamt Hamburg-Mitte";"Soziales, Jugend und Gesundheit (BA Mitte)";"Sozialraummanangement (SR)";6292342,00;"2018";"Fortgeschriebener Plan";"Kosten"
