Produktbereich,Produktgruppe,Produktbereichsname,Produktgruppenbezeichnung,Jahr,Richtung,Betrag,Betrag-Typ
08,0801,Sportförderung,"Sportentwicklung, Sportanlagen und -stätten",2007,Aufwendungen,4930467.82,Ergebnis
08,0802,Sportförderung,Bäder,2007,Erträge,922248.63,Ergebnis
08,0802,Sportförderung,Bäder,2007,Aufwendungen,3057557.9,Ergebnis
09,0901,Räumliche Planung und Entwicklung/Geoinformationen,"Stadt- und Regionalentwicklung, Stadtplanung",2007,Erträge,62952.88,Ergebnis
09,0901,Räumliche Planung und Entwicklung/Geoinformationen,"Stadt- und Regionalentwicklung, Stadtplanung",2007,Aufwendungen,3283415.88,Ergebnis
09,0902,Räumliche Planung und Entwicklung/Geoinformationen,"Vermessung, Kataster und Geoinformation",2007,Erträge,0,Ergebnis
09,0902,Räumliche Planung und Entwicklung/Geoinformationen,"Vermessung, Kataster und Geoinformation",2007,Aufwendungen,0,Ergebnis
10,1001,Bauen und Wohnen,Bauaufsicht und baurechtliche Beratung,2007,Erträge,0,Ergebnis
10,1001,Bauen und Wohnen,Bauaufsicht und baurechtliche Beratung,2007,Aufwendungen,0,Ergebnis
10,1002,Bauen und Wohnen,Denkmalschutz und Denkmalpflege,2007,Erträge,869784.14,Ergebnis
10,1002,Bauen und Wohnen,Denkmalschutz und Denkmalpflege,2007,Aufwendungen,1154534.6,Ergebnis
10,1003,Bauen und Wohnen,Wohnen,2007,Erträge,0,Ergebnis
10,1003,Bauen und Wohnen,Wohnen,2007,Aufwendungen,0,Ergebnis
11,1101,Ver- und Entsorgung,Abwasserbeseitigung,2007,Erträge,0,Ergebnis
11,1101,Ver- und Entsorgung,Abwasserbeseitigung,2007,Aufwendungen,0,Ergebnis
11,1102,Ver- und Entsorgung,Abfallwirtschaft (AWM),2007,Erträge,0,Ergebnis
11,1102,Ver- und Entsorgung,Abfallwirtschaft (AWM),2007,Aufwendungen,0,Ergebnis
12,1201,"Verkehrsflächen und -anlagen, ÖPNV",Bereitstellung von Verkehrsflächen und -anlagen,2007,Erträge,0,Ergebnis
12,1201,"Verkehrsflächen und -anlagen, ÖPNV",Bereitstellung von Verkehrsflächen und -anlagen,2007,Aufwendungen,0,Ergebnis
12,1202,"Verkehrsflächen und -anlagen, ÖPNV",Verkehrsplanung,2007,Erträge,2089415.46,Ergebnis
12,1202,"Verkehrsflächen und -anlagen, ÖPNV",Verkehrsplanung,2007,Aufwendungen,3188379.27,Ergebnis
13,1301,Natur- und Landschaftspflege,Grün- und Freiflächen,2007,Erträge,3072520.57,Ergebnis
13,1301,Natur- und Landschaftspflege,Grün- und Freiflächen,2007,Aufwendungen,11751884.58,Ergebnis
13,1302,Natur- und Landschaftspflege,Friedhöfe,2007,Erträge,1444765.37,Ergebnis
13,1302,Natur- und Landschaftspflege,Friedhöfe,2007,Aufwendungen,1507727.54,Ergebnis
13,1303,Natur- und Landschaftspflege,"Natur, Landschaft, Erholung, Wasserschutz",2007,Erträge,156381.3,Ergebnis
13,1303,Natur- und Landschaftspflege,"Natur, Landschaft, Erholung, Wasserschutz",2007,Aufwendungen,2141237.58,Ergebnis
13,1304,Natur- und Landschaftspflege,Fließende Gewässer,2007,Erträge,0,Ergebnis
13,1304,Natur- und Landschaftspflege,Fließende Gewässer,2007,Aufwendungen,0,Ergebnis
13,1305,Natur- und Landschaftspflege,Wald und Forstwirtschaft,2007,Erträge,305377.57,Ergebnis
13,1305,Natur- und Landschaftspflege,Wald und Forstwirtschaft,2007,Aufwendungen,349626.63,Ergebnis
14,1401,Umweltschutz,"Übergreifender Umweltschutz, Klima, Lärm, Boden, Abfall",2007,Erträge,,Ergebnis
14,1401,Umweltschutz,"Übergreifender Umweltschutz, Klima, Lärm, Boden, Abfall",2007,Aufwendungen,1612973.27,Ergebnis
15,1501,Wirtschaft und Tourismus,Anteile an Unternehmen,2007,Erträge,0,Ergebnis
15,1501,Wirtschaft und Tourismus,Anteile an Unternehmen,2007,Aufwendungen,0,Ergebnis
15,1502,Wirtschaft und Tourismus,Stadtmarketing (MM),2007,Erträge,0,Ergebnis
15,1502,Wirtschaft und Tourismus,Stadtmarketing (MM),2007,Aufwendungen,0,Ergebnis
15,1503,Wirtschaft und Tourismus,Stadthalle Hiltrup,2007,Erträge,0,Ergebnis
15,1503,Wirtschaft und Tourismus,Stadthalle Hiltrup,2007,Aufwendungen,0,Ergebnis
16,1601,Allgemeine Finanzwirtschaft,Allgemeine Finanzwirtschaft,2007,Erträge,0,Ergebnis
16,1601,Allgemeine Finanzwirtschaft,Allgemeine Finanzwirtschaft,2007,Aufwendungen,0,Ergebnis
17,1701,Stiftungen,Rechtlich unselbständige Stiftungen,2007,Erträge,0,Ergebnis
17,1701,Stiftungen,Rechtlich unselbständige Stiftungen,2007,Aufwendungen,0,Ergebnis
01,0101,Innere Verwaltung,Bezirksvertretungen (frei verfügbare Mittel),2008,Aufwendungen,264067.28,Ergebnis
01,0102,Innere Verwaltung,"Geschäftsführung für politische Gremien, Städtepartnerschaften",2008,Erträge,69028.07,Ergebnis
01,0102,Innere Verwaltung,"Geschäftsführung für politische Gremien, Städtepartnerschaften",2008,Aufwendungen,3068166.93,Ergebnis
01,0103,Innere Verwaltung,"OB, BM und Verwaltungsführung",2008,Erträge,62140,Ergebnis
01,0103,Innere Verwaltung,"OB, BM und Verwaltungsführung",2008,Aufwendungen,3223786.05,Ergebnis
01,0104,Innere Verwaltung,Gleichstellung von Frau und Mann,2008,Erträge,13895.76,Ergebnis
01,0104,Innere Verwaltung,Gleichstellung von Frau und Mann,2008,Aufwendungen,507210.06,Ergebnis
01,0105,Innere Verwaltung,Personal- und Schwerbehindertenvertretung,2008,Erträge,69117,Ergebnis
01,0105,Innere Verwaltung,Personal- und Schwerbehindertenvertretung,2008,Aufwendungen,668911.33,Ergebnis
01,0106,Innere Verwaltung,Wirtschaftlichkeitsprüfung und Revision,2008,Erträge,44179,Ergebnis
01,0106,Innere Verwaltung,Wirtschaftlichkeitsprüfung und Revision,2008,Aufwendungen,962712.19,Ergebnis
01,0107,Innere Verwaltung,Public Relations,2008,Erträge,88540.45,Ergebnis
01,0107,Innere Verwaltung,Public Relations,2008,Aufwendungen,1200108.19,Ergebnis
01,0108,Innere Verwaltung,Personal- und Organisationsmanagement,2008,Erträge,1110760.48,Ergebnis
01,0108,Innere Verwaltung,Personal- und Organisationsmanagement,2008,Aufwendungen,5462275.78,Ergebnis
01,0109,Innere Verwaltung,Finanz- und Beteiligungsmanagement,2008,Erträge,4763714.03,Ergebnis
01,0109,Innere Verwaltung,Finanz- und Beteiligungsmanagement,2008,Aufwendungen,8823771.64,Ergebnis
01,0110,Innere Verwaltung,Recht,2008,Erträge,507177.1,Ergebnis
01,0110,Innere Verwaltung,Recht,2008,Aufwendungen,1702100.26,Ergebnis
01,0111,Innere Verwaltung,Immobilienmanagement,2008,Erträge,25766197.91,Ergebnis
01,0111,Innere Verwaltung,Immobilienmanagement,2008,Aufwendungen,15502839.85,Ergebnis
01,0112,Innere Verwaltung,Gebäudemanagement,2008,Erträge,9972090.73,Ergebnis
01,0112,Innere Verwaltung,Gebäudemanagement,2008,Aufwendungen,58164196.45,Ergebnis
01,0113,Innere Verwaltung,Zentrale Dienste,2008,Erträge,2002797.57,Ergebnis
01,0113,Innere Verwaltung,Zentrale Dienste,2008,Aufwendungen,3647538.71,Ergebnis
01,0114,Innere Verwaltung,Stiftungsmanagement,2008,Erträge,358697.48,Ergebnis
01,0114,Innere Verwaltung,Stiftungsmanagement,2008,Aufwendungen,481380.48,Ergebnis
01,0115,Innere Verwaltung,IT-Management (citeq),2008,Erträge,0,Ergebnis
01,0115,Innere Verwaltung,IT-Management (citeq),2008,Aufwendungen,0,Ergebnis
01,0116,Innere Verwaltung,Migrations- und Integrationsmanagement,2008,Erträge,0,Ergebnis
01,0116,Innere Verwaltung,Migrations- und Integrationsmanagement,2008,Aufwendungen,0,Ergebnis
02,0201,Sicherheit und Ordnung,Ordnungsrechtliche Angelegenheiten,2008,Erträge,563819.13,Ergebnis
02,0201,Sicherheit und Ordnung,Ordnungsrechtliche Angelegenheiten,2008,Aufwendungen,1977084.13,Ergebnis
02,0202,Sicherheit und Ordnung,Gewerberechtliche Angelegenheiten,2008,Erträge,1504082.51,Ergebnis
02,0202,Sicherheit und Ordnung,Gewerberechtliche Angelegenheiten,2008,Aufwendungen,1392352.41,Ergebnis
02,0203,Sicherheit und Ordnung,Straßenverkehrsrechtliche Angelegenheiten,2008,Erträge,8329307.98,Ergebnis
02,0203,Sicherheit und Ordnung,Straßenverkehrsrechtliche Angelegenheiten,2008,Aufwendungen,6152009.4,Ergebnis
02,0204,Sicherheit und Ordnung,Bürgerangelegenheiten,2008,Erträge,1759764.26,Ergebnis
02,0204,Sicherheit und Ordnung,Bürgerangelegenheiten,2008,Aufwendungen,5286849.56,Ergebnis
02,0205,Sicherheit und Ordnung,Standesamtsangelegenheiten,2008,Erträge,426984.1,Ergebnis
02,0205,Sicherheit und Ordnung,Standesamtsangelegenheiten,2008,Aufwendungen,1096167.9,Ergebnis
02,0206,Sicherheit und Ordnung,Ausländerangelegenheiten,2008,Erträge,268140.06,Ergebnis
02,0206,Sicherheit und Ordnung,Ausländerangelegenheiten,2008,Aufwendungen,1480882.45,Ergebnis
02,0207,Sicherheit und Ordnung,Statistik,2008,Erträge,1400,Ergebnis
02,0207,Sicherheit und Ordnung,Statistik,2008,Aufwendungen,586304.05,Ergebnis
02,0208,Sicherheit und Ordnung,Wahlen,2008,Erträge,68264.61,Ergebnis
02,0208,Sicherheit und Ordnung,Wahlen,2008,Aufwendungen,462504.02,Ergebnis
02,0209,Sicherheit und Ordnung,Brandschutz und feuerwehrtechnische Hilfeleistung,2008,Erträge,891690.33,Ergebnis
02,0209,Sicherheit und Ordnung,Brandschutz und feuerwehrtechnische Hilfeleistung,2008,Aufwendungen,16726796.04,Ergebnis
02,0210,Sicherheit und Ordnung,Rettungsdienst,2008,Erträge,8538944.71,Ergebnis
02,0210,Sicherheit und Ordnung,Rettungsdienst,2008,Aufwendungen,7303234.66,Ergebnis
02,0211,Sicherheit und Ordnung,Veterinär- und Lebensmittelangelegenheiten,2008,Erträge,92664.76,Ergebnis
02,0211,Sicherheit und Ordnung,Veterinär- und Lebensmittelangelegenheiten,2008,Aufwendungen,1854889.35,Ergebnis
03,0301,Schulträgeraufgaben,Leistungen für Schulen,2008,Erträge,4792921.26,Ergebnis
03,0301,Schulträgeraufgaben,Leistungen für Schulen,2008,Aufwendungen,27919138.2,Ergebnis
03,0302,Schulträgeraufgaben,Zentrale Leistungen für Schüler/-innen und am Schulleben Beteiligte,2008,Erträge,184749.63,Ergebnis
03,0302,Schulträgeraufgaben,Zentrale Leistungen für Schüler/-innen und am Schulleben Beteiligte,2008,Aufwendungen,10037770.87,Ergebnis
04,0401,Kultur und Wissenschaft,Kulturmanagement / Kulturförderung,2008,Erträge,353883.78,Ergebnis
04,0401,Kultur und Wissenschaft,Kulturmanagement / Kulturförderung,2008,Aufwendungen,3387111.08,Ergebnis
04,0402,Kultur und Wissenschaft,Volkshochschule,2008,Erträge,2683653.45,Ergebnis
04,0402,Kultur und Wissenschaft,Volkshochschule,2008,Aufwendungen,3669266.35,Ergebnis
04,0403,Kultur und Wissenschaft,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,2008,Erträge,1827847.9,Ergebnis
04,0403,Kultur und Wissenschaft,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,2008,Aufwendungen,4101730.27,Ergebnis
04,0404,Kultur und Wissenschaft,Stadtbücherei und Förderung von Büchereien freier Träger,2008,Erträge,999697,Ergebnis
04,0404,Kultur und Wissenschaft,Stadtbücherei und Förderung von Büchereien freier Träger,2008,Aufwendungen,5053039.29,Ergebnis
04,0405,Kultur und Wissenschaft,Stadtmuseum,2008,Erträge,405804.86,Ergebnis
04,0405,Kultur und Wissenschaft,Stadtmuseum,2008,Aufwendungen,1616710.5,Ergebnis
04,0406,Kultur und Wissenschaft,Stadtarchiv,2008,Erträge,14454.76,Ergebnis
04,0406,Kultur und Wissenschaft,Stadtarchiv,2008,Aufwendungen,677833.78,Ergebnis
04,0407,Kultur und Wissenschaft,Städtische Bühnen,2008,Erträge,1629869.17,Ergebnis
04,0407,Kultur und Wissenschaft,Städtische Bühnen,2008,Aufwendungen,19841186.14,Ergebnis
04,0408,Kultur und Wissenschaft,Geschichtsort Villa ten Hompel,2008,Erträge,46339.53,Ergebnis
04,0408,Kultur und Wissenschaft,Geschichtsort Villa ten Hompel,2008,Aufwendungen,422266.21,Ergebnis
05,0501,Soziale Leistungen,Leistungen der Grundsicherung nach dem SGB II,2008,Erträge,18708114.48,Ergebnis
05,0501,Soziale Leistungen,Leistungen der Grundsicherung nach dem SGB II,2008,Aufwendungen,51784458.75,Ergebnis
05,0502,Soziale Leistungen,Sicherung des Lebensunterhalts (ohne SGB II),2008,Erträge,4281921.59,Ergebnis
05,0502,Soziale Leistungen,Sicherung des Lebensunterhalts (ohne SGB II),2008,Aufwendungen,26739942.17,Ergebnis
05,0503,Soziale Leistungen,Sicherung besonderer sozialer Bedarfe,2008,Erträge,4207227.97,Ergebnis
05,0503,Soziale Leistungen,Sicherung besonderer sozialer Bedarfe,2008,Aufwendungen,31471604.42,Ergebnis
05,0504,Soziale Leistungen,Wohngeld,2008,Erträge,2871.3,Ergebnis
05,0504,Soziale Leistungen,Wohngeld,2008,Aufwendungen,820039.87,Ergebnis
05,0505,Soziale Leistungen,Lastenausgleich,2008,Erträge,827472.01,Ergebnis
05,0505,Soziale Leistungen,Lastenausgleich,2008,Aufwendungen,747882.14,Ergebnis
06,0601,"Kunder-, Jugend und Familienhilfe",Förderung von Kindern in Tagesbetreuung,2008,Erträge,26999985.11,Ergebnis
06,0601,"Kunder-, Jugend und Familienhilfe",Förderung von Kindern in Tagesbetreuung,2008,Aufwendungen,59163089.19,Ergebnis
06,0602,"Kunder-, Jugend und Familienhilfe",Kinder- und Jugendarbeit,2008,Erträge,1478503.47,Ergebnis
06,0602,"Kunder-, Jugend und Familienhilfe",Kinder- und Jugendarbeit,2008,Aufwendungen,6853260.96,Ergebnis
06,0603,"Kunder-, Jugend und Familienhilfe",Förd.von benachteiligten jungen Menschen,2008,Erträge,1066881.94,Ergebnis
06,0603,"Kunder-, Jugend und Familienhilfe",Förd.von benachteiligten jungen Menschen,2008,Aufwendungen,4251811.99,Ergebnis
06,0604,"Kunder-, Jugend und Familienhilfe",Familienförderung,2008,Erträge,134203.14,Ergebnis
06,0604,"Kunder-, Jugend und Familienhilfe",Familienförderung,2008,Aufwendungen,2391267.34,Ergebnis
06,0605,"Kunder-, Jugend und Familienhilfe",Erzieherische und wirtschaftliche Hilfen für Familien,2008,Erträge,5550628.21,Ergebnis
06,0605,"Kunder-, Jugend und Familienhilfe",Erzieherische und wirtschaftliche Hilfen für Familien,2008,Aufwendungen,37851999.89,Ergebnis
07,0701,Gesundheitsdienste,Gesundheitsdienste,2008,Erträge,1096659.21,Ergebnis
07,0701,Gesundheitsdienste,Gesundheitsdienste,2008,Aufwendungen,9072828.09,Ergebnis
08,0801,Sportförderung,"Sportentwicklung, Sportanlagen und -stätten",2008,Erträge,545793.07,Ergebnis
08,0801,Sportförderung,"Sportentwicklung, Sportanlagen und -stätten",2008,Aufwendungen,7183626.39,Ergebnis
08,0802,Sportförderung,Bäder,2008,Erträge,926677.92,Ergebnis
08,0802,Sportförderung,Bäder,2008,Aufwendungen,3150974.87,Ergebnis
09,0901,Räumliche Planung und Entwicklung/Geoinformationen,"Stadt- und Regionalentwicklung, Stadtplanung",2008,Erträge,122321.51,Ergebnis
09,0901,Räumliche Planung und Entwicklung/Geoinformationen,"Stadt- und Regionalentwicklung, Stadtplanung",2008,Aufwendungen,4032342.93,Ergebnis
09,0902,Räumliche Planung und Entwicklung/Geoinformationen,"Vermessung, Kataster und Geoinformation",2008,Erträge,1027537.26,Ergebnis
09,0902,Räumliche Planung und Entwicklung/Geoinformationen,"Vermessung, Kataster und Geoinformation",2008,Aufwendungen,6512019.59,Ergebnis
10,1001,Bauen und Wohnen,Bauaufsicht und baurechtliche Beratung,2008,Erträge,2621385.62,Ergebnis
10,1001,Bauen und Wohnen,Bauaufsicht und baurechtliche Beratung,2008,Aufwendungen,3313836.49,Ergebnis
10,1002,Bauen und Wohnen,Denkmalschutz und Denkmalpflege,2008,Erträge,587859.45,Ergebnis
10,1002,Bauen und Wohnen,Denkmalschutz und Denkmalpflege,2008,Aufwendungen,1180864.05,Ergebnis
10,1003,Bauen und Wohnen,Wohnen,2008,Erträge,348482.95,Ergebnis
10,1003,Bauen und Wohnen,Wohnen,2008,Aufwendungen,1840054.91,Ergebnis
11,1101,Ver- und Entsorgung,Abwasserbeseitigung,2008,Erträge,60284442.83,Ergebnis
11,1101,Ver- und Entsorgung,Abwasserbeseitigung,2008,Aufwendungen,35987932.23,Ergebnis
11,1102,Ver- und Entsorgung,Abfallwirtschaft (AWM),2008,Erträge,1657133.04,Ergebnis
11,1102,Ver- und Entsorgung,Abfallwirtschaft (AWM),2008,Aufwendungen,0,Ergebnis
12,1201,"Verkehrsflächen und -anlagen, ÖPNV",Bereitstellung von Verkehrsflächen und -anlagen,2008,Erträge,25497314.61,Ergebnis
12,1201,"Verkehrsflächen und -anlagen, ÖPNV",Bereitstellung von Verkehrsflächen und -anlagen,2008,Aufwendungen,56363276.02,Ergebnis
