Identifikation;Fachbereich;Produkt;Konto;Haushaltsjahr;Budgetrichtung;Ansatz
45;Bürgerservice;Förderung des Sports;Sozialversicherung Arbeitnehmer;2018;Aufwand;300
46;Bürgerservice;Förderung des Sports;Vergütungen;2018;Aufwand;1500
47;Bürgerservice;Förderung des Sports;Sachleistungen;2018;Aufwand;3000
48;Bürgerservice;Friedhofs- und Bestattungswesen;Gebühren für die Erteilung von Bescheiden;2018;Ertrag;2500
49;Bürgerservice;Friedhofs- und Bestattungswesen;Geschäftsaufwendungen;2018;Aufwand;100
50;Bürgerservice;Friedhofs- und Bestattungswesen;Pauschalierte Lohnsteuer;2018;Aufwand;100
51;Bürgerservice;Friedhofs- und Bestattungswesen;Leistungszulagen;2018;Aufwand;450
52;Bürgerservice;Friedhofs- und Bestattungswesen;Versorgungskasse Arbeitnehmer;2018;Aufwand;1700
53;Bürgerservice;Friedhofs- und Bestattungswesen;Sozialversicherung Arbeitnehmer;2018;Aufwand;4500
54;Bürgerservice;Friedhofs- und Bestattungswesen;Vergütungen;2018;Aufwand;21500
55;Bürgerservice;Gastschülerzuschüsse;Zuweisung an Gemeinden/-verbände;2018;Aufwand;27000
56;Bürgerservice;Gewerbe;Verwaltugnsgebühren allgemein;2018;Ertrag;500
57;Bürgerservice;Gewerbe;Gebühren für die Erteilung von Bescheiden;2018;Ertrag;5000
58;Bürgerservice;Gewerbe;Verwaltungsgebühren;2018;Ertrag;6000
59;Bürgerservice;Gewerbe;Pauschalierte Lohnsteuer;2018;Aufwand;100
60;Bürgerservice;Gewerbe;Fachliteratur, Zeitschriften;2018;Aufwand;150
61;Bürgerservice;Gewerbe;Leistungszulagen;2018;Aufwand;500
62;Bürgerservice;Gewerbe;Sonstige Aufwendungen;2018;Aufwand;500
63;Bürgerservice;Gewerbe;Versorgungskasse Arbeitnehmer;2018;Aufwand;1900
64;Bürgerservice;Gewerbe;Sozialversicherung Arbeitnehmer;2018;Aufwand;4900
65;Bürgerservice;Gewerbe;Vergütungen;2018;Aufwand;24600
66;Bürgerservice;Grundschule Gensingen;Pachten;2018;Ertrag;300
67;Bürgerservice;Grundschule Gensingen;Auflösung von Sonderposten;2018;Ertrag;310
68;Bürgerservice;Grundschule Gensingen;Sonstige Erträge;2018;Ertrag;500
69;Bürgerservice;Grundschule Gensingen;Zuweisung des Landes für Mittagsverpflegung;2018;Ertrag;2500
70;Bürgerservice;Grundschule Gensingen;Auflösung von Sonderposten;2018;Ertrag;3000
71;Bürgerservice;Grundschule Gensingen;Zuweisung des Landes Betreuende Grundschule;2018;Ertrag;5600
72;Bürgerservice;Grundschule Gensingen;Auflösung von Sonderposten;2018;Ertrag;9500
73;Bürgerservice;Grundschule Gensingen;Elternanteile Betreuende Grundschule;2018;Ertrag;12800
74;Bürgerservice;Grundschule Gensingen;Elternanteile Mittagsverpflegung;2018;Ertrag;28500
75;Bürgerservice;Grundschule Gensingen;Personalnebenaufwendungen;2018;Aufwand;100
76;Bürgerservice;Grundschule Gensingen;Pauschalierte Lohnsteuer;2018;Aufwand;150
77;Bürgerservice;Grundschule Gensingen;Reisekosten;2018;Aufwand;250
78;Bürgerservice;Grundschule Gensingen;Aus- und Fortbildung;2018;Aufwand;300
79;Bürgerservice;Grundschule Gensingen;Zuf. Beihilferückstellungen;2018;Aufwand;360
80;Bürgerservice;Grundschule Gensingen;Beihilfen;2018;Aufwand;500
81;Bürgerservice;Grundschule Gensingen;Fachliteratur, Zeitschriften;2018;Aufwand;500
82;Bürgerservice;Grundschule Gensingen;Personalnebenaufwendungen;2018;Aufwand;500
83;Bürgerservice;Grundschule Gensingen;Sonstige Aufwendungen;2018;Aufwand;500
84;Bürgerservice;Grundschule Gensingen;Sonstige Aufwendungen;2018;Aufwand;1000
85;Bürgerservice;Grundschule Gensingen;Abfallentsorgung;2018;Aufwand;1600
86;Bürgerservice;Grundschule Gensingen;Telefon, Datenübertragung;2018;Aufwand;1800
87;Bürgerservice;Grundschule Gensingen;Gebäudebewirtschaftung;2018;Aufwand;2000
88;Bürgerservice;Grundschule Gensingen;Lehr- und Unterrichtsmittel;2018;Aufwand;2000
89;Bürgerservice;Grundschule Gensingen;Schulbücherei;2018;Aufwand;2000
90;Bürgerservice;Grundschule Gensingen;Pensionsrückstellungen;2018;Aufwand;2000
91;Bürgerservice;Grundschule Gensingen;Versorgungskasse Beamte;2018;Aufwand;2100
92;Bürgerservice;Grundschule Gensingen;Leistungszulagen;2018;Aufwand;2300
93;Bürgerservice;Grundschule Gensingen;Büromaterial;2018;Aufwand;2500
94;Bürgerservice;Grundschule Gensingen;Leasing;2018;Aufwand;2500
95;Bürgerservice;Grundschule Gensingen;Abschreibungen auf Betriebsvorrichtungen;2018;Aufwand;2800
96;Bürgerservice;Grundschule Gensingen;Verbrauchsmittel;2018;Aufwand;3000
97;Bürgerservice;Grundschule Gensingen;Unterhaltung BGA;2018;Aufwand;3500
98;Bürgerservice;Grundschule Gensingen;Geringwertige Wirtschaftsgüter;2018;Aufwand;4000
99;Bürgerservice;Grundschule Gensingen;Datenverarbeitung, laufende Lizenzaufwendungen;2018;Aufwand;5000
100;Bürgerservice;Grundschule Gensingen;Wasser/Abwasser;2018;Aufwand;5500
101;Bürgerservice;Grundschule Gensingen;Dienstbezüge ;2018;Aufwand;8750
102;Bürgerservice;Grundschule Gensingen;Versorgungskasse Arbeitnehmer;2018;Aufwand;9000
103;Bürgerservice;Grundschule Gensingen;Strom;2018;Aufwand;9500
104;Bürgerservice;Grundschule Gensingen;Heizung;2018;Aufwand;13000
105;Bürgerservice;Grundschule Gensingen;Versicherungsbeiträge;2018;Aufwand;14000
106;Bürgerservice;Grundschule Gensingen;Abschreibungen BGA;2018;Aufwand;14600
107;Bürgerservice;Grundschule Gensingen;Sozialversicherung Arbeitnehmer;2018;Aufwand;24100
108;Bürgerservice;Grundschule Gensingen;Reinigung;2018;Aufwand;35000
109;Bürgerservice;Grundschule Gensingen;Abschreibungen auf bebaute Grundstücke;2018;Aufwand;41000
110;Bürgerservice;Grundschule Gensingen;Mittagsverpflegung;2018;Aufwand;44000
111;Bürgerservice;Grundschule Gensingen;Gebäudeunterhaltung;2018;Aufwand;49500
112;Bürgerservice;Grundschule Gensingen;Vergütungen;2018;Aufwand;122500
113;Bürgerservice;Grundschule Sprendlingen;Mieten und Pachten;2018;Ertrag;400
114;Bürgerservice;Grundschule Sprendlingen;Sonstige Erträge;2018;Ertrag;2500
115;Bürgerservice;Grundschule Sprendlingen;Zuweisung des Landes für Mittagsverpflegung;2018;Ertrag;4500
116;Bürgerservice;Grundschule Sprendlingen;Zuweisung des Landes Betreuende Grundschule;2018;Ertrag;7200
117;Bürgerservice;Grundschule Sprendlingen;Elternanteile Betreuende Grundschule;2018;Ertrag;12000
118;Bürgerservice;Grundschule Sprendlingen;Elternanteile Mittagsverpflegung;2018;Ertrag;28000
119;Bürgerservice;Grundschule Sprendlingen;Auflösung von Sonderposten;2018;Ertrag;53600
120;Bürgerservice;Grundschule Sprendlingen;Personalnebenaufwendungen;2018;Aufwand;100
121;Bürgerservice;Grundschule Sprendlingen;Aus- und Fortbildung;2018;Aufwand;200
122;Bürgerservice;Grundschule Sprendlingen;Zuf. Beihilferückstellungen;2018;Aufwand;360
123;Bürgerservice;Grundschule Sprendlingen;Beihilfen;2018;Aufwand;500
124;Bürgerservice;Grundschule Sprendlingen;Fachliteratur, Zeitschriften;2018;Aufwand;500
125;Bürgerservice;Grundschule Sprendlingen;Pauschalierte Lohnsteuer;2018;Aufwand;500
126;Bürgerservice;Grundschule Sprendlingen;Personalnebenaufwendungen;2018;Aufwand;500
127;Bürgerservice;Grundschule Sprendlingen;Sonstige Aufwendungen;2018;Aufwand;1000
128;Bürgerservice;Grundschule Sprendlingen;Sonstige Geschäftsaufwendungen;2018;Aufwand;1000
129;Bürgerservice;Grundschule Sprendlingen;Abfallentsorgung;2018;Aufwand;1200
130;Bürgerservice;Grundschule Sprendlingen;Gebäudebewirtschaftung;2018;Aufwand;2000
131;Bürgerservice;Grundschule Sprendlingen;Schulbücherei;2018;Aufwand;2000
132;Bürgerservice;Grundschule Sprendlingen;Zuf. Pensionsrückstellungen;2018;Aufwand;2000
133;Bürgerservice;Grundschule Sprendlingen;Versorgungskasse Beamte;2018;Aufwand;2100
134;Bürgerservice;Grundschule Sprendlingen;Leistungszulagen;2018;Aufwand;2250
135;Bürgerservice;Grundschule Sprendlingen;Leasing;2018;Aufwand;2400
136;Bürgerservice;Grundschule Sprendlingen;Büromaterial;2018;Aufwand;2500
137;Bürgerservice;Grundschule Sprendlingen;Reisekosten;2018;Aufwand;2500
138;Bürgerservice;Grundschule Sprendlingen;Telefon, Datenübertragung;2018;Aufwand;3500
139;Bürgerservice;Grundschule Sprendlingen;Unterhaltung BGA;2018;Aufwand;3500
140;Bürgerservice;Grundschule Sprendlingen;Geringwertige Wirtschaftsgüter;2018;Aufwand;4000
141;Bürgerservice;Grundschule Sprendlingen;Lehr- und Unterrichtsmittel;2018;Aufwand;4000
142;Bürgerservice;Grundschule Sprendlingen;Wasser/Abwasser;2018;Aufwand;4500
143;Bürgerservice;Grundschule Sprendlingen;Datenverarbeitung, laufende Lizenzaufwendungen;2018;Aufwand;5000
144;Bürgerservice;Grundschule Sprendlingen;Dienstbezüge;2018;Aufwand;8750
145;Bürgerservice;Grundschule Sprendlingen;Versorgungskasse Arbeitnehmer;2018;Aufwand;8950
146;Bürgerservice;Grundschule Sprendlingen;Strom;2018;Aufwand;10500
147;Bürgerservice;Grundschule Sprendlingen;Schülerbeförderungskosten;2018;Aufwand;12000
148;Bürgerservice;Grundschule Sprendlingen;Abschreibungen BGA;2018;Aufwand;12500
149;Bürgerservice;Grundschule Sprendlingen;Versicherungsbeiträge;2018;Aufwand;14000
150;Bürgerservice;Grundschule Sprendlingen;Sozialversicherung Arbeitnehmer;2018;Aufwand;22700
151;Bürgerservice;Grundschule Sprendlingen;Abschreibungen auf bebaute Grundstücke;2018;Aufwand;37300
152;Bürgerservice;Grundschule Sprendlingen;Heizung;2018;Aufwand;39000
153;Bürgerservice;Grundschule Sprendlingen;Mittagsverpflegung;2018;Aufwand;47500
154;Bürgerservice;Grundschule Sprendlingen;Gebäudeunterhaltung;2018;Aufwand;50000
155;Bürgerservice;Grundschule Sprendlingen;Reinigung;2018;Aufwand;52000
156;Bürgerservice;Grundschule Sprendlingen;Vergütungen;2018;Aufwand;114600
157;Bürgerservice;Grundsicherung für Arbeitssuchende;Leistungsbeteiligung nach SGB II;2018;Ertrag;10000
158;Bürgerservice;Grundsicherung für Arbeitssuchende;Pauschalierte Lohnsteuer;2018;Aufwand;50
159;Bürgerservice;Grundsicherung für Arbeitssuchende;Leistungszulagen;2018;Aufwand;160
160;Bürgerservice;Grundsicherung für Arbeitssuchende;Versorgungskasse Arbeitnehmer;2018;Aufwand;700
161;Bürgerservice;Grundsicherung für Arbeitssuchende;Sozialversicherung Arbeitnehmer;2018;Aufwand;1600
162;Bürgerservice;Grundsicherung für Arbeitssuchende;Vergütungen;2018;Aufwand;7900
163;Bürgerservice;Grundsicherung für Arbeitssuchende;Einmalige Leistungen;2018;Aufwand;10000
164;Bürgerservice;Grundsicherung für Arbeitssuchende;Kosten der Unterkunft und Heizung;2018;Aufwand;200000
165;Bürgerservice;Grundsicherung im Alter;Leistung von Sozialleistungsträgern;2018;Ertrag;3000
166;Bürgerservice;Grundsicherung im Alter;Leistung von Sozialleistungsträgern;2018;Ertrag;3000
167;Bürgerservice;Grundsicherung im Alter;Kostenersatz;2018;Ertrag;490000
168;Bürgerservice;Grundsicherung im Alter;Pauschalierte Lohnsteuer;2018;Aufwand;110
169;Bürgerservice;Grundsicherung im Alter;Zuf. Beihilferückstellungen;2018;Aufwand;360
170;Bürgerservice;Grundsicherung im Alter;Beihilfen;2018;Aufwand;500
171;Bürgerservice;Grundsicherung im Alter;Leistungszulagen;2018;Aufwand;750
172;Bürgerservice;Grundsicherung im Alter;Zuf. Pensionsrückstellungen;2018;Aufwand;2000
173;Bürgerservice;Grundsicherung im Alter;Versorgungskasse Beamte;2018;Aufwand;2100
174;Bürgerservice;Grundsicherung im Alter;Versorgungskasse Arbeitnehmer;2018;Aufwand;2900
175;Bürgerservice;Grundsicherung im Alter;Sozialversicherung Arbeitnehmer;2018;Aufwand;7300
176;Bürgerservice;Grundsicherung im Alter;Dienstbezüge;2018;Aufwand;10200
177;Bürgerservice;Grundsicherung im Alter;Vergütungen;2018;Aufwand;37000
178;Bürgerservice;Grundsicherung im Alter;Leistungen außerhalb von Einrichtungen;2018;Aufwand;50000
179;Bürgerservice;Grundsicherung im Alter;Leistungen außerhalb von Einrichtungen;2018;Aufwand;140000
180;Bürgerservice;Grundsicherung im Alter;Leistungen außerhalb von Einrichtungen;2018;Aufwand;350000
181;Bürgerservice;Heimat- und Kulturpflege;Pauschalierte Lohnsteuer;2018;Aufwand;10
182;Bürgerservice;Heimat- und Kulturpflege;Leistungszulagen;2018;Aufwand;50
183;Bürgerservice;Heimat- und Kulturpflege;Versorgungskasse Arbeitnehmer;2018;Aufwand;150
184;Bürgerservice;Heimat- und Kulturpflege;Sozialversicherung Arbeitnehmer;2018;Aufwand;400
185;Bürgerservice;Heimat- und Kulturpflege;Vergütungen;2018;Aufwand;1900
186;Bürgerservice;Heimat- und Kulturpflege;Volkshochschule Sprendlingen-Gensingen;2018;Aufwand;1920
187;Bürgerservice;Heimat- und Kulturpflege;Musikpflege;2018;Aufwand;2500
188;Bürgerservice;Heimat- und Kulturpflege;Geschäftsaufwendungen;2018;Aufwand;3000
189;Bürgerservice;Heimat- und Kulturpflege;Seniorenfastnacht;2018;Aufwand;3000
190;Bürgerservice;Heimat- und Kulturpflege;Kulturelle Veranstaltungen;2018;Aufwand;4000
191;Bürgerservice;Heimat- und Kulturpflege;Sonstige Aufwendungen;2018;Aufwand;5000
192;Bürgerservice;Heimat- und Kulturpflege;Seniorenarbeit;2018;Aufwand;9000
193;Bürgerservice;Hilfe zum Lebensunterhalt;Kostenersatz;2018;Ertrag;500
194;Bürgerservice;Hilfe zum Lebensunterhalt;Rückzahlung gewährter Hilfen;2018;Ertrag;500
195;Bürgerservice;Hilfe zum Lebensunterhalt;Kostenersatz;2018;Ertrag;5000
196;Bürgerservice;Hilfe zum Lebensunterhalt;Kostenersatz;2018;Ertrag;10000
197;Bürgerservice;Hilfe zum Lebensunterhalt;Kostenersatz;2018;Ertrag;50000
198;Bürgerservice;Hilfe zum Lebensunterhalt;Pauschalierte Lohnsteuer;2018;Aufwand;50
199;Bürgerservice;Hilfe zum Lebensunterhalt;Leistungszulagen;2018;Aufwand;160
200;Bürgerservice;Hilfe zum Lebensunterhalt;Versorgungskasse Arbeitnehmer;2018;Aufwand;700
201;Bürgerservice;Hilfe zum Lebensunterhalt;Sozialversicherung Arbeitnehmer;2018;Aufwand;1600
202;Bürgerservice;Hilfe zum Lebensunterhalt;Leistungen außerhalb von Einrichtungen;2018;Aufwand;5000
203;Bürgerservice;Hilfe zum Lebensunterhalt;Vergütungen;2018;Aufwand;8000
204;Bürgerservice;Hilfe zum Lebensunterhalt;Leistungen außerhalb von Einrichtungen;2018;Aufwand;70000
205;Bürgerservice;Hilfen für Asylbewerber;Kostenerstattung vom Kreis;2018;Ertrag;25000
206;Bürgerservice;Hilfen für Asylbewerber;Kostenerstattungen Strom;2018;Ertrag;40000
207;Bürgerservice;Hilfen für Asylbewerber;Kostenersatz;2018;Ertrag;100000
208;Bürgerservice;Hilfen für Asylbewerber;Kostenerstattungen KdU;2018;Ertrag;151000
209;Bürgerservice;Hilfen für Asylbewerber;Leistungen von Sozialleistungsträgern;2018;Ertrag;450000
210;Bürgerservice;Hilfen für Asylbewerber;Leistungszulagen;2018;Aufwand;1400
211;Bürgerservice;Hilfen für Asylbewerber;Versorgungskasse Arbeitnehmer;2018;Aufwand;5400
212;Bürgerservice;Hilfen für Asylbewerber;Sozialversicherung Arbeitnehmer;2018;Aufwand;14000
213;Bürgerservice;Hilfen für Asylbewerber;Aufwendungen für Strom;2018;Aufwand;40000
214;Bürgerservice;Hilfen für Asylbewerber;Vergütungen;2018;Aufwand;69500
215;Bürgerservice;Hilfen für Asylbewerber;Sonstige Kosen der Unterkunft;2018;Aufwand;75000
216;Bürgerservice;Hilfen für Asylbewerber;Kosten der Unterkunft nach AsylblG;2018;Aufwand;250000
217;Bürgerservice;Hilfen für Asylbewerber;Leistungen nach dem Asylbewerberleistungsgesetz;2018;Aufwand;450000
218;Bürgerservice;Integration;Kraftfahrzeugsteuer;2018;Aufwand;200
219;Bürgerservice;Integration;Telefonkoten;2018;Aufwand;350
220;Bürgerservice;Integration;Aus- und Fortbildung;2018;Aufwand;500
221;Bürgerservice;Integration;Kfz-Versicherungen;2018;Aufwand;1000
222;Bürgerservice;Integration;Abschreibungen auf Fahrzeuge;2018;Aufwand;1200
223;Bürgerservice;Integration;Fahrzeugunterhaltung;2018;Aufwand;3000
224;Bürgerservice;Integration;Sach- und Dienstleistungen;2018;Aufwand;6000
225;Bürgerservice;Integration;Sonstige Aufwendungen;2018;Aufwand;12000
226;Bürgerservice;Jugendarbeit;Auflösung von Sonderposten;2018;Ertrag;500
227;Bürgerservice;Jugendarbeit;Sonstige Erträge;2018;Ertrag;20000
228;Bürgerservice;Jugendarbeit;Versicherungsbeiträge;2018;Aufwand;100
229;Bürgerservice;Jugendarbeit;Pauschalierte Lohnsteuer;2018;Aufwand;300
230;Bürgerservice;Jugendarbeit;Reisekosten;2018;Aufwand;500
231;Bürgerservice;Jugendarbeit;Telefon, Datenübertragung;2018;Aufwand;800
232;Bürgerservice;Jugendarbeit;Aus- und Fortbildung;2018;Aufwand;1000
233;Bürgerservice;Jugendarbeit;Fachliteratur, Zeitschriften;2018;Aufwand;1000
234;Bürgerservice;Jugendarbeit;Sonstige Aufwendungen für Sachleistungen;2018;Aufwand;1000
235;Bürgerservice;Jugendarbeit;Leistungszulagen;2018;Aufwand;1100
236;Bürgerservice;Jugendarbeit;Gebäudebewirtschaftung;2018;Aufwand;1500
237;Bürgerservice;Jugendarbeit;Unterhaltung BGA;2018;Aufwand;2000
238;Bürgerservice;Jugendarbeit;Abschreibungen auf BGA;2018;Aufwand;2900
239;Bürgerservice;Jugendarbeit;Versorgungskasse Arbeitnehmer;2018;Aufwand;4200
240;Bürgerservice;Jugendarbeit;Geringswertige Wirtschaftsgüter;2018;Aufwand;5000
241;Bürgerservice;Jugendarbeit;Sachaufwendungen allgemeine Jugendarbeit;2018;Aufwand;10000
242;Bürgerservice;Jugendarbeit;Sozialversicherung Arbeitnehmer;2018;Aufwand;10500
243;Bürgerservice;Jugendarbeit;Vergütungen;2018;Aufwand;55000
244;Bürgerservice;Kinder-, Jugend- und Familienerholung;Zuweisungen vom Kreis;2018;Ertrag;3500
245;Bürgerservice;Kinder-, Jugend- und Familienerholung;Zuweisungen vom Land;2018;Ertrag;3500
246;Bürgerservice;Kinder-, Jugend- und Familienerholung;Sonstige Erträge;2018;Ertrag;5000
247;Bürgerservice;Kinder-, Jugend- und Familienerholung;Teilnehmerbeiträge Kinder-, Jugend- und Familienerholung;2018;Ertrag;11500
248;Bürgerservice;Kinder-, Jugend- und Familienerholung;Teilnehmerbeiträge Kinderferienprogramm;2018;Ertrag;13000
249;Bürgerservice;Kinder-, Jugend- und Familienerholung;Pauschalierte Lohnsteuer;2018;Aufwand;100
250;Bürgerservice;Kinder-, Jugend- und Familienerholung;Leistungszulagen;2018;Aufwand;500
251;Bürgerservice;Kinder-, Jugend- und Familienerholung;Reisekosten;2018;Aufwand;500
252;Bürgerservice;Kinder-, Jugend- und Familienerholung;Steuern;2018;Aufwand;500
253;Bürgerservice;Kinder-, Jugend- und Familienerholung;Sonstige Aufwendungen;2018;Aufwand;1000
254;Bürgerservice;Kinder-, Jugend- und Familienerholung;Unterhaltung BGA;2018;Aufwand;1000
255;Bürgerservice;Kinder-, Jugend- und Familienerholung;Versicherungsbeiträge;2018;Aufwand;1200
256;Bürgerservice;Kinder-, Jugend- und Familienerholung;Abschreibungen auf Fahrzeuge;2018;Aufwand;1600
257;Bürgerservice;Kinder-, Jugend- und Familienerholung;Versorgungskasse Arbeitnehmer;2018;Aufwand;1800
258;Bürgerservice;Kinder-, Jugend- und Familienerholung;Sozialversicherung Arbeitnehmer;2018;Aufwand;4300
259;Bürgerservice;Kinder-, Jugend- und Familienerholung;Abschreibungen BGA;2018;Aufwand;4400
260;Bürgerservice;Kinder-, Jugend- und Familienerholung;Aus- und Fortbildung;2018;Aufwand;5000
261;Bürgerservice;Kinder-, Jugend- und Familienerholung;Geringwertige Wirtschaftsgüter;2018;Aufwand;5000
262;Bürgerservice;Kinder-, Jugend- und Familienerholung;Fahrzeugunterhaltung;2018;Aufwand;7000
263;Bürgerservice;Kinder-, Jugend- und Familienerholung;Kinder-, Jugend- und Familienerholung;2018;Aufwand;20000
264;Bürgerservice;Kinder-, Jugend- und Familienerholung;Vergütungen;2018;Aufwand;22500
265;Bürgerservice;Kinder-, Jugend- und Familienerholung;Kinderferienprogramm;2018;Aufwand;30000
266;Bürgerservice;Lernmittelfreihei GS Gensingen;Nutzungsentgelte;2018;Ertrag;600
267;Bürgerservice;Lernmittelfreihei GS Gensingen;Zuweisungen vom Land;2018;Ertrag;3000
268;Bürgerservice;Lernmittelfreihei GS Gensingen;Kostenerstattungen an das Land ;2018;Aufwand;600
269;Bürgerservice;Lernmittelfreihei GS Gensingen;Lehr- und Unterrichtsmittel;2018;Aufwand;3000
270;Bürgerservice;Lernmittelfreiheit GS Sprendlingen;Nutzungsentgelte;2018;Ertrag;500
271;Bürgerservice;Lernmittelfreiheit GS Sprendlingen;Zuweisungen vom Land;2018;Ertrag;3000
272;Bürgerservice;Lernmittelfreiheit GS Sprendlingen;Kostenerstattungen an das Land ;2018;Aufwand;500
273;Bürgerservice;Lernmittelfreiheit GS Sprendlingen;Lehr- und Unterrichtsmittel;2018;Aufwand;3000
274;Bürgerservice;Sicherheit und Ordnung;Sonstige Erträge;2018;Ertrag;1500
275;Bürgerservice;Sicherheit und Ordnung;Kostenerstattungen vom privaten Bereich;2018;Ertrag;25000
276;Bürgerservice;Sicherheit und Ordnung;Pauschalierte Lohnsteuer;2018;Aufwand;120
277;Bürgerservice;Sicherheit und Ordnung;Aus- und Fortbildung;2018;Aufwand;200
278;Bürgerservice;Sicherheit und Ordnung;Beihilfen;2018;Aufwand;300
279;Bürgerservice;Sicherheit und Ordnung;Zuf. Beihilferückstellungen;2018;Aufwand;750
280;Bürgerservice;Sicherheit und Ordnung;Leistungszulagen;2018;Aufwand;1000
281;Bürgerservice;Sicherheit und Ordnung;Versorgungskasse Arbeitnehmer;2018;Aufwand;3700
282;Bürgerservice;Sicherheit und Ordnung;Zuf. Pensionsrückstellungen;2018;Aufwand;4000
283;Bürgerservice;Sicherheit und Ordnung;Versorgungskasse Beamte;2018;Aufwand;4200
284;Bürgerservice;Sicherheit und Ordnung;Sozialversicherung Arbeitnehmer;2018;Aufwand;9400
